epoch,train_loss,val_loss
1,0.438917,0.283837
2,0.122161,0.221879
3,0.072473,0.222885
4,0.051342,0.219521
5,0.040546,0.230682
6,0.037761,0.230590
7,0.037823,0.237918
8,0.031799,0.250391
9,0.030238,0.248771
10,0.028840,0.451463
11,0.027257,0.567301
12,0.025877,1.340250
13,0.027646,0.797130
14,0.027587,0.446311
15,0.025352,0.701229
16,0.024120,0.534936
17,0.023548,0.695589
18,0.025219,0.958448
19,0.024003,0.364026
20,0.022210,0.535544
21,0.031167,0.544400
22,0.025605,0.340038
23,0.023170,0.572538
24,0.022270,0.758870
25,0.022609,0.552231
26,0.020719,0.411061
27,0.020271,0.541378
28,0.021499,0.411012
29,0.020323,0.389154
30,0.021419,0.385586
31,0.019560,0.373553
32,0.021928,0.413473
33,0.019739,0.377466
34,0.018704,0.404623
35,0.018612,0.361457
36,0.020611,0.388494
37,0.019827,0.393790
38,0.018720,0.442617
39,0.019537,0.378425
40,0.020046,0.350425
41,0.018877,0.399216
42,0.018596,0.354198
43,0.018403,0.328811
44,0.020519,0.352968
45,0.020272,0.369331
46,0.022387,0.337684
47,0.019662,0.386055
48,0.018408,0.370673
49,0.020322,0.341856
50,0.018382,0.357794
51,0.018383,0.354906
52,0.023340,0.333990
53,0.019285,0.386265
54,0.019648,0.323814
55,0.018344,0.321065
56,0.019824,0.344650
57,0.019693,0.328712
58,0.021312,0.333049
59,0.018373,0.355077
60,0.018409,0.329255
61,0.019018,0.335217
62,0.018146,0.329664
63,0.018644,0.360126
64,0.020732,0.314991
65,0.018848,0.329261
66,0.018450,0.330287
67,0.018977,0.331034
68,0.019004,0.338235
69,0.018062,0.312370
70,0.018237,0.308911
71,0.017394,0.318908
72,0.017706,0.319414
73,0.018723,0.315753
74,0.017944,0.332388
75,0.019256,0.308224
76,0.018146,0.320873
77,0.019326,0.314366
78,0.019067,0.305440
79,0.018682,0.321397
80,0.018265,0.333885
