epoch,train_loss,val_loss
1,0.561289,0.376806
2,0.162212,0.191700
3,0.121173,0.194654
4,0.091794,0.211884
5,0.064742,0.268466
6,0.045380,0.212398
7,0.044593,0.225411
8,0.040217,0.305821
9,0.039338,0.313397
10,0.036917,0.467906
11,0.034739,0.622480
12,0.031739,0.447439
13,0.048674,0.486735
14,0.040473,0.508405
15,0.040116,0.713905
16,0.041964,0.587605
17,0.034623,0.707243
18,0.030106,0.927727
19,0.031398,0.658327
20,0.031297,0.915949
21,0.033673,0.657217
22,0.032861,0.565944
23,0.027997,0.563471
24,0.028436,0.454678
25,0.026344,0.520756
26,0.027736,0.462567
27,0.025677,0.401547
28,0.025426,0.402398
29,0.025497,0.377038
30,0.025253,0.337242
31,0.028374,0.338324
32,0.024997,0.338845
33,0.025115,0.355733
34,0.024315,0.340400
35,0.027711,0.353204
36,0.027091,0.349175
37,0.024213,0.367013
38,0.024232,0.349445
39,0.024158,0.342397
40,0.023978,0.330550
41,0.023570,0.337040
42,0.026555,0.362034
43,0.024441,0.356105
44,0.022596,0.345971
45,0.022640,0.347409
46,0.022653,0.344604
47,0.022040,0.348309
48,0.023199,0.351592
49,0.024192,0.364293
50,0.025640,0.336795
51,0.021658,0.362563
52,0.022152,0.354408
53,0.020981,0.355592
54,0.022452,0.346746
55,0.021963,0.381021
56,0.022490,0.347982
57,0.020573,0.337953
58,0.021587,0.350291
59,0.023575,0.366990
60,0.019854,0.363941
61,0.023730,0.354056
62,0.022109,0.362186
63,0.021791,0.352346
64,0.019506,0.379107
65,0.021326,0.394417
66,0.020773,0.377610
67,0.023676,0.384617
68,0.021123,0.382800
69,0.021049,0.382781
70,0.019987,0.368802
71,0.021075,0.371965
72,0.020979,0.388816
73,0.021293,0.385250
74,0.021726,0.357737
75,0.019479,0.372900
76,0.025141,0.383406
77,0.023313,0.371664
78,0.020426,0.357790
79,0.020175,0.396364
80,0.020134,0.392372
