epoch,train_loss,val_loss
1,0.471355,0.424035
2,0.133984,0.260207
3,0.089155,0.175149
4,0.061121,0.183350
5,0.052616,0.208753
6,0.041563,0.209767
7,0.038378,0.227065
8,0.036121,0.236707
9,0.033486,0.281599
10,0.031922,0.466401
11,0.033045,0.911677
12,0.031329,0.376743
13,0.029336,0.405815
14,0.028050,0.504104
15,0.027503,0.508087
16,0.028797,0.455856
17,0.028003,0.866912
18,0.027638,0.525091
19,0.026592,0.479816
20,0.028201,0.407860
21,0.029297,0.457755
22,0.026119,0.407121
23,0.026230,0.415823
24,0.028193,0.453201
25,0.025387,0.538339
26,0.027005,0.318063
27,0.025072,0.330105
28,0.024198,0.371579
29,0.025253,0.370734
30,0.025247,0.314381
31,0.024500,0.313973
32,0.023982,0.335934
33,0.023264,0.316542
34,0.028110,0.320321
35,0.025255,0.314878
36,0.025935,0.282969
37,0.022754,0.288437
38,0.026315,0.260477
39,0.028496,0.259680
40,0.025281,0.288345
41,0.023969,0.308348
42,0.025677,0.287058
43,0.024011,0.282957
44,0.022289,0.285674
45,0.021667,0.289729
46,0.021729,0.285139
47,0.021927,0.281272
48,0.022428,0.296206
49,0.021685,0.283748
50,0.022719,0.282682
51,0.022526,0.294571
52,0.021642,0.294942
53,0.021289,0.288224
54,0.021750,0.287048
55,0.021552,0.312716
56,0.022413,0.290789
57,0.021796,0.293382
58,0.022818,0.289844
59,0.021763,0.289553
60,0.020637,0.291014
61,0.020468,0.281894
62,0.020899,0.288632
63,0.022914,0.287524
64,0.022585,0.310600
65,0.021814,0.290331
66,0.021469,0.290770
67,0.022859,0.286797
68,0.020191,0.293847
69,0.020280,0.296167
70,0.020630,0.285537
71,0.021797,0.291697
72,0.020181,0.296982
73,0.021815,0.293771
74,0.021942,0.295230
75,0.020521,0.289378
76,0.020677,0.296241
77,0.019997,0.297084
78,0.019952,0.295264
79,0.019599,0.294504
80,0.019304,0.286752
