epoch,train_loss,val_loss
1,0.929653,0.634858
2,0.276267,0.388078
3,0.154658,0.223362
4,0.120948,0.222144
5,0.095076,0.246466
6,0.085209,0.249631
7,0.076582,0.251027
8,0.066758,0.259816
9,0.064075,0.298110
10,0.082853,0.248738
11,0.065126,0.245005
12,0.057880,0.254070
13,0.064870,0.252541
14,0.058465,0.248630
15,0.061349,0.243611
16,0.058883,0.268861
17,0.060026,0.271272
18,0.060684,0.282967
19,0.063749,0.315802
20,0.055812,0.287325
21,0.055495,0.405500
22,0.060597,0.309263
23,0.062004,0.305318
24,0.064067,0.302572
25,0.061104,0.329332
26,0.055974,0.314358
27,0.073340,0.369123
28,0.059472,0.340122
29,0.055348,0.397159
30,0.057263,0.466102
31,0.055962,0.368318
32,0.084008,2.270035
33,0.215249,1.513349
34,0.126849,1.740762
35,0.091783,0.756927
36,0.094989,0.792902
37,0.079142,0.842412
38,0.065266,0.768132
39,0.070512,0.579640
40,0.052508,0.676135
41,0.062114,1.066017
42,0.087711,1.014376
43,0.057931,0.856100
44,0.052964,0.840628
45,0.052368,0.734988
46,0.051556,0.729112
47,0.051912,0.815717
48,0.051221,0.724563
49,0.049987,0.863336
50,0.048701,0.868152
51,0.052373,0.901158
52,0.048103,1.002944
53,0.052455,1.201389
54,0.053199,1.013736
55,0.053951,0.940596
56,0.115107,0.560973
57,0.055924,0.813794
58,0.046454,1.018650
59,0.115644,0.339078
60,0.092523,0.306738
61,0.067633,0.257704
62,0.071104,0.249915
63,0.066546,0.263360
64,0.053253,0.279811
65,0.079500,0.262669
66,0.072670,0.221159
67,0.063457,0.206284
68,0.061212,0.196844
69,0.058048,0.201205
70,0.057416,0.199245
71,0.115896,0.194431
72,0.063911,0.206269
73,0.059182,0.211611
74,0.057165,0.206967
75,0.054323,0.212288
76,0.054578,0.205493
77,0.050734,0.204544
78,0.050059,0.205752
79,0.049980,0.208310
80,0.054879,0.205714
81,0.048936,0.214559
82,0.048123,0.211104
83,0.047253,0.218992
84,0.046169,0.241100
85,0.047540,0.245021
86,0.047132,0.263213
87,0.047593,0.251397
88,0.045382,0.238509
89,0.050351,0.218152
90,0.046727,0.256997
91,0.048156,0.288889
92,0.048056,0.252188
93,0.083045,0.303370
94,0.107748,0.273785
95,0.061808,0.268290
96,0.052251,0.244801
97,0.050495,0.229720
98,0.049966,0.222754
99,0.048641,0.220880
100,0.060357,0.231398
101,0.067351,0.710443
102,0.169960,0.385906
103,0.105055,0.641597
104,0.091034,0.749367
105,0.056884,1.258524
106,0.063065,1.004507
107,0.065274,1.172245
108,0.049240,1.040013
109,0.046260,1.037041
110,0.047121,0.872804
111,0.045558,1.146789
112,0.048224,0.996185
113,0.042944,0.948555
114,0.041452,1.020228
115,0.054033,1.318916
116,0.065062,0.664700
117,0.089720,0.615217
118,0.061409,0.701814
119,0.043912,0.973919
120,0.040830,0.964378
121,0.038184,0.846463
