epoch,train_loss,val_loss
1,0.670121,0.224407
2,0.176430,0.353212
3,0.121463,0.232396
4,0.090621,0.180308
5,0.065001,0.216817
6,0.047734,0.210959
7,0.044039,0.228459
8,0.039526,0.225856
9,0.037554,0.229861
10,0.034960,0.241086
11,0.034719,0.257453
12,0.035671,0.258321
13,0.033184,0.267271
14,0.033126,0.279851
15,0.031159,0.277119
16,0.029900,0.313488
17,0.030103,0.442438
18,0.030063,0.353705
19,0.029199,0.998647
20,0.026289,0.665098
21,0.026191,0.746111
22,0.025787,0.723353
23,0.027148,1.111742
24,0.026948,0.948734
25,0.026420,1.313420
26,0.024211,1.378798
27,0.024882,1.021456
28,0.024966,0.879222
29,0.024723,1.361117
30,0.025526,1.378151
31,0.023530,1.158433
32,0.024010,1.345467
33,0.023773,1.377558
34,0.026026,1.029785
35,0.023812,1.166312
36,0.023762,1.371984
37,0.024509,1.298911
38,0.022632,1.261414
39,0.023864,1.311937
40,0.022363,1.787462
41,0.022981,1.403631
42,0.031383,0.614878
43,0.027682,0.282097
44,0.025312,0.320258
45,0.025609,0.509683
46,0.023853,0.702944
47,0.023396,0.759513
48,0.022285,0.947672
49,0.024015,0.950276
50,0.023356,0.942172
51,0.021994,0.917601
52,0.022927,0.926565
53,0.023815,0.895852
54,0.021594,0.876608
55,0.021028,1.249206
56,0.022360,1.075648
57,0.020870,1.121667
58,0.020768,0.918287
59,0.021266,1.081170
60,0.021002,1.207385
61,0.020935,0.835831
62,0.021936,1.159186
63,0.023534,0.747821
64,0.021662,0.917056
65,0.020484,0.768152
66,0.020875,0.980051
67,0.019755,1.149693
68,0.020707,1.088401
69,0.020253,1.401971
70,0.019209,1.076590
71,0.019867,1.134292
72,0.020436,1.383379
73,0.020768,1.154678
74,0.020807,0.980124
75,0.021325,1.326447
76,0.022191,1.138140
77,0.019849,1.384195
78,0.020204,1.062206
79,0.019715,1.613711
80,0.020834,1.077143
