epoch,train_loss,val_loss
1,0.572830,0.242686
2,0.157083,0.308217
3,0.104738,0.188678
4,0.069142,0.170257
5,0.053701,0.184563
6,0.043164,0.204435
7,0.041652,0.224192
8,0.037909,0.211840
9,0.039545,0.218816
10,0.033063,0.240359
11,0.033642,0.263131
12,0.031535,0.272482
13,0.031423,0.294876
14,0.033064,0.287617
15,0.029582,0.273463
16,0.029580,0.329203
17,0.029385,0.298612
18,0.027983,0.312409
19,0.026436,0.433469
20,0.026994,0.329639
21,0.026504,0.295328
22,0.025087,0.306754
23,0.025881,0.285435
24,0.024724,0.294577
25,0.025002,0.308984
26,0.024638,0.309554
27,0.023534,0.297546
28,0.023434,0.295559
29,0.023922,0.290558
30,0.029271,0.243027
31,0.024791,0.277128
32,0.023800,0.283076
33,0.024012,0.285980
34,0.023179,0.294137
35,0.024462,0.340816
36,0.027228,0.292843
37,0.023011,0.291856
38,0.023228,0.285009
39,0.023824,0.291929
40,0.023105,0.297231
41,0.023013,0.292952
42,0.035847,0.252967
43,0.037042,0.263713
44,0.024814,0.280310
45,0.022336,0.287418
46,0.023880,0.300429
47,0.022789,0.294127
48,0.022390,0.300846
49,0.021361,0.290257
50,0.021235,0.289466
51,0.020331,0.308647
52,0.021153,0.291515
53,0.021173,0.299639
54,0.020473,0.290125
55,0.019942,0.300309
56,0.020691,0.295432
57,0.020814,0.299299
58,0.020141,0.290501
59,0.020458,0.300283
60,0.020760,0.302047
61,0.022236,0.293673
62,0.019584,0.298045
63,0.019502,0.293395
64,0.019393,0.299102
65,0.021855,0.301342
66,0.035894,0.295769
67,0.033602,0.292722
68,0.022952,0.291348
69,0.022623,0.296619
70,0.021170,0.301463
71,0.018803,0.302459
72,0.018866,0.298625
73,0.018939,0.301612
74,0.018907,0.301787
75,0.020417,0.305432
76,0.019557,0.303593
77,0.018779,0.308849
78,0.018852,0.304088
79,0.019342,0.313407
80,0.018832,0.305590
