epoch,train_loss,val_loss
1,0.613858,0.234772
2,0.174537,0.335313
3,0.118900,0.214980
4,0.083767,0.252074
5,0.057197,0.210765
6,0.048417,0.224323
7,0.041506,0.230405
8,0.046606,0.243740
9,0.042809,0.251943
10,0.040167,0.267646
11,0.036775,0.289996
12,0.033920,0.300548
13,0.032365,0.329827
14,0.032487,0.331447
15,0.031732,0.354576
16,0.030196,0.403163
17,0.029533,0.418484
18,0.029746,0.431468
19,0.028774,0.447593
20,0.029022,0.401742
21,0.029252,0.364601
22,0.028435,0.394409
23,0.028128,0.418741
24,0.031356,0.387086
25,0.029679,0.377296
26,0.027299,0.415819
27,0.028361,0.441295
28,0.026783,0.481314
29,0.026132,0.474645
30,0.026902,0.427355
31,0.027736,0.438084
32,0.025839,0.427708
33,0.026279,0.444179
34,0.026307,0.543009
35,0.026334,0.533805
36,0.025176,0.853289
37,0.027194,0.764111
38,0.027368,0.755597
39,0.026574,0.917849
40,0.027223,1.068631
41,0.025594,1.101602
42,0.024644,0.721691
43,0.025595,0.486310
44,0.023669,0.466468
45,0.024914,0.643357
46,0.023310,0.646288
47,0.023374,0.688908
48,0.023246,0.669387
49,0.022977,0.383966
50,0.025355,0.403431
51,0.023674,0.419092
52,0.022751,0.567758
53,0.023086,0.657544
54,0.023808,0.803371
55,0.022203,0.445555
56,0.022518,0.476514
57,0.020675,0.434587
58,0.021138,0.382273
59,0.021539,0.400029
60,0.022339,0.371246
61,0.021715,0.459286
62,0.021491,0.388371
63,0.021777,0.384629
64,0.020602,0.426057
65,0.020855,0.436030
66,0.020836,0.415190
67,0.021499,0.378294
68,0.021251,0.376371
69,0.021729,0.377618
70,0.021921,0.393849
71,0.021311,0.403132
72,0.019623,0.375990
73,0.020319,0.449720
74,0.021865,0.460083
75,0.020637,0.382868
76,0.022125,0.414273
77,0.020771,0.374008
78,0.019812,0.396479
79,0.020424,0.445073
80,0.019819,0.496433
