epoch,train_loss,val_loss
1,0.422904,0.609383
2,0.106598,0.203121
3,0.061971,0.166558
4,0.045029,0.204452
5,0.037398,0.212329
6,0.035368,0.232413
7,0.031135,0.272195
8,0.032275,0.245540
9,0.029673,0.255650
10,0.026514,0.265426
11,0.029990,0.274397
12,0.025746,0.263606
13,0.026243,0.259306
14,0.024533,0.266863
15,0.025948,0.269353
16,0.024296,0.266491
17,0.024313,0.280087
18,0.022760,0.281606
19,0.022748,0.280023
20,0.022859,0.289081
21,0.023269,0.282367
22,0.024636,0.281597
23,0.023108,0.294440
24,0.022441,0.297868
25,0.028454,0.267499
26,0.027105,0.295229
27,0.021084,0.303131
28,0.021758,0.291690
29,0.021699,0.321650
30,0.023533,0.313631
31,0.023356,0.321753
32,0.021485,0.334764
33,0.020947,0.311517
34,0.021758,0.308967
35,0.021020,0.334022
36,0.020571,0.323036
37,0.020391,0.318529
38,0.019644,0.333104
39,0.019915,0.340203
40,0.021189,0.370614
41,0.022022,0.346107
42,0.022371,0.320068
43,0.021846,0.352110
44,0.021588,0.334524
45,0.019115,0.345015
46,0.019465,0.330936
47,0.021008,0.333117
48,0.020988,0.352540
49,0.020316,0.336649
50,0.021642,0.357276
51,0.021300,0.369958
52,0.020780,0.332485
53,0.021090,0.338205
54,0.019544,0.338424
55,0.019249,0.337154
56,0.019612,0.344628
57,0.021206,0.347755
58,0.020727,0.343592
59,0.020983,0.347523
60,0.020740,0.368374
61,0.020667,0.340178
62,0.020117,0.341956
63,0.018850,0.369046
64,0.019397,0.376723
65,0.020516,0.358285
66,0.019189,0.355811
67,0.019439,0.349450
68,0.018618,0.371354
69,0.019397,0.350289
70,0.018320,0.374516
71,0.019505,0.373951
72,0.022080,0.329589
73,0.021148,0.381132
74,0.022551,0.375797
75,0.019417,0.361525
76,0.018908,0.377047
77,0.020201,0.368175
78,0.018679,0.353060
79,0.018703,0.363595
80,0.018493,0.366711
