epoch,train_loss,val_loss
1,0.477261,0.437010
2,0.276277,0.377736
3,0.241207,0.418099
4,0.223704,0.435325
5,0.210190,0.428373
6,0.201805,0.543878
7,0.192895,0.551691
8,0.186268,0.528530
9,0.180900,0.553370
10,0.177352,0.601150
11,0.171141,0.534206
12,0.166742,0.541365
13,0.162883,0.592228
14,0.158513,0.509748
15,0.156236,0.524884
16,0.152518,0.543573
17,0.150033,0.551294
18,0.149429,0.547992
19,0.147198,0.584935
20,0.144915,0.551524
21,0.142198,0.554111
22,0.141491,0.601889
23,0.139373,0.569036
24,0.138719,0.537941
25,0.136930,0.523451
26,0.135508,0.541846
27,0.135300,0.537322
28,0.133771,0.514816
29,0.131336,0.537167
30,0.129666,0.484356
31,0.132471,0.456698
32,0.128385,0.560733
33,0.127894,0.573784
34,0.126949,0.456470
35,0.126193,0.522060
36,0.125090,0.472601
37,0.123645,0.488252
38,0.122155,0.529234
39,0.120797,0.547729
40,0.121075,0.525872
41,0.120562,0.492615
42,0.119925,0.510049
43,0.119944,0.506830
44,0.118426,0.507750
45,0.118189,0.504025
46,0.117545,0.529207
47,0.117812,0.475386
48,0.117907,0.536143
49,0.117207,0.503276
50,0.115363,0.535452
51,0.115888,0.486913
52,0.113127,0.495638
53,0.114205,0.448740
54,0.113216,0.510304
55,0.113769,0.497499
56,0.112293,0.512388
57,0.111677,0.515611
58,0.110357,0.465411
59,0.111681,0.500421
60,0.109975,0.515046
61,0.108640,0.486452
62,0.108346,0.491907
63,0.109207,0.456260
64,0.110540,0.495941
65,0.107595,0.478182
66,0.107870,0.473851
67,0.106188,0.488382
68,0.107351,0.483792
69,0.105727,0.482042
70,0.106305,0.494867
71,0.104707,0.473682
72,0.104468,0.471157
73,0.105375,0.457466
74,0.105252,0.491496
75,0.104502,0.518563
76,0.104321,0.482311
77,0.103138,0.490606
78,0.104757,0.471955
79,0.102799,0.482578
80,0.101855,0.547523
81,0.103596,0.501167
82,0.102268,0.460043
83,0.103843,0.507841
84,0.102586,0.477977
85,0.100040,0.480996
86,0.098833,0.489754
87,0.102309,0.527782
88,0.100271,0.463619
89,0.099266,0.446374
90,0.100582,0.474779
91,0.099175,0.469383
92,0.098778,0.459091
93,0.099712,0.467562
94,0.098684,0.471401
95,0.098558,0.465504
96,0.099176,0.483642
97,0.099718,0.488644
98,0.098139,0.475011
99,0.097677,0.446287
100,0.097951,0.476336
101,0.098088,0.474013
102,0.096901,0.475543
103,0.096900,0.491643
104,0.095773,0.465614
105,0.094910,0.490863
106,0.096453,0.441938
107,0.095011,0.471851
108,0.094910,0.497334
109,0.095604,0.464413
110,0.095672,0.450944
111,0.095189,0.480168
112,0.096551,0.502492
113,0.094494,0.519088
114,0.094266,0.448867
115,0.094744,0.521298
116,0.095100,0.500253
117,0.094766,0.516826
118,0.092265,0.464835
119,0.094255,0.506958
120,0.094853,0.467403
121,0.094636,0.483981
122,0.093503,0.449297
123,0.092710,0.467469
124,0.093413,0.493360
125,0.092798,0.464286
126,0.093063,0.465873
127,0.092197,0.495475
128,0.092840,0.495431
129,0.092751,0.468744
130,0.092907,0.503275
131,0.090780,0.486642
132,0.092337,0.451922
133,0.092374,0.474468
134,0.091812,0.462257
135,0.090680,0.495889
136,0.091254,0.492934
137,0.091118,0.495709
138,0.092187,0.486059
139,0.092182,0.490813
140,0.092855,0.446987
141,0.092100,0.462018
142,0.092486,0.507230
143,0.090923,0.476662
144,0.089595,0.480077
145,0.092348,0.467584
146,0.090943,0.465344
147,0.090241,0.448022
148,0.090068,0.455895
149,0.092017,0.457984
150,0.088859,0.466541
151,0.089714,0.470579
152,0.089641,0.446115
153,0.089540,0.472835
154,0.089379,0.450229
155,0.088973,0.493399
156,0.088732,0.479654
