epoch,train_loss,val_loss
1,0.351312,0.401666
2,0.235325,0.536379
3,0.213604,0.485685
4,0.198027,0.547316
5,0.186199,0.514722
6,0.175131,0.548381
7,0.167540,0.525001
8,0.161426,0.563389
9,0.155224,0.439932
10,0.152506,0.622244
11,0.151019,0.655425
12,0.144029,0.519904
13,0.144168,0.494620
14,0.137772,0.479780
15,0.134647,0.495668
16,0.133984,0.506082
17,0.130232,0.502513
18,0.127950,0.510195
19,0.125285,0.572433
20,0.122948,0.452566
21,0.121575,0.436001
22,0.117874,0.481098
23,0.116769,0.482357
24,0.116662,0.445818
25,0.113300,0.511131
26,0.113454,0.467662
27,0.111462,0.493589
28,0.111633,0.460719
29,0.109746,0.459799
30,0.108809,0.466290
31,0.106904,0.445694
32,0.106651,0.453795
33,0.104195,0.510041
34,0.104228,0.422747
35,0.103275,0.454388
36,0.103189,0.469362
37,0.100580,0.446298
38,0.100272,0.464936
39,0.103529,0.442205
40,0.101235,0.471515
41,0.098238,0.472207
42,0.097722,0.478839
43,0.097144,0.471382
44,0.094134,0.483342
45,0.096579,0.433909
46,0.095064,0.450254
47,0.093756,0.413964
48,0.095488,0.433659
49,0.094092,0.436035
50,0.092068,0.448706
51,0.094577,0.416950
52,0.093451,0.422486
53,0.091867,0.409448
54,0.091377,0.454306
55,0.092755,0.458040
56,0.091088,0.477008
57,0.091798,0.471571
58,0.091048,0.473764
59,0.089814,0.481688
60,0.090950,0.421356
61,0.088401,0.446226
62,0.090980,0.438400
63,0.089531,0.417290
64,0.089024,0.473742
65,0.089167,0.437209
66,0.088905,0.449640
67,0.089145,0.473580
68,0.089878,0.449263
69,0.089888,0.464583
70,0.087719,0.448461
71,0.086410,0.416441
72,0.086604,0.477405
73,0.087631,0.453073
74,0.087758,0.450888
75,0.085571,0.458226
76,0.086646,0.451227
77,0.085082,0.426098
78,0.087357,0.448586
79,0.086485,0.448239
80,0.085559,0.475888
81,0.084061,0.467032
82,0.086157,0.430137
83,0.083398,0.447384
84,0.083989,0.462538
85,0.082479,0.450885
86,0.084036,0.461414
87,0.084688,0.463375
88,0.084939,0.427512
89,0.083783,0.455735
90,0.084224,0.463506
91,0.085639,0.459215
92,0.084467,0.476411
93,0.084371,0.444490
94,0.086047,0.457528
95,0.083819,0.426845
96,0.083300,0.459918
97,0.083694,0.481436
98,0.084207,0.464681
99,0.083326,0.482220
100,0.083330,0.434140
101,0.082870,0.487232
102,0.083062,0.511918
103,0.080759,0.459505
