epoch,train_loss,val_loss
1,0.378168,0.372143
2,0.247524,0.467619
3,0.223690,0.541285
4,0.207761,0.534270
5,0.198345,0.536435
6,0.191271,0.542589
7,0.184802,0.516416
8,0.176110,0.535842
9,0.173952,0.545896
10,0.169436,0.515840
11,0.163731,0.632617
12,0.159585,0.546278
13,0.158018,0.432040
14,0.155053,0.489698
15,0.150751,0.567605
16,0.149835,0.496467
17,0.151468,0.474805
18,0.143570,0.514892
19,0.140240,0.503763
20,0.141839,0.447046
21,0.140827,0.487120
22,0.140186,0.467872
23,0.137909,0.532882
24,0.138012,0.460058
25,0.135676,0.540488
26,0.131480,0.536573
27,0.130867,0.565486
28,0.130558,0.623557
29,0.130651,0.513302
30,0.128918,0.529747
31,0.127472,0.440781
32,0.126280,0.488742
33,0.124574,0.546760
34,0.123299,0.518474
35,0.123525,0.487628
36,0.121484,0.484227
37,0.122238,0.482938
38,0.121123,0.478972
39,0.121447,0.472123
40,0.119384,0.464338
41,0.119973,0.519572
42,0.118069,0.482062
43,0.116101,0.539643
44,0.116908,0.456357
45,0.115161,0.477158
46,0.114835,0.465283
47,0.114022,0.470663
48,0.115284,0.432978
49,0.112134,0.493310
50,0.114617,0.486203
51,0.113458,0.463489
52,0.114052,0.465836
53,0.114380,0.467570
54,0.112832,0.475048
55,0.112195,0.485571
56,0.111756,0.450205
57,0.109984,0.478663
58,0.111225,0.467924
59,0.109736,0.559099
60,0.111236,0.508434
61,0.109432,0.466585
62,0.108819,0.454820
63,0.109642,0.456119
64,0.108647,0.487050
65,0.108689,0.453815
66,0.109172,0.467365
67,0.108144,0.474023
68,0.107209,0.468785
69,0.107217,0.460934
70,0.106678,0.488943
71,0.104923,0.502844
72,0.104861,0.465437
73,0.105741,0.475581
74,0.107215,0.448618
75,0.104524,0.462709
76,0.104220,0.475128
77,0.105064,0.479510
78,0.104360,0.483837
79,0.102771,0.448313
80,0.102980,0.430058
81,0.103651,0.453808
82,0.106403,0.474044
83,0.102849,0.461698
84,0.102627,0.458018
85,0.102781,0.463687
86,0.100948,0.461470
87,0.100495,0.466503
88,0.104830,0.460759
89,0.101622,0.471119
90,0.101680,0.440207
91,0.102928,0.450300
92,0.099452,0.444131
93,0.102314,0.432673
94,0.102220,0.491796
95,0.100852,0.478658
96,0.101298,0.474116
97,0.100746,0.485085
98,0.100708,0.450145
99,0.101132,0.457642
100,0.100067,0.425733
101,0.100917,0.478761
102,0.099855,0.475806
103,0.097858,0.445170
104,0.099519,0.476070
105,0.102146,0.475663
106,0.101134,0.433926
107,0.100486,0.462598
108,0.100545,0.452542
109,0.099180,0.460129
110,0.098982,0.495235
111,0.098268,0.480969
112,0.097381,0.511184
113,0.100929,0.465655
114,0.098167,0.444449
115,0.099281,0.461686
116,0.098772,0.471350
117,0.097429,0.433414
