epoch,train_loss,val_loss
1,0.421241,0.357882
2,0.249710,0.404329
3,0.219051,0.472052
4,0.202495,0.505617
5,0.191696,0.481530
6,0.184097,0.486166
7,0.176675,0.514648
8,0.169096,0.524289
9,0.165402,0.597341
10,0.160444,0.617636
11,0.155337,0.594650
12,0.152584,0.559638
13,0.149503,0.579307
14,0.145758,0.549658
15,0.143863,0.598367
16,0.142532,0.521194
17,0.139180,0.538904
18,0.137023,0.580437
19,0.135571,0.625190
20,0.133955,0.510945
21,0.132398,0.544049
22,0.130875,0.528440
23,0.130205,0.550413
24,0.130316,0.517763
25,0.126707,0.563206
26,0.123966,0.524460
27,0.125066,0.528759
28,0.121704,0.595413
29,0.120794,0.540265
30,0.121225,0.493322
31,0.120776,0.451103
32,0.120209,0.551285
33,0.119115,0.537502
34,0.116446,0.456986
35,0.116420,0.466298
36,0.115508,0.484701
37,0.115992,0.462502
38,0.114497,0.452178
39,0.114290,0.485531
40,0.112773,0.531149
41,0.111658,0.475855
42,0.112570,0.507359
43,0.109209,0.469133
44,0.109280,0.509890
45,0.109063,0.487312
46,0.108731,0.478878
47,0.108134,0.460645
48,0.109653,0.474294
49,0.107033,0.461155
50,0.107454,0.534819
51,0.107124,0.505180
52,0.105617,0.481689
53,0.103724,0.453873
54,0.105868,0.493224
55,0.104986,0.497053
56,0.103370,0.509599
57,0.103971,0.497067
58,0.103658,0.470675
59,0.102854,0.474280
60,0.103403,0.516265
61,0.100632,0.490948
62,0.101619,0.493852
63,0.101953,0.456405
64,0.101283,0.491543
65,0.101204,0.434946
66,0.099714,0.498736
67,0.099494,0.498881
68,0.100566,0.504859
69,0.099050,0.470716
70,0.099928,0.501106
71,0.098620,0.535851
72,0.100425,0.508698
73,0.098894,0.490532
74,0.096575,0.467075
75,0.099427,0.532923
76,0.098290,0.475445
77,0.097819,0.482264
78,0.096566,0.496198
79,0.094864,0.477325
80,0.095425,0.485853
81,0.094064,0.520181
82,0.096870,0.507126
83,0.096102,0.494346
84,0.094317,0.446236
85,0.095867,0.473250
86,0.093913,0.495101
87,0.094969,0.461557
88,0.094852,0.468195
89,0.094072,0.436209
90,0.094269,0.466665
91,0.093631,0.490360
92,0.094595,0.447448
93,0.092543,0.477709
94,0.091606,0.506148
95,0.093219,0.475442
96,0.092879,0.521146
97,0.091782,0.504442
98,0.093793,0.463829
99,0.092725,0.494328
100,0.092795,0.471358
101,0.091274,0.523675
102,0.091272,0.496788
103,0.091354,0.467948
104,0.090153,0.533628
105,0.090863,0.491230
106,0.090331,0.466054
107,0.091237,0.476725
108,0.089365,0.534190
109,0.089657,0.452471
110,0.089453,0.495209
111,0.090393,0.455318
112,0.090013,0.481865
113,0.090318,0.498320
114,0.088523,0.466515
115,0.089111,0.484082
