epoch,train_loss,val_loss
1,0.431284,0.365301
2,0.251519,0.389733
3,0.220439,0.451774
4,0.204067,0.498867
5,0.193210,0.491316
6,0.186465,0.525393
7,0.178985,0.528958
8,0.172898,0.579412
9,0.168025,0.648369
10,0.162197,0.643858
11,0.157855,0.645212
12,0.155488,0.669662
13,0.153165,0.568647
14,0.148102,0.596760
15,0.148564,0.663144
16,0.145402,0.626556
17,0.145063,0.586488
18,0.140624,0.607994
19,0.140181,0.730787
20,0.136925,0.607628
21,0.134526,0.646204
22,0.133870,0.573308
23,0.134286,0.660291
24,0.134067,0.557095
25,0.130420,0.607306
26,0.131329,0.630040
27,0.128331,0.648458
28,0.128193,0.627237
29,0.127172,0.617068
30,0.125898,0.581157
31,0.124969,0.513285
32,0.123956,0.626219
33,0.124222,0.650351
34,0.121128,0.554069
35,0.121621,0.576473
36,0.120227,0.576501
37,0.120552,0.571896
38,0.119762,0.544045
39,0.119422,0.627339
40,0.117079,0.616685
41,0.117206,0.577193
42,0.118959,0.594795
43,0.115810,0.553139
44,0.115402,0.611938
45,0.114733,0.591195
46,0.114342,0.578164
47,0.114135,0.497708
48,0.114542,0.504650
49,0.113111,0.553129
50,0.112564,0.588411
51,0.112521,0.581884
52,0.110439,0.512246
53,0.112804,0.510883
54,0.111457,0.565763
55,0.109510,0.561220
56,0.110076,0.568324
57,0.110278,0.578286
58,0.110548,0.580560
59,0.109317,0.598742
60,0.108848,0.573275
61,0.107573,0.574948
62,0.106903,0.520310
63,0.108245,0.537947
64,0.107133,0.550324
65,0.107185,0.511561
66,0.106178,0.545249
67,0.105857,0.503624
68,0.105223,0.540202
69,0.104699,0.519460
70,0.105919,0.555103
71,0.104737,0.606554
72,0.105193,0.546206
73,0.103748,0.540649
74,0.102633,0.466290
75,0.105385,0.564112
76,0.101717,0.513007
77,0.102391,0.533765
78,0.102929,0.523924
79,0.101920,0.519424
80,0.101066,0.531984
81,0.101096,0.559090
82,0.103203,0.545093
83,0.101475,0.519305
84,0.101728,0.503405
85,0.100234,0.503000
86,0.100047,0.519346
87,0.101223,0.558469
88,0.099886,0.509486
89,0.100286,0.483519
90,0.099666,0.495578
91,0.100576,0.542970
92,0.098433,0.509988
93,0.099297,0.505796
94,0.100166,0.521951
95,0.098922,0.516275
96,0.098346,0.530172
97,0.097550,0.548204
98,0.098842,0.531649
99,0.099097,0.497989
100,0.096953,0.484248
101,0.096886,0.547425
102,0.098214,0.577234
103,0.098171,0.494344
104,0.096489,0.576341
105,0.098490,0.515536
106,0.097135,0.478451
107,0.095214,0.496283
108,0.095797,0.556592
109,0.097126,0.490922
110,0.095782,0.535711
111,0.097107,0.513332
112,0.095947,0.525312
113,0.096568,0.529381
114,0.095732,0.501702
115,0.097068,0.530183
116,0.095381,0.525693
117,0.095180,0.538506
118,0.094513,0.496648
119,0.095446,0.534726
120,0.094419,0.498279
121,0.094686,0.533524
122,0.094922,0.524644
123,0.094663,0.503282
124,0.094631,0.525740
