epoch,train_loss,val_loss
1,0.430219,0.374412
2,0.262885,0.410961
3,0.231797,0.481019
4,0.214243,0.480986
5,0.203995,0.437838
6,0.198873,0.491818
7,0.189252,0.529628
8,0.184784,0.490654
9,0.178297,0.551936
10,0.174915,0.636375
11,0.172381,0.546991
12,0.167894,0.577862
13,0.166089,0.541864
14,0.161385,0.529342
15,0.162792,0.558584
16,0.159777,0.543412
17,0.158977,0.562810
18,0.153008,0.518871
19,0.154685,0.590757
20,0.152548,0.557878
21,0.151239,0.540280
22,0.149527,0.504119
23,0.148401,0.605927
24,0.149032,0.556375
25,0.145698,0.551296
26,0.144290,0.511739
27,0.143542,0.586874
28,0.143507,0.554321
29,0.141145,0.531944
30,0.140864,0.510275
31,0.145135,0.484373
32,0.141090,0.589192
33,0.140702,0.600885
34,0.138806,0.535638
35,0.135260,0.515357
36,0.136319,0.498847
37,0.136327,0.489305
38,0.136619,0.547399
39,0.136716,0.526043
40,0.133023,0.560602
41,0.132219,0.496779
42,0.133471,0.494435
43,0.131960,0.542772
44,0.132228,0.531117
45,0.132562,0.540068
46,0.130363,0.523665
47,0.129551,0.522855
48,0.130808,0.524784
49,0.129306,0.533512
50,0.129294,0.558000
51,0.128546,0.550756
52,0.126171,0.497696
53,0.127624,0.465620
54,0.128838,0.510891
55,0.126790,0.528737
56,0.127347,0.498689
57,0.126249,0.539789
58,0.124130,0.507372
59,0.124455,0.502278
60,0.126340,0.537821
61,0.122765,0.514241
62,0.121555,0.512123
63,0.124077,0.446080
64,0.125565,0.498848
65,0.123826,0.475680
66,0.123465,0.481571
67,0.123173,0.493186
68,0.122685,0.503036
69,0.122582,0.472801
70,0.123863,0.498059
71,0.120122,0.528651
72,0.121323,0.496001
73,0.121019,0.486684
74,0.119356,0.499294
75,0.121914,0.583525
76,0.120711,0.484319
77,0.122337,0.509975
78,0.120363,0.498563
79,0.119150,0.495875
80,0.120032,0.530117
81,0.118780,0.541395
82,0.119974,0.500655
83,0.119922,0.508668
84,0.119769,0.463727
85,0.117409,0.522279
86,0.117941,0.498224
87,0.118293,0.516029
88,0.119181,0.481638
89,0.120188,0.480810
90,0.118686,0.523956
91,0.116939,0.508604
92,0.116421,0.475215
93,0.116854,0.483908
94,0.118010,0.521393
95,0.116612,0.475569
96,0.115698,0.479879
97,0.117649,0.525902
98,0.118106,0.482680
99,0.116395,0.454673
100,0.116353,0.488157
101,0.116624,0.515782
102,0.116386,0.543733
103,0.115508,0.498215
104,0.115469,0.565693
105,0.115880,0.456865
106,0.114895,0.466342
107,0.114548,0.461025
108,0.114469,0.529569
109,0.116904,0.515684
110,0.115452,0.497450
111,0.114511,0.469829
112,0.116132,0.551421
113,0.114612,0.476173
