epoch,train_loss,val_loss
1,0.426819,0.358765
2,0.287709,0.405310
3,0.258479,0.475449
4,0.243413,0.458319
5,0.235807,0.461377
6,0.224402,0.468464
7,0.216505,0.493086
8,0.210867,0.485298
9,0.205874,0.538006
10,0.202646,0.531257
11,0.196671,0.541323
12,0.189950,0.528360
13,0.191421,0.451431
14,0.184621,0.534994
15,0.183123,0.509218
16,0.179766,0.510791
17,0.176255,0.554224
18,0.173400,0.516377
19,0.172383,0.563788
20,0.168475,0.504651
21,0.168125,0.500547
22,0.169685,0.472412
23,0.164787,0.570055
24,0.163325,0.503919
25,0.158987,0.504522
26,0.160767,0.483586
27,0.160502,0.506470
28,0.160331,0.500228
29,0.155828,0.495366
30,0.156462,0.499778
31,0.154887,0.481088
32,0.154878,0.495857
33,0.153249,0.513199
34,0.152193,0.444710
35,0.148839,0.477688
36,0.151041,0.473335
37,0.147481,0.458643
38,0.147319,0.471671
39,0.147888,0.485331
40,0.146462,0.501968
41,0.146321,0.529020
42,0.145094,0.490144
43,0.145047,0.487623
44,0.142058,0.475752
45,0.143122,0.472086
46,0.143120,0.489457
47,0.141021,0.465279
48,0.143469,0.457507
49,0.141911,0.461147
50,0.142207,0.497762
51,0.142136,0.475995
52,0.137956,0.459543
53,0.137456,0.450076
54,0.137169,0.497748
55,0.138525,0.485125
56,0.138455,0.510181
57,0.135869,0.521175
58,0.135196,0.490395
59,0.139958,0.441551
60,0.135855,0.448581
61,0.133962,0.471322
62,0.135468,0.433736
63,0.134908,0.457402
64,0.134422,0.444465
65,0.135485,0.460168
66,0.134656,0.454347
67,0.134596,0.468456
68,0.133971,0.455570
69,0.134457,0.457675
70,0.131676,0.468273
71,0.129376,0.459919
72,0.133545,0.459975
73,0.131742,0.447971
74,0.130390,0.464813
75,0.131118,0.480951
76,0.131824,0.452143
77,0.129438,0.454284
78,0.131112,0.446855
79,0.129396,0.455673
80,0.128518,0.451185
81,0.129541,0.468645
82,0.130257,0.445466
83,0.127223,0.470367
84,0.130676,0.451748
85,0.127793,0.440642
86,0.128287,0.471683
87,0.127858,0.439959
88,0.126388,0.443176
89,0.127049,0.444150
90,0.128223,0.463304
91,0.130550,0.464566
92,0.129154,0.459686
93,0.126036,0.423324
94,0.127503,0.441275
95,0.126271,0.452612
96,0.123815,0.449357
97,0.125861,0.454593
98,0.127688,0.435315
99,0.127362,0.397041
100,0.125610,0.409540
101,0.124498,0.470774
102,0.126364,0.449672
103,0.125764,0.447838
104,0.124640,0.479722
105,0.124664,0.456718
106,0.126250,0.445143
107,0.123179,0.423626
108,0.125600,0.447383
109,0.125986,0.424331
110,0.125538,0.428335
111,0.125801,0.425606
112,0.125405,0.468786
113,0.124656,0.431466
114,0.125620,0.415063
115,0.125930,0.421625
116,0.124828,0.433034
117,0.121915,0.423207
118,0.122311,0.442989
119,0.121618,0.427480
120,0.124490,0.414144
121,0.120922,0.432202
122,0.123706,0.411660
123,0.122613,0.408278
124,0.125417,0.405499
125,0.121185,0.469466
126,0.121680,0.474904
127,0.122225,0.437426
128,0.123069,0.478792
129,0.124895,0.434702
130,0.122686,0.457270
131,0.123723,0.410920
132,0.122412,0.399720
133,0.122455,0.425342
134,0.122001,0.410235
135,0.122565,0.411782
136,0.121142,0.415477
137,0.125984,0.416661
138,0.121888,0.441336
139,0.123435,0.422034
140,0.122030,0.482094
141,0.119483,0.438058
142,0.121114,0.428511
143,0.121065,0.445907
144,0.120917,0.418804
145,0.121763,0.440203
146,0.122578,0.417909
147,0.123771,0.412587
148,0.119061,0.426762
149,0.122073,0.430817
