epoch,train_loss,val_loss
1,0.541044,0.508579
2,0.341339,0.373094
3,0.302056,0.380346
4,0.281346,0.398513
5,0.266195,0.422040
6,0.255857,0.444520
7,0.248442,0.468599
8,0.240431,0.489578
9,0.233939,0.466578
10,0.227445,0.489650
11,0.225670,0.483147
12,0.220337,0.455443
13,0.215955,0.474920
14,0.214632,0.460184
15,0.208357,0.466423
16,0.207276,0.507274
17,0.203432,0.492296
18,0.200835,0.485310
19,0.199527,0.506268
20,0.198152,0.518440
21,0.193514,0.538124
22,0.191124,0.498578
23,0.190239,0.528379
24,0.186892,0.527194
25,0.184116,0.487519
26,0.183356,0.494456
27,0.179650,0.480996
28,0.178660,0.539395
29,0.177705,0.516499
30,0.176243,0.488422
31,0.172675,0.495897
32,0.172084,0.492519
33,0.172190,0.511491
34,0.169124,0.508880
35,0.168931,0.502816
36,0.169725,0.477520
37,0.166047,0.477899
38,0.164237,0.483164
39,0.164285,0.501935
40,0.162243,0.495851
41,0.161559,0.481010
42,0.161710,0.467030
43,0.159859,0.463093
44,0.160190,0.507816
45,0.157553,0.464162
46,0.157513,0.485258
47,0.157602,0.483600
48,0.156394,0.502850
49,0.153776,0.462836
50,0.153549,0.498230
51,0.152424,0.497568
52,0.150990,0.487033
53,0.150432,0.466979
54,0.152355,0.494841
55,0.151897,0.476603
56,0.149592,0.462328
57,0.149537,0.452928
58,0.146892,0.485211
59,0.147802,0.468548
60,0.145998,0.460144
61,0.145980,0.467864
62,0.146025,0.472241
63,0.143601,0.460672
64,0.142999,0.470296
65,0.141488,0.468958
66,0.143821,0.461628
67,0.141564,0.449883
68,0.140384,0.445547
69,0.140960,0.474617
70,0.140026,0.439944
71,0.141334,0.458953
72,0.141665,0.436709
73,0.138297,0.449851
74,0.137125,0.453088
75,0.138638,0.440445
76,0.135729,0.444803
77,0.134979,0.453245
78,0.135922,0.454189
79,0.137966,0.441616
80,0.136895,0.442539
81,0.134231,0.452122
82,0.134747,0.462792
83,0.132577,0.435582
84,0.132264,0.430829
85,0.133723,0.439028
86,0.131649,0.427262
87,0.131145,0.436500
88,0.131660,0.414423
89,0.131787,0.439618
90,0.130547,0.438735
91,0.131378,0.441037
92,0.129040,0.436006
93,0.128817,0.447856
94,0.129361,0.434363
95,0.128171,0.455742
96,0.128839,0.446155
97,0.128229,0.426300
98,0.127740,0.443300
99,0.127271,0.426548
100,0.128377,0.436885
101,0.127868,0.442898
102,0.125003,0.430916
103,0.125546,0.438437
104,0.125880,0.428502
105,0.126689,0.445184
106,0.126041,0.421303
107,0.126704,0.433720
108,0.125993,0.417253
109,0.124489,0.426546
110,0.125935,0.418956
111,0.123908,0.422250
112,0.125647,0.427605
113,0.123374,0.434161
114,0.124751,0.431561
115,0.123465,0.445552
116,0.122779,0.429581
117,0.122872,0.433149
118,0.122323,0.418053
119,0.122314,0.419196
120,0.122610,0.407715
121,0.121458,0.417866
122,0.122686,0.417419
123,0.120817,0.424685
124,0.120231,0.428616
125,0.119777,0.421160
126,0.119133,0.431359
127,0.122333,0.423870
128,0.119457,0.420545
129,0.119795,0.426683
130,0.119959,0.404735
131,0.119668,0.423106
132,0.118795,0.406264
133,0.119857,0.423600
134,0.118434,0.394555
135,0.118566,0.418320
136,0.118525,0.413619
137,0.116618,0.424375
138,0.117378,0.416859
139,0.117911,0.425056
140,0.118429,0.430685
141,0.115766,0.418578
142,0.118034,0.421784
143,0.116689,0.428104
144,0.116856,0.411100
145,0.115367,0.423893
146,0.116748,0.422869
147,0.117447,0.413745
148,0.117425,0.424957
149,0.117100,0.420752
150,0.115263,0.435152
151,0.115234,0.424106
152,0.116418,0.420259
153,0.115499,0.426315
154,0.115894,0.413985
155,0.114609,0.432262
156,0.114994,0.440544
157,0.113720,0.434331
158,0.113444,0.417082
159,0.116760,0.421489
160,0.114981,0.416586
161,0.114782,0.422906
162,0.115005,0.413161
163,0.113606,0.419622
164,0.114292,0.408333
165,0.113562,0.423602
166,0.112937,0.416899
167,0.113735,0.418510
168,0.111942,0.421035
169,0.113026,0.441554
170,0.115171,0.429022
171,0.112525,0.433422
172,0.112537,0.404366
173,0.113078,0.409416
174,0.112686,0.411233
175,0.113735,0.413640
176,0.112254,0.410138
177,0.113081,0.418627
178,0.109949,0.415667
179,0.113050,0.420976
180,0.111358,0.429720
181,0.111933,0.413124
182,0.110528,0.417865
183,0.111553,0.417270
184,0.110412,0.423450
