epoch,train_loss,val_loss
1,0.433146,0.369435
2,0.282820,0.402450
3,0.252657,0.483633
4,0.234194,0.460272
5,0.225645,0.449109
6,0.217854,0.475775
7,0.210417,0.518248
8,0.203565,0.462580
9,0.197147,0.491980
10,0.195443,0.522602
11,0.190399,0.498144
12,0.183432,0.489378
13,0.181445,0.474329
14,0.176766,0.487079
15,0.176299,0.469492
16,0.172568,0.512824
17,0.171293,0.541811
18,0.167561,0.519952
19,0.166156,0.552169
20,0.163758,0.464179
21,0.163440,0.508676
22,0.161080,0.455419
23,0.158924,0.530326
24,0.158328,0.485994
25,0.155199,0.463919
26,0.153012,0.463709
27,0.152377,0.477692
28,0.151125,0.504680
29,0.150331,0.484473
30,0.149229,0.524950
31,0.145819,0.440470
32,0.147303,0.501798
33,0.144691,0.532263
34,0.143725,0.451370
35,0.143542,0.440208
36,0.144216,0.469513
37,0.142818,0.464894
38,0.141484,0.473051
39,0.140820,0.489208
40,0.140713,0.494736
41,0.138435,0.492501
42,0.140614,0.444913
43,0.135379,0.439770
44,0.135423,0.504304
45,0.134357,0.447393
46,0.135936,0.485709
47,0.136439,0.457740
48,0.134619,0.451997
49,0.133263,0.446195
50,0.131325,0.494906
51,0.132502,0.465128
52,0.131194,0.493092
53,0.129438,0.424118
54,0.129899,0.477348
55,0.130288,0.457728
56,0.128876,0.459304
57,0.127435,0.461107
58,0.127354,0.491936
59,0.127913,0.441559
60,0.126697,0.441792
61,0.127342,0.452675
62,0.126359,0.429340
63,0.125149,0.435347
64,0.126023,0.429662
65,0.127120,0.424706
66,0.124523,0.448842
67,0.125392,0.455792
68,0.125390,0.435699
69,0.125720,0.445733
70,0.124990,0.435524
71,0.124666,0.428625
72,0.123914,0.456332
73,0.123398,0.438676
74,0.120807,0.420365
75,0.125412,0.441509
76,0.123043,0.414752
77,0.121115,0.441757
78,0.120601,0.426178
79,0.120468,0.435294
80,0.121511,0.435859
81,0.121900,0.446776
82,0.121125,0.428703
83,0.119802,0.439606
84,0.120809,0.436001
85,0.120520,0.427230
86,0.118708,0.434672
87,0.119696,0.405006
88,0.120396,0.413089
89,0.119533,0.406972
90,0.120037,0.433475
91,0.118619,0.429026
92,0.118658,0.421409
93,0.117758,0.415351
94,0.118036,0.421752
95,0.117684,0.427393
96,0.119184,0.405919
97,0.117608,0.433186
98,0.119862,0.410563
99,0.117803,0.401545
100,0.116730,0.427802
101,0.117178,0.447467
102,0.118558,0.447972
103,0.115330,0.424803
104,0.116221,0.450255
105,0.116663,0.425004
106,0.116932,0.411091
107,0.114516,0.412314
108,0.115585,0.431585
109,0.117099,0.402918
110,0.116574,0.395208
111,0.115923,0.412713
112,0.115379,0.415547
113,0.117069,0.429260
114,0.114730,0.413761
115,0.116114,0.412728
116,0.114097,0.422328
117,0.115839,0.407309
118,0.115116,0.409698
119,0.113718,0.422951
120,0.114909,0.429362
121,0.114037,0.416359
122,0.116281,0.410428
123,0.112344,0.404093
124,0.114543,0.418330
125,0.112143,0.444650
126,0.114109,0.416772
127,0.113946,0.417866
128,0.112679,0.434705
129,0.115016,0.419247
130,0.112002,0.428758
131,0.112525,0.395796
132,0.112421,0.397249
133,0.114580,0.417490
134,0.112296,0.396741
135,0.115205,0.430444
136,0.111149,0.445609
137,0.111117,0.407121
138,0.110940,0.420240
139,0.113545,0.410508
140,0.111366,0.404415
141,0.112326,0.426850
142,0.112765,0.408987
143,0.111466,0.423448
144,0.111179,0.408760
145,0.110967,0.438250
146,0.111443,0.398203
147,0.111090,0.398633
148,0.111722,0.394504
149,0.111110,0.413976
150,0.111285,0.435910
151,0.111223,0.419914
152,0.110315,0.401021
153,0.112593,0.417180
154,0.112893,0.410452
155,0.110457,0.427271
156,0.109519,0.392154
157,0.109390,0.414653
158,0.109779,0.424316
159,0.109447,0.407281
160,0.109952,0.413459
161,0.110261,0.394884
162,0.110296,0.387200
163,0.109169,0.403910
164,0.110620,0.417116
165,0.109677,0.405916
166,0.112020,0.404962
167,0.109563,0.398221
168,0.110461,0.407090
169,0.110937,0.411951
