epoch,train_loss,val_loss
1,0.438701,0.370982
2,0.280257,0.386978
3,0.251370,0.453127
4,0.235393,0.477956
5,0.227025,0.474880
6,0.218964,0.493342
7,0.213884,0.510221
8,0.207799,0.481434
9,0.202571,0.526574
10,0.197868,0.583146
11,0.193225,0.539875
12,0.189509,0.554213
13,0.187755,0.537338
14,0.183991,0.534127
15,0.180913,0.535668
16,0.176892,0.581734
17,0.175837,0.523334
18,0.173822,0.503296
19,0.169569,0.570760
20,0.169795,0.486434
21,0.166760,0.499205
22,0.168140,0.489507
23,0.164088,0.554442
24,0.163521,0.546283
25,0.161303,0.502694
26,0.160333,0.485967
27,0.159220,0.500641
28,0.157590,0.536983
29,0.157245,0.510337
30,0.155143,0.462319
31,0.155389,0.473521
32,0.155658,0.546034
33,0.153067,0.538525
34,0.152998,0.454742
35,0.150798,0.478219
36,0.150770,0.475182
37,0.149876,0.461307
38,0.147465,0.482241
39,0.148554,0.481613
40,0.147964,0.545289
41,0.147024,0.484738
42,0.146372,0.499688
43,0.143861,0.481126
44,0.144506,0.501371
45,0.143166,0.472179
46,0.142565,0.475882
47,0.142348,0.468232
48,0.140227,0.476287
49,0.139088,0.483108
50,0.139819,0.495112
51,0.139747,0.461697
52,0.136688,0.472297
53,0.138494,0.445906
54,0.137693,0.506392
55,0.137320,0.499563
56,0.136448,0.488363
57,0.136489,0.498783
58,0.135796,0.479681
59,0.133573,0.498888
60,0.135562,0.508870
61,0.133571,0.482621
62,0.134069,0.453315
63,0.133369,0.453161
64,0.131838,0.466284
65,0.132242,0.447462
66,0.132261,0.460700
67,0.129971,0.470645
68,0.131433,0.485012
69,0.130288,0.467293
70,0.131036,0.465960
71,0.129759,0.479027
72,0.130467,0.445474
73,0.130976,0.459821
74,0.128889,0.451300
75,0.131184,0.489641
76,0.128532,0.447959
77,0.129793,0.460485
78,0.128234,0.480919
79,0.128589,0.480526
80,0.127324,0.435431
81,0.126833,0.484605
82,0.127517,0.468187
83,0.126854,0.470134
84,0.126149,0.457819
85,0.126423,0.457121
86,0.126718,0.477535
87,0.125980,0.447179
88,0.126152,0.474453
89,0.125334,0.428766
90,0.125986,0.448387
91,0.122508,0.473784
92,0.124465,0.447311
93,0.127097,0.446509
94,0.125824,0.447196
95,0.124660,0.465507
96,0.125370,0.480141
97,0.124203,0.478227
98,0.123135,0.455102
99,0.124232,0.431767
100,0.124002,0.436375
101,0.122464,0.474546
102,0.121493,0.464147
103,0.122427,0.439028
104,0.122600,0.472611
105,0.124072,0.462973
106,0.121881,0.432784
107,0.120861,0.428793
108,0.123493,0.482812
109,0.120536,0.454711
110,0.121509,0.470995
111,0.121395,0.457216
112,0.121466,0.473021
113,0.120724,0.458724
114,0.120903,0.461526
115,0.120050,0.441167
116,0.120442,0.442306
117,0.121913,0.472810
118,0.119430,0.431091
119,0.121332,0.473211
120,0.120392,0.451697
121,0.120765,0.449812
122,0.119842,0.469360
123,0.119556,0.439535
124,0.119188,0.477083
125,0.120288,0.494742
126,0.120203,0.471767
127,0.118590,0.460676
128,0.117703,0.464788
129,0.119573,0.454766
130,0.119555,0.473363
131,0.117712,0.434403
132,0.118594,0.408648
133,0.118437,0.440099
134,0.118553,0.459638
135,0.117302,0.434228
136,0.117646,0.461654
137,0.117010,0.438285
138,0.118829,0.454214
139,0.118687,0.440566
140,0.119208,0.441989
141,0.117395,0.437241
142,0.117997,0.456403
143,0.118402,0.462647
144,0.117408,0.431202
145,0.117405,0.456492
146,0.117261,0.416254
147,0.118023,0.426970
148,0.116923,0.422351
149,0.115692,0.427021
150,0.118138,0.426016
151,0.117954,0.448788
152,0.116529,0.417413
153,0.115019,0.455818
154,0.117188,0.436379
155,0.116075,0.466665
156,0.117259,0.425577
157,0.117550,0.462537
158,0.115645,0.487666
159,0.116229,0.426992
160,0.118511,0.441008
161,0.117402,0.446418
162,0.116425,0.433355
163,0.115467,0.436067
164,0.117503,0.446288
165,0.115571,0.458612
166,0.116331,0.429349
167,0.115276,0.459304
168,0.116722,0.464619
169,0.114789,0.457028
170,0.115750,0.426192
171,0.115091,0.437492
172,0.115556,0.448505
173,0.115373,0.442828
174,0.115333,0.442668
175,0.115272,0.443161
176,0.114855,0.460402
177,0.115769,0.424359
178,0.114442,0.448478
179,0.114028,0.447963
180,0.114179,0.443964
181,0.114984,0.451354
182,0.115889,0.454577
