epoch,train_loss,val_loss
1,0.375613,0.367939
2,0.244279,0.515636
3,0.218388,0.517619
4,0.202413,0.465842
5,0.193096,0.475771
6,0.184515,0.526129
7,0.177469,0.482871
8,0.170686,0.519469
9,0.163816,0.570072
10,0.161697,0.579483
11,0.158162,0.649884
12,0.156710,0.527342
13,0.151710,0.514095
14,0.147547,0.498549
15,0.144922,0.503132
16,0.142214,0.494300
17,0.143356,0.465373
18,0.137933,0.551645
19,0.136157,0.613254
20,0.137394,0.434444
21,0.134504,0.450856
22,0.131943,0.465399
23,0.131329,0.510516
24,0.131280,0.462561
25,0.127511,0.481887
26,0.126369,0.488452
27,0.123185,0.492134
28,0.124106,0.487291
29,0.123218,0.467529
30,0.120612,0.427959
31,0.120815,0.442389
32,0.119093,0.470840
33,0.121975,0.525161
34,0.119062,0.486640
35,0.116473,0.449313
36,0.117612,0.458930
37,0.114922,0.478656
38,0.115139,0.425988
39,0.113993,0.477385
40,0.114262,0.494471
41,0.112180,0.500978
42,0.112593,0.457657
43,0.111041,0.498944
44,0.111615,0.453585
45,0.111041,0.472941
46,0.110496,0.515118
47,0.108145,0.536785
48,0.111700,0.454935
49,0.108814,0.462375
50,0.107965,0.502758
51,0.109970,0.479012
52,0.107552,0.452153
53,0.106501,0.427256
54,0.106064,0.470793
55,0.106487,0.504607
56,0.107871,0.437728
57,0.107127,0.451808
58,0.108718,0.489772
59,0.106242,0.498276
60,0.104033,0.462200
61,0.103439,0.447262
62,0.102843,0.478785
63,0.104325,0.391769
64,0.104209,0.487376
65,0.101370,0.429093
66,0.102791,0.458021
67,0.101189,0.506408
68,0.102038,0.468092
69,0.101933,0.442582
70,0.100552,0.453731
71,0.100176,0.491395
72,0.102100,0.480497
73,0.103581,0.467546
74,0.100415,0.443807
75,0.100484,0.480244
76,0.102236,0.484539
77,0.099639,0.438358
78,0.101058,0.468884
79,0.098337,0.432552
80,0.099211,0.443620
81,0.100066,0.468731
82,0.099935,0.450530
83,0.100213,0.454965
84,0.099270,0.448797
85,0.099429,0.474139
86,0.097419,0.432998
87,0.098155,0.459721
88,0.097884,0.469880
89,0.096596,0.435270
90,0.097569,0.423281
91,0.097343,0.436444
92,0.097013,0.427240
93,0.096776,0.448086
94,0.096808,0.493928
95,0.097028,0.460261
96,0.097134,0.469843
97,0.098536,0.456667
98,0.097564,0.446354
99,0.096923,0.436839
100,0.098016,0.425025
101,0.096909,0.469491
102,0.095961,0.463325
103,0.096227,0.439592
104,0.096378,0.464610
105,0.095140,0.439659
106,0.096694,0.436228
107,0.097543,0.437606
108,0.095710,0.475933
109,0.095815,0.449862
110,0.095057,0.477318
111,0.096389,0.476334
112,0.095068,0.475195
113,0.095283,0.464495
