epoch,train_loss,val_loss
1,0.422157,0.360064
2,0.283450,0.384600
3,0.263933,0.400245
4,0.251494,0.370753
5,0.248158,0.408571
6,0.245272,0.430942
7,0.242476,0.402418
8,0.239951,0.386265
9,0.238276,0.383734
10,0.237639,0.457812
11,0.234694,0.470516
12,0.236922,0.456015
13,0.236289,0.391156
14,0.234767,0.478052
15,0.234304,0.441544
16,0.233835,0.391874
17,0.232035,0.397235
18,0.231714,0.452006
19,0.233173,0.455454
20,0.229933,0.427398
21,0.231753,0.434311
22,0.232396,0.421732
23,0.231671,0.440561
24,0.234402,0.412568
25,0.232541,0.432363
26,0.231459,0.485440
27,0.231567,0.461065
28,0.232483,0.402796
29,0.231123,0.426766
30,0.233281,0.402979
31,0.232964,0.436967
32,0.233447,0.421175
33,0.233948,0.490665
34,0.232310,0.401703
35,0.230418,0.420852
36,0.231431,0.468116
37,0.233182,0.407887
38,0.230324,0.474427
39,0.231253,0.503983
40,0.230895,0.466230
41,0.232562,0.419706
42,0.232084,0.432081
43,0.232257,0.481987
44,0.232720,0.476668
45,0.231973,0.450999
46,0.230696,0.440446
47,0.231974,0.451372
48,0.232195,0.497035
49,0.236325,0.439093
50,0.231551,0.501686
51,0.234216,0.469353
52,0.231842,0.419885
53,0.233934,0.429750
54,0.232753,0.453299
55,0.232299,0.566820
56,0.232492,0.415750
57,0.232318,0.444755
58,0.234113,0.500476
59,0.232035,0.438075
60,0.232903,0.406484
61,0.232195,0.510577
62,0.234183,0.444956
63,0.233475,0.419659
64,0.233176,0.445173
65,0.236198,0.397464
66,0.233857,0.429694
67,0.234984,0.427625
68,0.231549,0.490031
69,0.234264,0.462019
70,0.232863,0.440816
71,0.233582,0.457099
72,0.231219,0.427017
73,0.231889,0.467920
74,0.233210,0.414215
75,0.233700,0.515625
76,0.232421,0.474900
77,0.232939,0.542785
78,0.232540,0.470813
79,0.231335,0.433301
80,0.232797,0.485241
81,0.232947,0.461511
82,0.234016,0.469993
83,0.233123,0.418836
84,0.233044,0.462804
85,0.232749,0.589351
86,0.235047,0.427610
87,0.233610,0.419411
88,0.232805,0.418399
89,0.232603,0.414380
90,0.233929,0.476410
91,0.233966,0.462640
92,0.234014,0.458597
93,0.232661,0.493230
94,0.233623,0.431629
95,0.235062,0.438324
96,0.233328,0.530791
97,0.235534,0.417491
98,0.233520,0.429076
99,0.234914,0.448456
100,0.234277,0.443054
