epoch,train_loss,val_loss
1,0.497419,0.388945
2,0.323967,0.368969
3,0.286660,0.388447
4,0.269958,0.398088
5,0.259268,0.404974
6,0.250627,0.447477
7,0.246028,0.433038
8,0.239779,0.450935
9,0.234663,0.441817
10,0.231710,0.469988
11,0.230727,0.462984
12,0.227806,0.517797
13,0.226407,0.465532
14,0.222498,0.476632
15,0.224698,0.511244
16,0.221341,0.484015
17,0.221966,0.512781
18,0.219743,0.476912
19,0.217298,0.479411
20,0.214198,0.442725
21,0.214938,0.514955
22,0.215560,0.507904
23,0.214790,0.498915
24,0.213195,0.547079
25,0.212514,0.466944
26,0.211674,0.515940
27,0.209353,0.523760
28,0.210474,0.493581
29,0.208856,0.490381
30,0.207303,0.520373
31,0.209161,0.513772
32,0.205545,0.525117
33,0.205843,0.559078
34,0.205884,0.496994
35,0.204663,0.480309
36,0.203762,0.513048
37,0.201704,0.499466
38,0.201630,0.497212
39,0.201762,0.514491
40,0.201932,0.595514
41,0.200277,0.506659
42,0.200557,0.525852
43,0.199536,0.525525
44,0.198884,0.530167
45,0.200023,0.493108
46,0.199542,0.526826
47,0.200237,0.533442
48,0.197656,0.575914
49,0.196710,0.526928
50,0.195985,0.545750
51,0.196017,0.501731
52,0.196745,0.504080
53,0.198505,0.505574
54,0.195636,0.516041
55,0.196597,0.503804
56,0.195475,0.531426
57,0.196947,0.546142
58,0.193385,0.515819
59,0.195173,0.525546
60,0.193743,0.537191
61,0.193480,0.557408
62,0.193684,0.531414
63,0.194319,0.545061
64,0.196890,0.507699
65,0.193866,0.523061
66,0.193721,0.493815
67,0.192993,0.497018
68,0.194837,0.504825
69,0.192834,0.522922
70,0.191578,0.542571
71,0.191290,0.536869
72,0.190977,0.483319
73,0.190911,0.488839
74,0.192825,0.532425
75,0.191987,0.546160
76,0.190176,0.500021
77,0.192204,0.541823
78,0.189892,0.534723
79,0.192079,0.549692
80,0.190737,0.544566
81,0.190259,0.544362
82,0.190781,0.538314
83,0.190385,0.553315
84,0.189863,0.498078
85,0.189735,0.514314
