epoch,train_loss,val_loss
1,0.434072,0.370119
2,0.275637,0.421016
3,0.243213,0.459219
4,0.224647,0.502515
5,0.214756,0.445777
6,0.204931,0.491382
7,0.196081,0.468525
8,0.188506,0.523720
9,0.184088,0.573553
10,0.179418,0.532069
11,0.173290,0.521911
12,0.170911,0.525809
13,0.166202,0.536305
14,0.162276,0.516129
15,0.161121,0.500096
16,0.158031,0.507594
17,0.156906,0.515205
18,0.153447,0.550916
19,0.151658,0.528779
20,0.148524,0.462064
21,0.147081,0.460048
22,0.145047,0.487261
23,0.143305,0.505384
24,0.141919,0.440014
25,0.141246,0.447677
26,0.138840,0.453867
27,0.138362,0.446674
28,0.134565,0.473600
29,0.132153,0.515489
30,0.131992,0.428000
31,0.132348,0.432551
32,0.129390,0.450703
33,0.129518,0.489303
34,0.127214,0.438438
35,0.129700,0.428741
36,0.129147,0.454846
37,0.125534,0.419989
38,0.125371,0.462722
39,0.124736,0.458545
40,0.122766,0.435495
41,0.122535,0.451578
42,0.124657,0.426205
43,0.121023,0.416129
44,0.119474,0.431915
45,0.119831,0.437054
46,0.119722,0.442676
47,0.117240,0.433961
48,0.120114,0.452205
49,0.117096,0.423319
50,0.117992,0.456881
51,0.118051,0.419670
52,0.115122,0.411604
53,0.115551,0.402251
54,0.115993,0.440968
55,0.115366,0.445050
56,0.114289,0.426536
57,0.114935,0.473096
58,0.114805,0.420061
59,0.112369,0.447478
60,0.111592,0.480946
61,0.112716,0.446217
62,0.110472,0.412275
63,0.112789,0.420963
64,0.112806,0.424406
65,0.111168,0.419910
66,0.110951,0.434271
67,0.109272,0.411491
68,0.110047,0.410305
69,0.109432,0.424557
70,0.108931,0.464879
71,0.109722,0.416525
72,0.108174,0.424396
73,0.107977,0.421718
74,0.109936,0.405302
75,0.108647,0.446303
76,0.109072,0.415053
77,0.106656,0.392891
78,0.106156,0.400389
79,0.106538,0.408155
80,0.106699,0.437620
81,0.105578,0.418070
82,0.105664,0.416445
83,0.105917,0.456150
84,0.107018,0.397758
85,0.106385,0.428077
86,0.105585,0.428941
87,0.105605,0.411985
88,0.103820,0.401351
89,0.106242,0.418141
90,0.105431,0.419563
91,0.106820,0.458598
92,0.103848,0.392209
93,0.103531,0.432876
94,0.102623,0.400192
95,0.103275,0.402928
96,0.103420,0.395926
97,0.102893,0.450527
98,0.105037,0.408488
99,0.102270,0.387669
100,0.101261,0.415615
101,0.101654,0.424082
102,0.102730,0.415490
103,0.103644,0.400153
104,0.103981,0.400506
105,0.100905,0.390439
106,0.100972,0.385177
107,0.102695,0.401886
108,0.102148,0.406003
109,0.101696,0.436381
110,0.102069,0.403886
111,0.101383,0.399072
112,0.102300,0.422917
113,0.100849,0.426811
114,0.100166,0.412813
115,0.098873,0.415461
116,0.100113,0.424411
117,0.102020,0.406991
118,0.099403,0.418895
119,0.100373,0.445033
120,0.099235,0.396043
121,0.100586,0.404482
122,0.101558,0.384417
123,0.099236,0.421029
124,0.099582,0.416053
125,0.097893,0.406607
126,0.099848,0.416465
127,0.099080,0.425726
128,0.099014,0.443993
129,0.100251,0.413452
130,0.099026,0.427688
131,0.098274,0.405472
132,0.099888,0.395933
133,0.100941,0.401872
134,0.098214,0.436633
135,0.101168,0.408950
136,0.098057,0.409561
137,0.097059,0.406035
138,0.098197,0.412201
139,0.097755,0.397782
140,0.099525,0.413775
141,0.097850,0.385679
142,0.096970,0.417673
143,0.098408,0.432858
144,0.098929,0.388196
145,0.096700,0.394949
146,0.098842,0.403259
147,0.096882,0.410411
148,0.098097,0.386475
149,0.098479,0.403816
150,0.097054,0.396845
151,0.096052,0.443584
152,0.098590,0.405693
153,0.097672,0.382010
154,0.098051,0.438250
155,0.096453,0.402444
156,0.094985,0.392360
157,0.097757,0.412512
158,0.096086,0.411066
159,0.097748,0.403214
160,0.097467,0.383038
161,0.096889,0.393210
162,0.097379,0.402610
163,0.096657,0.414846
164,0.095433,0.397987
165,0.095870,0.425417
166,0.097159,0.412407
167,0.097118,0.421444
168,0.093507,0.392563
169,0.095851,0.400635
170,0.096581,0.399052
171,0.095978,0.420611
172,0.094875,0.404678
173,0.096751,0.429295
174,0.095689,0.407801
175,0.095278,0.378085
176,0.094446,0.411682
177,0.096506,0.403228
178,0.094262,0.421164
179,0.094228,0.412706
180,0.095021,0.412538
181,0.096241,0.432278
182,0.095347,0.387931
183,0.095503,0.389118
184,0.094052,0.401402
