epoch,train_loss,val_loss
1,0.420292,0.368168
2,0.252748,0.421177
3,0.217901,0.491395
4,0.200432,0.478971
5,0.187523,0.510519
6,0.179833,0.566587
7,0.171009,0.553983
8,0.164442,0.562367
9,0.157457,0.671544
10,0.153575,0.630352
11,0.145080,0.642388
12,0.143469,0.633744
13,0.139258,0.577430
14,0.136770,0.587104
15,0.135077,0.584458
16,0.130741,0.523058
17,0.127574,0.520826
18,0.124272,0.499999
19,0.123784,0.578723
20,0.121189,0.478690
21,0.119365,0.442558
22,0.117813,0.472059
23,0.115415,0.498500
24,0.114146,0.476699
25,0.111788,0.507112
26,0.111077,0.506227
27,0.109585,0.487748
28,0.106407,0.558171
29,0.107636,0.494862
30,0.103160,0.544615
31,0.104465,0.454380
32,0.103885,0.564356
33,0.101092,0.527066
34,0.099150,0.463934
35,0.099839,0.492053
36,0.098098,0.485367
37,0.098425,0.491295
38,0.096685,0.491137
39,0.099038,0.528871
40,0.095548,0.551694
41,0.095409,0.508645
42,0.096744,0.516872
43,0.093536,0.508679
44,0.090915,0.482071
45,0.093381,0.501999
46,0.091141,0.466832
47,0.089325,0.477399
48,0.090069,0.485362
49,0.089064,0.489308
50,0.088470,0.459447
51,0.088508,0.454881
52,0.087042,0.445332
53,0.086707,0.457002
54,0.084981,0.499357
55,0.085549,0.445582
56,0.086254,0.458284
57,0.084061,0.481281
58,0.083526,0.437644
59,0.082749,0.487096
60,0.082072,0.441614
61,0.081028,0.446837
62,0.081200,0.446878
63,0.080988,0.449286
64,0.081078,0.459238
65,0.079802,0.446320
66,0.081371,0.444767
67,0.079413,0.459269
68,0.080221,0.457808
69,0.079193,0.463600
70,0.079027,0.466828
71,0.077459,0.474586
72,0.077975,0.474662
73,0.076333,0.435838
74,0.077248,0.460850
75,0.077574,0.459817
76,0.076490,0.433922
77,0.075111,0.469527
78,0.075512,0.434279
79,0.075861,0.457021
80,0.075254,0.481566
81,0.073400,0.453915
82,0.074375,0.448908
83,0.074520,0.491555
84,0.073651,0.426447
85,0.072281,0.454656
86,0.072752,0.472329
87,0.073171,0.438840
88,0.072212,0.456772
89,0.072266,0.456959
90,0.070780,0.453869
91,0.073939,0.459223
92,0.072392,0.430542
93,0.070995,0.443668
94,0.072997,0.432368
95,0.069980,0.439419
96,0.070148,0.445125
97,0.070669,0.459924
98,0.072153,0.424320
99,0.071908,0.402963
100,0.070343,0.463018
101,0.069617,0.433630
102,0.070080,0.457569
103,0.068624,0.434773
104,0.068945,0.449271
105,0.068419,0.447309
106,0.069036,0.448301
107,0.067876,0.430435
108,0.068891,0.451993
109,0.069138,0.452606
110,0.068325,0.450050
111,0.069558,0.459472
112,0.068140,0.460695
113,0.066581,0.434360
114,0.068519,0.414007
115,0.067622,0.443553
116,0.066270,0.422226
117,0.066628,0.456709
118,0.066534,0.431717
119,0.065583,0.450188
120,0.066229,0.415378
121,0.065325,0.451359
122,0.066113,0.437393
123,0.066549,0.434099
124,0.067162,0.434567
125,0.066040,0.448537
126,0.066269,0.440072
127,0.064773,0.428593
128,0.064398,0.482036
129,0.065366,0.440276
130,0.066328,0.446866
131,0.065501,0.455883
132,0.065062,0.448752
133,0.065470,0.436421
134,0.065200,0.470874
135,0.065091,0.424982
136,0.064265,0.434159
137,0.065613,0.437206
138,0.065111,0.446575
139,0.065239,0.432373
140,0.063852,0.448679
141,0.064563,0.423023
142,0.062039,0.431035
143,0.062987,0.406989
144,0.065073,0.431808
145,0.062910,0.433397
146,0.063954,0.426980
147,0.063227,0.409909
148,0.063349,0.411296
149,0.063413,0.456222
