epoch,train_loss,val_loss
1,0.406933,0.366156
2,0.275433,0.435109
3,0.254715,0.422152
4,0.246034,0.358872
5,0.241752,0.409759
6,0.238953,0.450866
7,0.234995,0.395407
8,0.233914,0.409763
9,0.231545,0.397235
10,0.230815,0.415078
11,0.228854,0.527415
12,0.230704,0.468643
13,0.229950,0.419455
14,0.229774,0.447220
15,0.228740,0.467228
16,0.230534,0.403150
17,0.227288,0.413480
18,0.226893,0.438455
19,0.228214,0.537107
20,0.225871,0.487402
21,0.227585,0.473079
22,0.227321,0.439255
23,0.227310,0.457819
24,0.229289,0.440311
25,0.227084,0.456531
26,0.226191,0.498459
27,0.224548,0.490628
28,0.228778,0.454876
29,0.228669,0.451664
30,0.226478,0.435842
31,0.227167,0.432445
32,0.228880,0.430750
33,0.229266,0.485388
34,0.227641,0.415847
35,0.226186,0.473632
36,0.227781,0.492798
37,0.227002,0.457166
38,0.227768,0.505758
39,0.226355,0.507096
40,0.226080,0.507775
41,0.228668,0.453450
42,0.229233,0.473292
43,0.226439,0.467219
44,0.225537,0.461361
45,0.226028,0.472959
46,0.226094,0.454604
47,0.225971,0.471342
48,0.226692,0.468124
49,0.226517,0.488849
50,0.224943,0.526870
51,0.227458,0.492674
52,0.225813,0.459622
53,0.226716,0.445980
54,0.228018,0.482871
55,0.226349,0.604421
56,0.225990,0.442085
57,0.227646,0.480798
58,0.225715,0.597841
59,0.225447,0.465755
60,0.225914,0.434070
61,0.227532,0.535006
62,0.228634,0.493038
63,0.228357,0.442646
64,0.226336,0.462760
65,0.225818,0.437276
66,0.227424,0.515099
67,0.226154,0.510256
68,0.228011,0.498151
69,0.227360,0.478372
70,0.225741,0.492600
71,0.226189,0.529393
72,0.225882,0.479414
73,0.229306,0.564158
74,0.228970,0.440624
75,0.226484,0.518593
76,0.225490,0.511504
77,0.228108,0.647897
78,0.229310,0.509018
79,0.227185,0.489860
80,0.228005,0.520965
81,0.226501,0.512490
82,0.225903,0.468868
83,0.227271,0.461935
84,0.228219,0.510087
