epoch,train_loss,val_loss
1,0.312937,0.388351
2,0.206105,0.515276
3,0.187316,0.507861
4,0.172526,0.520105
5,0.162494,0.610916
6,0.155224,0.627355
7,0.149996,0.539316
8,0.143164,0.723657
9,0.140158,0.627711
10,0.135866,0.583573
11,0.135755,0.637835
12,0.132227,0.569056
13,0.130121,0.530940
14,0.126639,0.496314
15,0.126653,0.471288
16,0.128297,0.472149
17,0.120302,0.541118
18,0.119296,0.581622
19,0.118708,0.513570
20,0.118138,0.501082
21,0.116733,0.471806
22,0.115248,0.494430
23,0.114463,0.487619
24,0.113210,0.475065
25,0.113835,0.495930
26,0.109223,0.559416
27,0.108329,0.522622
28,0.109299,0.477807
29,0.108729,0.540055
30,0.107179,0.484469
31,0.104191,0.443906
32,0.105704,0.476927
33,0.108719,0.526132
34,0.104625,0.440791
35,0.105555,0.441804
36,0.106864,0.519581
37,0.106051,0.412564
38,0.104892,0.454743
39,0.106988,0.463320
40,0.102076,0.522154
41,0.102384,0.427359
42,0.103349,0.537125
43,0.100081,0.449911
44,0.099541,0.438549
45,0.100047,0.534267
46,0.101606,0.476379
47,0.099099,0.460527
48,0.099795,0.414079
49,0.099701,0.489433
50,0.100311,0.490831
51,0.100771,0.416613
52,0.098837,0.434987
53,0.097460,0.424311
54,0.100198,0.466640
55,0.096669,0.501274
56,0.097064,0.441474
57,0.097965,0.469489
58,0.095663,0.512637
59,0.096404,0.507767
60,0.096398,0.452043
61,0.096816,0.450538
62,0.095839,0.455632
63,0.096063,0.396486
64,0.096182,0.451760
65,0.094271,0.458661
66,0.095946,0.405963
67,0.097407,0.462259
68,0.096000,0.435918
69,0.096263,0.453402
70,0.094959,0.452495
71,0.093553,0.447727
72,0.093905,0.472660
73,0.093450,0.429348
74,0.094371,0.431123
75,0.093667,0.459664
76,0.094128,0.418349
77,0.092956,0.493914
78,0.095499,0.473338
79,0.093544,0.439427
80,0.095912,0.446988
81,0.094105,0.455250
82,0.094937,0.474882
83,0.092034,0.494430
84,0.093706,0.437585
85,0.094819,0.453458
86,0.090136,0.403627
87,0.092451,0.454686
88,0.094318,0.420240
89,0.092462,0.461275
90,0.092421,0.416868
91,0.092585,0.433424
92,0.092326,0.479387
93,0.092626,0.470991
94,0.092774,0.470227
95,0.093361,0.432232
96,0.092795,0.434538
97,0.090893,0.462853
98,0.093594,0.438432
99,0.092062,0.442012
100,0.092410,0.422838
101,0.090756,0.425264
102,0.092653,0.409637
103,0.090800,0.475546
104,0.090545,0.399454
105,0.091788,0.427800
106,0.093646,0.508238
107,0.090992,0.442281
108,0.092066,0.441914
109,0.090684,0.444134
110,0.090632,0.462780
111,0.090278,0.481227
112,0.091972,0.471790
113,0.091386,0.410630
