epoch,train_loss,val_loss
1,0.363218,0.393836
2,0.240798,0.529290
3,0.217222,0.551710
4,0.202207,0.524797
5,0.191851,0.544398
6,0.181195,0.579411
7,0.175527,0.538147
8,0.169337,0.560672
9,0.161373,0.637088
10,0.159530,0.548698
11,0.154928,0.681219
12,0.154021,0.543704
13,0.146977,0.506175
14,0.143529,0.512305
15,0.142710,0.496029
16,0.139534,0.458886
17,0.136611,0.444652
18,0.133963,0.482594
19,0.131467,0.590970
20,0.132474,0.395273
21,0.130421,0.422144
22,0.126688,0.470456
23,0.127836,0.469750
24,0.126582,0.402178
25,0.122373,0.458437
26,0.121917,0.443636
27,0.118019,0.496299
28,0.119145,0.492476
29,0.116940,0.421983
30,0.115900,0.456014
31,0.115744,0.412430
32,0.113044,0.458249
33,0.115201,0.502583
34,0.112308,0.424759
35,0.110611,0.422512
36,0.110595,0.423791
37,0.109586,0.437429
38,0.108644,0.409512
39,0.108381,0.397486
40,0.107686,0.472539
41,0.108216,0.452491
42,0.107188,0.457828
43,0.104658,0.462777
44,0.103519,0.461684
45,0.104592,0.469616
46,0.103320,0.487725
47,0.101231,0.474009
48,0.103619,0.434607
49,0.100574,0.431799
50,0.102231,0.458715
51,0.102856,0.432269
52,0.100454,0.410251
53,0.100361,0.400223
54,0.099406,0.433418
55,0.098620,0.433922
56,0.098562,0.424931
57,0.099342,0.411772
58,0.098555,0.423417
59,0.097375,0.426430
60,0.098285,0.451167
61,0.096783,0.424068
62,0.095260,0.427852
63,0.096878,0.392748
64,0.096678,0.453990
65,0.094379,0.413671
66,0.095367,0.444445
67,0.095941,0.431305
68,0.095340,0.420822
69,0.095393,0.445487
70,0.095037,0.446569
71,0.092297,0.428741
72,0.094192,0.418959
73,0.095132,0.404863
74,0.092713,0.411888
75,0.092458,0.429962
76,0.093195,0.440929
77,0.091607,0.422961
78,0.093835,0.414111
79,0.092014,0.422316
80,0.092073,0.417487
81,0.091981,0.450545
82,0.092018,0.388139
83,0.093716,0.415090
84,0.091016,0.420155
85,0.091487,0.406939
86,0.090469,0.403795
87,0.090556,0.477609
88,0.090117,0.421419
89,0.090492,0.444495
90,0.090063,0.439878
91,0.090016,0.441186
92,0.089014,0.427126
93,0.087925,0.402207
94,0.088427,0.421929
95,0.088017,0.422646
96,0.088542,0.426166
97,0.090530,0.411819
98,0.088658,0.405350
99,0.088570,0.430189
100,0.089987,0.377953
101,0.089040,0.422030
102,0.088211,0.403833
103,0.088747,0.443337
104,0.089046,0.433138
105,0.088151,0.384283
106,0.087469,0.400613
107,0.087741,0.397063
108,0.088155,0.423995
109,0.087503,0.418082
110,0.087476,0.451512
111,0.086724,0.446645
112,0.087399,0.408061
113,0.088315,0.420582
114,0.087286,0.427020
115,0.087585,0.442857
116,0.087570,0.438864
117,0.085502,0.416087
118,0.086596,0.427760
119,0.085202,0.432233
120,0.086835,0.399201
121,0.085862,0.426635
122,0.084680,0.422357
123,0.086169,0.403390
124,0.085490,0.412319
125,0.086650,0.400606
126,0.084748,0.425648
127,0.083913,0.421052
128,0.085319,0.445574
129,0.087115,0.398809
130,0.085284,0.435379
131,0.086462,0.396005
132,0.085220,0.425802
133,0.087874,0.432096
134,0.083815,0.408874
135,0.086368,0.446771
136,0.084088,0.473919
137,0.085584,0.417032
138,0.085880,0.360823
139,0.086124,0.436743
140,0.085307,0.457672
141,0.084249,0.416469
142,0.082733,0.436794
143,0.083009,0.478034
144,0.082842,0.446319
145,0.085650,0.432984
146,0.084155,0.436187
147,0.084099,0.374276
148,0.085669,0.439169
149,0.085745,0.426912
150,0.082714,0.465790
151,0.084974,0.493093
152,0.085003,0.428611
153,0.084259,0.472465
154,0.082186,0.404391
155,0.082601,0.400187
156,0.084181,0.407284
157,0.083213,0.515512
158,0.085654,0.462112
159,0.084636,0.443951
160,0.085018,0.462939
161,0.084070,0.395468
162,0.083760,0.419188
163,0.083625,0.435249
164,0.083424,0.470101
165,0.083620,0.441437
166,0.083786,0.427560
167,0.081543,0.429956
168,0.083061,0.489354
169,0.084370,0.414133
170,0.081090,0.451247
171,0.084688,0.459843
172,0.083881,0.443652
173,0.082267,0.479314
174,0.081459,0.459164
175,0.082312,0.451033
176,0.082883,0.455079
177,0.083042,0.415895
178,0.081555,0.424069
179,0.082457,0.444300
180,0.082307,0.394676
181,0.082859,0.454094
182,0.083217,0.457924
183,0.081480,0.455006
184,0.080017,0.475482
185,0.082181,0.484056
186,0.082828,0.467648
187,0.081915,0.537900
188,0.083757,0.478429
