epoch,train_loss,val_loss
1,0.355682,0.408028
2,0.236424,0.574353
3,0.213749,0.525350
4,0.196622,0.527760
5,0.186683,0.525096
6,0.176552,0.573618
7,0.168063,0.526739
8,0.163280,0.573158
9,0.155364,0.574472
10,0.152851,0.624862
11,0.147997,0.683148
12,0.146047,0.557574
13,0.141604,0.479580
14,0.136113,0.534486
15,0.133913,0.506932
16,0.133103,0.473299
17,0.128924,0.437810
18,0.125419,0.517666
19,0.125378,0.699625
20,0.124390,0.401820
21,0.122006,0.426111
22,0.118220,0.415963
23,0.119563,0.495856
24,0.118404,0.427647
25,0.114621,0.475500
26,0.112224,0.478113
27,0.109564,0.495224
28,0.111680,0.494313
29,0.109596,0.468455
30,0.106655,0.449759
31,0.106983,0.439801
32,0.105055,0.459065
33,0.106248,0.529760
34,0.104861,0.476039
35,0.102336,0.410290
36,0.101549,0.425897
37,0.100317,0.447050
38,0.101884,0.435668
39,0.100412,0.426823
40,0.099395,0.474544
41,0.099336,0.498455
42,0.099732,0.465796
43,0.097533,0.457057
44,0.096664,0.458025
45,0.095279,0.427219
46,0.095025,0.463771
47,0.094523,0.474158
48,0.096293,0.414471
49,0.095816,0.433310
50,0.094643,0.451610
51,0.095877,0.411929
52,0.093211,0.389414
53,0.093207,0.381082
54,0.093346,0.416086
55,0.092778,0.419457
56,0.092699,0.434634
57,0.092293,0.408269
58,0.093508,0.418119
59,0.091244,0.443951
60,0.090573,0.422214
61,0.089762,0.439317
62,0.087786,0.426769
63,0.090281,0.383956
64,0.089711,0.438437
65,0.088815,0.384881
66,0.088686,0.424966
67,0.089161,0.440129
68,0.089562,0.371429
69,0.088127,0.422409
70,0.087718,0.417094
71,0.086665,0.447262
72,0.089498,0.393712
73,0.088238,0.421570
74,0.086305,0.418826
75,0.083976,0.440508
76,0.085229,0.430560
77,0.086269,0.406543
78,0.086553,0.403049
79,0.085015,0.380408
80,0.085311,0.408857
81,0.084775,0.437234
82,0.085740,0.394680
83,0.085868,0.372760
84,0.085371,0.418327
85,0.085222,0.443469
86,0.085148,0.418050
87,0.085288,0.416601
88,0.085452,0.430299
89,0.083340,0.438832
90,0.084840,0.407775
91,0.083266,0.423492
92,0.084839,0.384225
93,0.082091,0.432047
94,0.081492,0.422651
95,0.082254,0.413796
96,0.082517,0.440341
97,0.085183,0.385301
98,0.081640,0.437890
99,0.083040,0.442537
100,0.084165,0.409521
101,0.082332,0.439803
102,0.081884,0.414823
103,0.082760,0.437542
104,0.081140,0.446745
105,0.081574,0.472388
106,0.081836,0.450373
107,0.084025,0.405138
108,0.083646,0.443363
109,0.081112,0.445103
110,0.080619,0.556577
111,0.081380,0.431896
112,0.082394,0.400878
113,0.081687,0.472076
114,0.081947,0.469573
115,0.081148,0.506281
116,0.081304,0.442757
117,0.080452,0.481280
118,0.080368,0.537343
