epoch,train_loss,val_loss
1,0.379553,0.366927
2,0.239020,0.504533
3,0.211698,0.548521
4,0.195470,0.538931
5,0.182863,0.515647
6,0.173814,0.566975
7,0.165522,0.528299
8,0.158989,0.465303
9,0.152341,0.545906
10,0.149476,0.577775
11,0.142714,0.670181
12,0.144205,0.471537
13,0.138901,0.485015
14,0.135580,0.538599
15,0.134121,0.487201
16,0.130217,0.524379
17,0.131038,0.463781
18,0.127302,0.494725
19,0.125194,0.581013
20,0.124310,0.419428
21,0.121488,0.475709
22,0.119558,0.425261
23,0.117929,0.491104
24,0.118032,0.430821
25,0.114478,0.481026
26,0.114690,0.445455
27,0.112821,0.512423
28,0.111622,0.505757
29,0.110902,0.505175
30,0.109331,0.448549
31,0.109594,0.431536
32,0.107675,0.465730
33,0.107327,0.533692
34,0.106405,0.464123
35,0.104194,0.441416
36,0.102021,0.442423
37,0.100957,0.494214
38,0.102443,0.443090
39,0.102255,0.468847
40,0.100132,0.421363
41,0.099946,0.487614
42,0.099710,0.486435
43,0.097358,0.463209
44,0.097440,0.454602
45,0.095255,0.434308
46,0.095165,0.477297
47,0.093993,0.447857
48,0.095164,0.395914
49,0.094192,0.434780
50,0.093913,0.484748
51,0.095427,0.424939
52,0.091036,0.445550
53,0.091544,0.399216
54,0.092340,0.451130
55,0.089219,0.425000
56,0.088950,0.462980
57,0.091640,0.444860
58,0.090629,0.440749
59,0.089321,0.499204
60,0.088101,0.461150
61,0.088991,0.435502
62,0.087671,0.429415
63,0.085674,0.418189
64,0.087856,0.442398
65,0.085695,0.417726
66,0.086218,0.445016
67,0.085873,0.431384
68,0.086045,0.440739
69,0.086755,0.452797
70,0.083840,0.440568
71,0.083846,0.436323
72,0.083455,0.466087
73,0.083690,0.462214
74,0.083041,0.450873
75,0.083981,0.469527
76,0.082144,0.466343
77,0.081724,0.463830
78,0.080265,0.426254
79,0.080749,0.433432
80,0.081644,0.432965
81,0.081423,0.455938
82,0.082499,0.429249
83,0.079365,0.440404
84,0.082226,0.426161
85,0.081490,0.441053
86,0.080968,0.439099
87,0.078541,0.452546
88,0.079924,0.437512
89,0.079620,0.432938
90,0.078899,0.467139
91,0.081171,0.421595
92,0.078468,0.433221
93,0.077792,0.422409
94,0.079631,0.449992
95,0.077175,0.447597
96,0.079480,0.459793
97,0.076985,0.469908
98,0.077975,0.436823
