epoch,train_loss,val_loss
1,0.333332,0.431202
2,0.231230,0.497047
3,0.210661,0.521491
4,0.197351,0.568318
5,0.185855,0.581247
6,0.177811,0.615883
7,0.175086,0.504786
8,0.167544,0.601553
9,0.163076,0.529268
10,0.156129,0.547028
11,0.152805,0.581849
12,0.151003,0.511010
13,0.149373,0.465014
14,0.143948,0.441929
15,0.143796,0.480471
16,0.139448,0.522562
17,0.139605,0.445709
18,0.135718,0.489855
19,0.130932,0.479920
20,0.132423,0.448911
21,0.130181,0.475859
22,0.134392,0.471140
23,0.125798,0.441539
24,0.125871,0.459896
25,0.124512,0.474575
26,0.122617,0.457743
27,0.121759,0.474897
28,0.122052,0.428309
29,0.121471,0.456821
30,0.119876,0.407612
31,0.120499,0.414678
32,0.119352,0.432356
33,0.120259,0.457194
34,0.118690,0.404466
35,0.116814,0.434435
36,0.117535,0.418926
37,0.115881,0.428170
38,0.114965,0.424650
39,0.114964,0.422427
40,0.113489,0.493210
41,0.113077,0.458910
42,0.114022,0.453389
43,0.111044,0.426276
44,0.112215,0.450307
45,0.111337,0.486638
46,0.110818,0.494606
47,0.109063,0.429951
48,0.108641,0.392100
49,0.109193,0.473004
50,0.110232,0.458335
51,0.110137,0.394224
52,0.109301,0.427559
53,0.108855,0.440991
54,0.110615,0.486439
55,0.107951,0.480131
56,0.108494,0.418694
57,0.107866,0.431782
58,0.107469,0.460162
59,0.107399,0.456472
60,0.108525,0.421190
61,0.108765,0.422963
62,0.106685,0.468305
63,0.107089,0.395282
64,0.106536,0.438162
65,0.107537,0.415663
66,0.105388,0.390783
67,0.105665,0.411203
68,0.108160,0.419164
69,0.105203,0.415551
70,0.104739,0.424712
71,0.104766,0.450955
72,0.106216,0.445670
73,0.106409,0.442690
74,0.104954,0.441137
75,0.106051,0.464717
76,0.102550,0.407135
77,0.104650,0.436415
78,0.103432,0.421701
79,0.104530,0.421788
80,0.104811,0.403237
81,0.102981,0.424878
82,0.105704,0.432469
83,0.104842,0.428309
84,0.101775,0.417580
85,0.104122,0.420455
86,0.104567,0.412002
87,0.101914,0.418357
88,0.103781,0.446847
89,0.102540,0.459924
90,0.105038,0.440544
91,0.103758,0.454563
92,0.104376,0.419113
93,0.102901,0.403782
94,0.101024,0.437951
95,0.103268,0.431178
96,0.102052,0.447770
97,0.105088,0.447852
98,0.101145,0.400223
99,0.103440,0.427962
100,0.102526,0.391891
101,0.102060,0.439198
102,0.102399,0.412990
103,0.101824,0.397614
104,0.100376,0.407388
105,0.102757,0.403872
106,0.102613,0.432582
107,0.101682,0.491126
108,0.102384,0.427110
109,0.100183,0.426250
110,0.101702,0.440528
111,0.101601,0.435169
112,0.102248,0.479363
113,0.100698,0.445948
114,0.102406,0.477193
115,0.100859,0.415110
116,0.100381,0.454913
