epoch,train_loss,val_loss
1,0.396937,0.388311
2,0.257861,0.477807
3,0.231189,0.529042
4,0.214924,0.522550
5,0.203805,0.476756
6,0.198487,0.552665
7,0.185212,0.550301
8,0.176847,0.515604
9,0.175293,0.550263
10,0.167992,0.632242
11,0.164548,0.634768
12,0.164043,0.506655
13,0.159324,0.518928
14,0.153257,0.496026
15,0.152554,0.497648
16,0.149509,0.515702
17,0.146380,0.524171
18,0.144641,0.500548
19,0.143514,0.532888
20,0.140138,0.455835
21,0.135714,0.495404
22,0.135876,0.509954
23,0.132834,0.511264
24,0.131443,0.505558
25,0.128056,0.511746
26,0.127739,0.483111
27,0.127061,0.499332
28,0.123638,0.475978
29,0.122136,0.502937
30,0.121355,0.479592
31,0.120802,0.453621
32,0.118735,0.514390
33,0.118508,0.502056
34,0.115896,0.472774
35,0.115394,0.454273
36,0.114937,0.448984
37,0.115341,0.452324
38,0.113890,0.470119
39,0.113908,0.431324
40,0.112878,0.511474
41,0.112163,0.496652
42,0.109835,0.480073
43,0.109649,0.432635
44,0.108138,0.444923
45,0.108165,0.453962
46,0.107494,0.440852
47,0.105870,0.443975
48,0.106347,0.442974
49,0.107007,0.458843
50,0.104341,0.475440
51,0.105116,0.454945
52,0.104161,0.437299
53,0.103826,0.436035
54,0.103437,0.475864
55,0.105442,0.457170
56,0.104386,0.440435
57,0.103500,0.482199
58,0.103813,0.443907
59,0.101537,0.452677
60,0.100502,0.462598
61,0.100497,0.461911
62,0.101245,0.448523
63,0.101263,0.442864
64,0.100736,0.456725
65,0.099451,0.458364
66,0.099718,0.438836
67,0.098731,0.471887
68,0.098946,0.472623
69,0.098656,0.436299
70,0.098102,0.443935
71,0.097017,0.442153
72,0.098541,0.448708
73,0.097142,0.408954
74,0.096693,0.418844
75,0.097217,0.439144
76,0.097015,0.442469
77,0.096313,0.450927
78,0.096730,0.434578
79,0.094904,0.429224
80,0.093934,0.437356
81,0.094579,0.455005
82,0.094806,0.442801
83,0.095182,0.412122
84,0.094187,0.435828
85,0.094488,0.447913
86,0.095591,0.447043
87,0.095265,0.439429
88,0.096201,0.411100
89,0.093837,0.452175
90,0.093058,0.468654
91,0.094880,0.462926
92,0.094611,0.441592
93,0.093478,0.443811
94,0.095250,0.445871
95,0.093630,0.442909
96,0.093708,0.424558
97,0.093014,0.426106
98,0.092191,0.423058
99,0.091020,0.407677
100,0.091148,0.436588
101,0.090629,0.480851
102,0.092415,0.451823
103,0.092787,0.412213
104,0.090549,0.431462
105,0.091064,0.425185
106,0.090945,0.417060
107,0.090822,0.438096
108,0.089485,0.453765
109,0.091606,0.398347
110,0.090746,0.442896
111,0.091072,0.453896
112,0.089462,0.485778
113,0.090651,0.443063
114,0.089999,0.424353
115,0.090359,0.440744
116,0.089048,0.425490
117,0.089382,0.473019
118,0.090026,0.490701
119,0.089411,0.460932
120,0.089637,0.419414
121,0.087117,0.445643
122,0.088010,0.423352
123,0.088631,0.409664
124,0.087472,0.426166
125,0.087820,0.405657
126,0.087111,0.433353
127,0.087743,0.444942
128,0.086808,0.467202
129,0.087917,0.411645
130,0.086631,0.483711
131,0.088169,0.414330
132,0.089417,0.423331
133,0.089013,0.471475
134,0.087389,0.451352
135,0.088265,0.431304
136,0.086557,0.446040
137,0.087403,0.410496
138,0.088750,0.461638
139,0.088759,0.416949
140,0.087496,0.408781
141,0.086849,0.417450
142,0.087441,0.399945
143,0.087280,0.451440
144,0.087959,0.428054
145,0.088046,0.441356
146,0.085721,0.437967
147,0.087259,0.416995
148,0.087003,0.443204
149,0.087234,0.441961
150,0.086387,0.457152
151,0.086442,0.420471
152,0.085432,0.439904
153,0.085623,0.429226
154,0.086296,0.417756
155,0.083940,0.458326
156,0.085091,0.424218
157,0.085659,0.431344
158,0.087266,0.479701
159,0.084515,0.451602
