epoch,train_loss,val_loss
1,0.325694,0.419164
2,0.217341,0.513126
3,0.195016,0.496896
4,0.182637,0.492622
5,0.170009,0.552671
6,0.163525,0.648664
7,0.154486,0.537717
8,0.145754,0.657375
9,0.144166,0.711898
10,0.142393,0.520288
11,0.139325,0.691418
12,0.134659,0.612418
13,0.132060,0.542261
14,0.127713,0.481041
15,0.127516,0.492300
16,0.124594,0.482467
17,0.122058,0.455973
18,0.121200,0.514293
19,0.118600,0.467580
20,0.117817,0.475669
21,0.113391,0.449623
22,0.115489,0.507687
23,0.110350,0.480972
24,0.110544,0.416184
25,0.110706,0.487961
26,0.108954,0.500215
27,0.106985,0.466814
28,0.106405,0.470639
29,0.106117,0.497345
30,0.105212,0.443473
31,0.104776,0.401428
32,0.102649,0.414257
33,0.106554,0.499359
34,0.102028,0.431212
35,0.100606,0.430473
36,0.100591,0.446228
37,0.099762,0.451213
38,0.100989,0.444087
39,0.100527,0.423690
40,0.097853,0.446067
41,0.097409,0.444767
42,0.096990,0.462445
43,0.095706,0.447518
44,0.094871,0.398100
45,0.096979,0.466879
46,0.093423,0.485370
47,0.093907,0.450979
48,0.093373,0.404135
49,0.092747,0.449956
50,0.093114,0.448513
51,0.093824,0.422860
52,0.090344,0.437760
53,0.094117,0.427084
54,0.094959,0.414653
55,0.093314,0.447354
56,0.092510,0.412107
57,0.091627,0.405082
58,0.092225,0.409856
59,0.090787,0.464958
60,0.092001,0.416020
61,0.091506,0.407932
62,0.092005,0.452591
63,0.092497,0.383288
64,0.090071,0.430985
65,0.088277,0.403891
66,0.092596,0.367626
67,0.090006,0.411931
68,0.089708,0.391734
69,0.090769,0.399537
70,0.090348,0.401148
71,0.087377,0.422935
72,0.089014,0.415574
73,0.087989,0.412303
74,0.088809,0.420803
75,0.087103,0.457253
76,0.087137,0.429968
77,0.086873,0.437280
78,0.088770,0.442214
79,0.087547,0.416080
80,0.085244,0.398462
81,0.085957,0.411854
82,0.088140,0.432133
83,0.084569,0.402416
84,0.086357,0.408718
85,0.086264,0.420435
86,0.086269,0.401154
87,0.085576,0.405437
88,0.086999,0.395049
89,0.085570,0.429158
90,0.087596,0.405782
91,0.086589,0.411259
92,0.084793,0.402744
93,0.085484,0.409849
94,0.084610,0.388308
95,0.084601,0.414231
96,0.085600,0.407782
97,0.084481,0.404396
98,0.086666,0.425939
99,0.085017,0.435490
100,0.084974,0.426972
101,0.082097,0.397307
102,0.084236,0.433160
103,0.082306,0.400576
104,0.083032,0.430919
105,0.083845,0.405593
106,0.084585,0.451352
107,0.083100,0.451140
108,0.082666,0.437193
109,0.084697,0.427274
110,0.083121,0.453364
111,0.082645,0.453300
112,0.084820,0.446028
113,0.082714,0.428479
114,0.083475,0.460658
115,0.081879,0.410757
116,0.082509,0.403918
