epoch,train_loss,val_loss
1,0.372388,0.373949
2,0.243247,0.501010
3,0.217644,0.572467
4,0.199551,0.548471
5,0.190152,0.502028
6,0.183416,0.599340
7,0.174949,0.522400
8,0.167163,0.548563
9,0.164985,0.521685
10,0.161773,0.614864
11,0.156123,0.632703
12,0.154653,0.534046
13,0.150890,0.481296
14,0.145735,0.546692
15,0.146623,0.563415
16,0.141992,0.530925
17,0.141192,0.462919
18,0.137016,0.505860
19,0.137542,0.556894
20,0.135542,0.454738
21,0.133532,0.425378
22,0.132503,0.445497
23,0.130967,0.500625
24,0.130043,0.457620
25,0.127468,0.497827
26,0.127433,0.457582
27,0.125419,0.502043
28,0.123551,0.474954
29,0.121145,0.487167
30,0.121008,0.444099
31,0.119942,0.431100
32,0.119544,0.473426
33,0.119325,0.534732
34,0.117617,0.414745
35,0.116025,0.410112
36,0.114884,0.430133
37,0.115458,0.446834
38,0.114843,0.434890
39,0.115048,0.450059
40,0.112090,0.442979
41,0.110957,0.424916
42,0.111147,0.487306
43,0.109517,0.484267
44,0.108610,0.431623
45,0.109052,0.413187
46,0.109229,0.437368
47,0.107967,0.405294
48,0.108675,0.433248
49,0.107393,0.426485
50,0.107692,0.466355
51,0.107472,0.424473
52,0.106123,0.416597
53,0.105875,0.394121
54,0.105482,0.429394
55,0.105154,0.452486
56,0.105865,0.416469
57,0.104046,0.431356
58,0.106269,0.433708
59,0.103369,0.449510
60,0.103177,0.426192
61,0.103717,0.409309
62,0.102682,0.419010
63,0.100237,0.405164
64,0.102704,0.452114
65,0.103430,0.396082
66,0.100911,0.393340
67,0.099761,0.427462
68,0.101433,0.428990
69,0.101648,0.416015
70,0.100490,0.428203
71,0.098715,0.420459
72,0.100820,0.411431
73,0.097644,0.410603
74,0.100288,0.384854
75,0.099767,0.412841
76,0.097710,0.401420
77,0.097505,0.423323
78,0.097339,0.412002
79,0.098427,0.393057
80,0.097921,0.393043
81,0.097073,0.405568
82,0.099314,0.390910
83,0.095663,0.417604
84,0.097782,0.388514
85,0.096408,0.415788
86,0.096674,0.395979
87,0.096219,0.407024
88,0.096866,0.385655
89,0.096826,0.383270
90,0.095965,0.402534
91,0.096399,0.405623
92,0.095364,0.371950
93,0.096267,0.381864
94,0.095890,0.390919
95,0.097281,0.421690
96,0.099070,0.402544
97,0.094573,0.419694
98,0.095795,0.380910
99,0.095699,0.385799
100,0.094177,0.376200
101,0.096288,0.435851
102,0.095233,0.409940
103,0.093695,0.393704
104,0.093394,0.422171
105,0.094091,0.409404
106,0.093563,0.392101
107,0.092693,0.403984
108,0.093230,0.430711
109,0.093527,0.387620
110,0.094342,0.395740
111,0.094621,0.388171
112,0.092853,0.398265
113,0.093528,0.400285
114,0.095722,0.390335
115,0.092165,0.378476
116,0.093779,0.431535
117,0.093501,0.401388
118,0.093549,0.436716
119,0.092952,0.393144
120,0.091530,0.393601
121,0.093454,0.420965
122,0.093204,0.382067
123,0.092918,0.397120
124,0.092162,0.421783
125,0.091879,0.391226
126,0.091112,0.395878
127,0.090713,0.383550
128,0.092622,0.400401
129,0.094309,0.410174
130,0.091577,0.440732
131,0.090737,0.379020
132,0.089935,0.390826
133,0.090636,0.413885
134,0.090490,0.400711
135,0.091791,0.378159
136,0.092079,0.361462
137,0.090574,0.386149
138,0.092445,0.354561
139,0.091718,0.366791
140,0.090432,0.419503
141,0.092459,0.377179
142,0.089907,0.382056
143,0.089903,0.406009
144,0.089200,0.372757
145,0.091946,0.385785
146,0.092794,0.370449
147,0.090502,0.387266
148,0.090104,0.383194
149,0.092156,0.366587
150,0.090844,0.385632
151,0.090545,0.388890
152,0.091796,0.380000
153,0.090070,0.377223
154,0.089684,0.362419
155,0.089610,0.382162
156,0.090341,0.369013
157,0.089613,0.407337
158,0.089003,0.422597
159,0.089297,0.366696
160,0.089707,0.386455
161,0.089800,0.413166
162,0.091272,0.376365
163,0.089810,0.403635
164,0.090358,0.414929
165,0.091074,0.429116
166,0.090569,0.382925
167,0.087160,0.384832
168,0.089942,0.424246
169,0.089249,0.397467
170,0.089167,0.388301
171,0.090174,0.380632
172,0.087768,0.381682
173,0.089606,0.387952
174,0.087044,0.414540
175,0.088338,0.384769
176,0.089195,0.390017
177,0.089903,0.377418
178,0.088462,0.377308
179,0.089993,0.388896
180,0.088405,0.346100
181,0.089251,0.360513
182,0.088974,0.391128
183,0.087130,0.385664
184,0.087978,0.365288
185,0.088307,0.391153
186,0.086820,0.387358
187,0.088694,0.417580
188,0.088570,0.395071
189,0.087705,0.395714
190,0.088647,0.373211
191,0.088506,0.403849
192,0.089407,0.413726
193,0.087407,0.383907
194,0.087596,0.438325
195,0.088598,0.410559
196,0.087262,0.372345
197,0.088008,0.391310
198,0.087944,0.369581
199,0.088508,0.391121
200,0.089438,0.368774
201,0.087898,0.397291
202,0.087938,0.379115
203,0.088008,0.363311
204,0.090561,0.396680
205,0.088189,0.357169
206,0.089485,0.365310
207,0.087630,0.372207
208,0.087271,0.401528
209,0.089033,0.372976
210,0.088276,0.406012
211,0.086737,0.419767
212,0.087856,0.389864
213,0.087933,0.405964
214,0.088527,0.384500
215,0.087447,0.365975
216,0.087743,0.397636
217,0.088547,0.381061
218,0.086549,0.411948
219,0.088404,0.379812
220,0.086970,0.380902
221,0.086258,0.399339
222,0.086556,0.386966
223,0.086253,0.392432
224,0.085543,0.413752
225,0.086284,0.447715
226,0.088490,0.387689
227,0.087204,0.385346
228,0.087708,0.410075
229,0.087034,0.386852
230,0.087829,0.389393
