epoch,train_loss,val_loss
1,0.396520,0.357647
2,0.255001,0.496615
3,0.229643,0.534206
4,0.213158,0.472742
5,0.203769,0.490568
6,0.194118,0.527030
7,0.184903,0.483708
8,0.183537,0.511787
9,0.174670,0.530817
10,0.171013,0.534007
11,0.166515,0.596913
12,0.165761,0.538724
13,0.159273,0.504538
14,0.154203,0.524686
15,0.154858,0.516627
16,0.149927,0.520305
17,0.148382,0.490006
18,0.147080,0.528432
19,0.144054,0.575747
20,0.142459,0.450566
21,0.142617,0.479950
22,0.140955,0.519686
23,0.137794,0.474488
24,0.137020,0.472270
25,0.134543,0.494235
26,0.133373,0.454195
27,0.131271,0.473085
28,0.129705,0.498645
29,0.128466,0.540812
30,0.126500,0.490500
31,0.126728,0.437655
32,0.124050,0.506257
33,0.123393,0.538494
34,0.121384,0.411222
35,0.125678,0.457411
36,0.120068,0.453188
37,0.119720,0.431372
38,0.119507,0.438075
39,0.117739,0.468519
40,0.117709,0.463702
41,0.116480,0.479711
42,0.116083,0.488498
43,0.113707,0.469900
44,0.114732,0.491928
45,0.112475,0.495231
46,0.113524,0.462990
47,0.111626,0.431165
48,0.112082,0.428479
49,0.111441,0.478279
50,0.111512,0.493910
51,0.109229,0.460922
52,0.108191,0.445990
53,0.109490,0.429969
54,0.107194,0.439649
55,0.109099,0.425193
56,0.104015,0.429724
57,0.110368,0.452732
58,0.105369,0.439217
59,0.105982,0.455538
60,0.103680,0.438337
61,0.103292,0.440697
62,0.102013,0.430770
63,0.107270,0.418510
64,0.102036,0.440018
65,0.102365,0.408364
66,0.102219,0.437561
67,0.099899,0.433897
68,0.100435,0.422405
69,0.104666,0.442159
70,0.103557,0.457863
71,0.098511,0.459618
72,0.099087,0.456550
73,0.101401,0.436305
74,0.099200,0.427121
75,0.100441,0.447781
76,0.098503,0.429356
77,0.098142,0.433338
78,0.099142,0.422106
79,0.098737,0.428307
80,0.097033,0.435388
81,0.095877,0.427062
82,0.094889,0.404433
83,0.094854,0.435302
84,0.094567,0.411941
85,0.095742,0.416095
86,0.095328,0.433663
87,0.095878,0.415654
88,0.094124,0.427064
89,0.094233,0.423861
90,0.094897,0.420250
91,0.095157,0.413664
92,0.095117,0.422529
93,0.094092,0.409379
94,0.096745,0.425694
95,0.091833,0.428948
96,0.092753,0.414885
97,0.093240,0.406754
98,0.093023,0.392719
99,0.094185,0.398797
100,0.094652,0.401120
101,0.094448,0.423825
102,0.091757,0.417639
103,0.090309,0.409860
104,0.090933,0.410372
105,0.092014,0.389987
106,0.088893,0.424203
107,0.090572,0.399077
108,0.096037,0.415815
109,0.091756,0.409786
110,0.093615,0.405434
111,0.091341,0.397237
112,0.089783,0.439335
113,0.090310,0.405420
114,0.091389,0.400169
115,0.090176,0.426990
116,0.089546,0.409598
117,0.091102,0.429541
118,0.089033,0.397180
119,0.089947,0.401417
120,0.089786,0.388269
121,0.088356,0.407338
122,0.091232,0.398041
123,0.088998,0.372573
124,0.090922,0.384859
125,0.090633,0.394212
126,0.089713,0.396043
127,0.092729,0.397844
128,0.088705,0.426051
129,0.089392,0.407714
130,0.086663,0.413048
131,0.090494,0.406609
132,0.087914,0.397583
133,0.086979,0.405107
134,0.088115,0.411632
135,0.085448,0.399320
136,0.085441,0.417943
137,0.086511,0.398670
138,0.088167,0.408666
139,0.087993,0.414913
140,0.086643,0.398880
141,0.085109,0.417583
142,0.085664,0.406849
143,0.085471,0.412576
144,0.086871,0.382752
145,0.088478,0.406135
146,0.086966,0.398494
147,0.086000,0.407120
148,0.087472,0.382535
149,0.086555,0.397812
150,0.086536,0.405158
151,0.090581,0.405480
152,0.085907,0.380442
153,0.085359,0.391734
154,0.085518,0.410029
155,0.086540,0.408580
156,0.086074,0.400207
157,0.087052,0.407854
158,0.088298,0.413349
159,0.086097,0.378139
160,0.083975,0.396017
161,0.084968,0.401660
162,0.086835,0.377488
163,0.086925,0.419983
164,0.084665,0.434606
165,0.084099,0.447211
166,0.083563,0.394870
167,0.083303,0.403400
168,0.084062,0.419199
169,0.082628,0.408528
170,0.083728,0.405461
171,0.083860,0.398728
172,0.083402,0.419720
173,0.085773,0.429185
