epoch,train_loss,val_loss
1,0.407067,0.364679
2,0.271699,0.441212
3,0.244476,0.509950
4,0.229995,0.493257
5,0.221757,0.513737
6,0.214511,0.530972
7,0.207523,0.574318
8,0.201876,0.553998
9,0.194593,0.551657
10,0.189541,0.590120
11,0.186104,0.589365
12,0.182545,0.556655
13,0.178325,0.490264
14,0.174236,0.517616
15,0.176094,0.483028
16,0.171779,0.444695
17,0.166798,0.475620
18,0.162809,0.489991
19,0.164642,0.521780
20,0.160636,0.419059
21,0.160026,0.447143
22,0.157463,0.436758
23,0.157767,0.439028
24,0.154834,0.441776
25,0.154665,0.449441
26,0.151467,0.427581
27,0.149571,0.460161
28,0.150458,0.483234
29,0.149877,0.461073
30,0.147493,0.432689
31,0.146695,0.398490
32,0.146718,0.463798
33,0.144340,0.487398
34,0.142500,0.414673
35,0.142866,0.440550
36,0.142627,0.448017
37,0.139552,0.412672
38,0.138635,0.397569
39,0.140978,0.419540
40,0.140027,0.458084
41,0.137152,0.422675
42,0.138247,0.422488
43,0.135897,0.387273
44,0.135580,0.420842
45,0.135097,0.420849
46,0.134430,0.427060
47,0.133157,0.408205
48,0.135303,0.422178
49,0.134095,0.425511
50,0.132636,0.433516
51,0.135280,0.443545
52,0.133024,0.418932
53,0.131926,0.396915
54,0.130946,0.434449
55,0.130158,0.421923
56,0.131425,0.429453
57,0.130507,0.442821
58,0.130236,0.437797
59,0.131418,0.415913
60,0.128039,0.430896
61,0.126654,0.419171
62,0.125368,0.406412
63,0.127018,0.411491
64,0.127107,0.429772
65,0.125772,0.406556
66,0.127206,0.402542
67,0.125267,0.417768
68,0.125819,0.424077
69,0.125093,0.424755
70,0.126402,0.435894
71,0.122959,0.432973
72,0.125154,0.435734
73,0.126368,0.417629
74,0.123782,0.420427
75,0.126357,0.450580
76,0.123278,0.413111
77,0.122934,0.415426
78,0.123502,0.409087
79,0.122507,0.426116
80,0.121888,0.421890
81,0.121731,0.430989
82,0.122228,0.436358
83,0.122116,0.412614
84,0.123207,0.424476
85,0.122169,0.430359
86,0.120092,0.410625
87,0.120458,0.415590
88,0.122221,0.425518
89,0.118385,0.397955
90,0.119325,0.438775
91,0.120743,0.455250
92,0.118727,0.431710
93,0.121268,0.417718
