epoch,train_loss,val_loss
1,0.388953,0.367991
2,0.251297,0.458040
3,0.225117,0.522918
4,0.210330,0.535257
5,0.200729,0.516333
6,0.193973,0.551163
7,0.182816,0.524418
8,0.177146,0.535074
9,0.175519,0.537381
10,0.172003,0.570296
11,0.165726,0.624375
12,0.163672,0.537936
13,0.159753,0.506918
14,0.159020,0.507771
15,0.155995,0.559411
16,0.153460,0.550567
17,0.152252,0.511747
18,0.148180,0.552384
19,0.147641,0.616123
20,0.145147,0.489960
21,0.144885,0.507852
22,0.142979,0.506296
23,0.140867,0.502794
24,0.141161,0.493638
25,0.139009,0.526864
26,0.138051,0.515629
27,0.137056,0.493276
28,0.135533,0.523891
29,0.134608,0.567491
30,0.133964,0.442650
31,0.130533,0.468123
32,0.132393,0.475476
33,0.133181,0.538204
34,0.128297,0.448266
35,0.128559,0.457599
36,0.128584,0.458551
37,0.128098,0.479133
38,0.128381,0.458433
39,0.126635,0.464824
40,0.125350,0.497756
41,0.123694,0.517090
42,0.124416,0.476711
43,0.123181,0.499919
44,0.122370,0.491824
45,0.121510,0.478830
46,0.121812,0.490930
47,0.120944,0.458460
48,0.120999,0.445420
49,0.122032,0.454478
50,0.119575,0.502696
51,0.121203,0.474496
52,0.118485,0.456943
53,0.119182,0.446508
54,0.118021,0.449649
55,0.118539,0.501310
56,0.114795,0.466267
57,0.119436,0.468426
58,0.118622,0.471508
59,0.114718,0.480046
60,0.117057,0.484130
61,0.114843,0.469300
62,0.116096,0.461409
63,0.113919,0.427382
64,0.114624,0.501713
65,0.115677,0.459871
66,0.114861,0.457616
67,0.113132,0.457655
68,0.114458,0.458978
69,0.113498,0.437005
70,0.114218,0.450335
71,0.113591,0.503894
72,0.112712,0.481056
73,0.112479,0.485824
74,0.112696,0.458269
75,0.112415,0.472141
76,0.111741,0.432122
77,0.110566,0.425845
78,0.112160,0.429615
79,0.109713,0.453094
80,0.111007,0.447761
81,0.109711,0.461163
82,0.110968,0.432804
83,0.110047,0.430611
84,0.109788,0.432520
85,0.109156,0.449371
86,0.108584,0.453287
87,0.107688,0.435588
88,0.110097,0.428334
89,0.109259,0.460145
90,0.109156,0.422830
91,0.108793,0.432989
92,0.107867,0.421494
93,0.107280,0.430864
94,0.107253,0.434298
95,0.106517,0.459198
96,0.108042,0.466682
97,0.107289,0.433487
98,0.106858,0.420740
99,0.106648,0.431929
100,0.107673,0.428855
101,0.104173,0.470739
102,0.107724,0.463522
103,0.107423,0.433576
104,0.107376,0.460721
105,0.106473,0.401034
106,0.106864,0.435372
107,0.105356,0.441659
108,0.107097,0.451307
109,0.106488,0.418278
110,0.105394,0.446019
111,0.106576,0.441810
112,0.105035,0.457350
113,0.106749,0.488685
114,0.104304,0.429272
115,0.105262,0.450889
116,0.106229,0.452143
117,0.104886,0.456541
118,0.104680,0.457475
119,0.105220,0.450633
120,0.105681,0.443220
121,0.104468,0.441983
122,0.104480,0.416876
123,0.103729,0.433412
124,0.104277,0.457677
125,0.104395,0.433489
126,0.103172,0.483182
127,0.104033,0.455689
128,0.102231,0.478782
129,0.105591,0.462320
130,0.104210,0.464583
131,0.103433,0.423027
132,0.104561,0.420650
133,0.104575,0.461555
134,0.104336,0.455145
135,0.102321,0.410036
136,0.102890,0.454517
137,0.104079,0.471063
138,0.104834,0.403667
139,0.104732,0.413736
140,0.102498,0.442574
141,0.103652,0.466349
142,0.103687,0.432154
143,0.102437,0.455120
144,0.101932,0.427132
145,0.101933,0.430472
146,0.102909,0.409788
147,0.102306,0.417207
148,0.104938,0.417745
149,0.103018,0.429390
150,0.103271,0.441657
151,0.102672,0.450916
152,0.101837,0.418521
153,0.103619,0.413949
154,0.103533,0.415370
155,0.102488,0.451252
