epoch,train_loss,val_loss
1,0.376360,0.372580
2,0.247894,0.516826
3,0.223626,0.524122
4,0.209952,0.469202
5,0.200687,0.535587
6,0.194929,0.562810
7,0.186828,0.603861
8,0.180685,0.519672
9,0.178447,0.516572
10,0.174580,0.493089
11,0.169615,0.615129
12,0.169892,0.471421
13,0.162607,0.464027
14,0.158317,0.518649
15,0.164752,0.575730
16,0.158857,0.622358
17,0.157338,0.486327
18,0.153586,0.541281
19,0.150228,0.534304
20,0.148895,0.435477
21,0.148836,0.486519
22,0.147267,0.488528
23,0.144717,0.490219
24,0.146075,0.421509
25,0.140334,0.469362
26,0.149932,0.467388
27,0.143920,0.511683
28,0.142186,0.475697
29,0.138342,0.466516
30,0.138285,0.431860
31,0.136892,0.430454
32,0.136679,0.486814
33,0.136547,0.452249
34,0.133510,0.424041
35,0.135777,0.472998
36,0.131260,0.441974
37,0.136483,0.442842
38,0.135093,0.435271
39,0.134975,0.430764
40,0.131837,0.423723
41,0.126920,0.448922
42,0.130871,0.501221
43,0.128622,0.446617
44,0.130523,0.487277
45,0.126008,0.443702
46,0.127037,0.423811
47,0.129214,0.425661
48,0.125349,0.412878
49,0.121701,0.419608
50,0.124690,0.442852
51,0.124305,0.440419
52,0.126240,0.385816
53,0.125362,0.406582
54,0.123845,0.447545
55,0.125918,0.459190
56,0.125075,0.441832
57,0.122182,0.423906
58,0.121074,0.426297
59,0.127974,0.530237
60,0.124970,0.440570
61,0.124968,0.466097
62,0.119132,0.407440
63,0.136109,0.402570
64,0.123981,0.420856
65,0.119492,0.431286
66,0.119849,0.468097
67,0.120565,0.406738
68,0.117685,0.409813
69,0.118900,0.429116
70,0.124804,0.399786
71,0.118207,0.467191
72,0.122920,0.414842
73,0.117533,0.413309
74,0.116903,0.392792
75,0.118885,0.466076
76,0.120732,0.428097
77,0.114281,0.485976
78,0.118240,0.421118
79,0.115680,0.410592
80,0.113718,0.411708
81,0.113277,0.428032
82,0.116692,0.422743
83,0.111033,0.430800
84,0.111660,0.457345
85,0.116403,0.427775
86,0.121161,0.386895
87,0.122239,0.424637
88,0.115411,0.423862
89,0.115042,0.396682
90,0.112039,0.417486
91,0.115786,0.415340
92,0.115250,0.403224
93,0.115559,0.354636
94,0.123930,0.409004
95,0.112324,0.399812
96,0.113878,0.418007
97,0.110364,0.421605
98,0.111002,0.407863
99,0.113490,0.368036
100,0.115750,0.379624
101,0.117539,0.402922
102,0.116674,0.400598
103,0.121220,0.400672
104,0.114524,0.447683
105,0.112645,0.421280
106,0.112258,0.413730
107,0.109273,0.377903
108,0.111809,0.427626
109,0.112808,0.383101
110,0.115341,0.379307
111,0.115416,0.397619
112,0.112580,0.435079
113,0.112091,0.416431
114,0.121307,0.396538
115,0.115993,0.385663
116,0.112743,0.411609
117,0.110439,0.415249
118,0.110642,0.380902
119,0.108532,0.424627
120,0.109455,0.381065
121,0.110625,0.475764
122,0.115672,0.396358
123,0.108381,0.420595
124,0.119557,0.439470
125,0.110106,0.447983
126,0.113525,0.424371
127,0.117046,0.395965
128,0.113547,0.420020
129,0.112084,0.403219
130,0.108388,0.405497
131,0.122912,0.401826
132,0.112367,0.390399
133,0.110311,0.419851
134,0.109946,0.399173
135,0.112710,0.410457
136,0.108818,0.390854
137,0.111221,0.426997
138,0.110982,0.389537
139,0.112898,0.447818
140,0.117289,0.429469
141,0.114632,0.430260
142,0.110620,0.453230
143,0.110613,0.436178
