epoch,train_loss,val_loss
1,0.448284,0.366700
2,0.270804,0.396965
3,0.240187,0.434327
4,0.224486,0.476713
5,0.212595,0.456628
6,0.203868,0.537599
7,0.198188,0.497506
8,0.191669,0.531342
9,0.184917,0.577430
10,0.182531,0.584049
11,0.176340,0.561531
12,0.172616,0.544549
13,0.169326,0.556755
14,0.166405,0.533293
15,0.164344,0.556548
16,0.161983,0.557625
17,0.159615,0.525417
18,0.155072,0.517078
19,0.155110,0.555197
20,0.152712,0.519127
21,0.148778,0.530448
22,0.147407,0.518825
23,0.144250,0.541254
24,0.144969,0.508438
25,0.142327,0.503175
26,0.142722,0.496128
27,0.142213,0.494744
28,0.138453,0.489679
29,0.136831,0.476159
30,0.137425,0.518930
31,0.135571,0.457068
32,0.134860,0.544166
33,0.134441,0.543738
34,0.132195,0.436357
35,0.131610,0.470095
36,0.130340,0.465751
37,0.131265,0.418520
38,0.130299,0.475680
39,0.129654,0.515919
40,0.126659,0.499456
41,0.127359,0.452364
42,0.128869,0.475042
43,0.125965,0.491982
44,0.126331,0.472431
45,0.123806,0.500514
46,0.123460,0.503101
47,0.124363,0.477624
48,0.122690,0.456197
49,0.122301,0.442819
50,0.122649,0.523432
51,0.120693,0.472784
52,0.119923,0.441417
53,0.120706,0.435643
54,0.121773,0.491188
55,0.118983,0.452061
56,0.117004,0.456719
57,0.117282,0.471302
58,0.117057,0.455244
59,0.117815,0.456494
60,0.117383,0.467782
61,0.116770,0.459219
62,0.114754,0.443304
63,0.114184,0.407780
64,0.115390,0.465375
65,0.114717,0.426710
66,0.115924,0.449355
67,0.114287,0.417204
68,0.114356,0.447098
69,0.112702,0.437659
70,0.113467,0.453306
71,0.110872,0.453277
72,0.113200,0.431150
73,0.109781,0.417028
74,0.110561,0.418703
75,0.111539,0.491614
76,0.109575,0.438241
77,0.110500,0.433839
78,0.108045,0.421374
79,0.110364,0.419506
80,0.109245,0.448916
81,0.107592,0.453874
82,0.108447,0.429733
83,0.108222,0.444110
84,0.109135,0.410334
85,0.107634,0.451102
86,0.108278,0.444190
87,0.107350,0.425171
88,0.107338,0.402377
89,0.108805,0.406842
90,0.106158,0.449482
91,0.106252,0.429416
92,0.105346,0.420193
93,0.107307,0.419401
94,0.106855,0.428307
95,0.106092,0.426506
96,0.104430,0.429553
97,0.104749,0.448122
98,0.104931,0.431185
99,0.104872,0.397582
100,0.104711,0.408757
101,0.102898,0.428064
102,0.104964,0.438970
103,0.103290,0.408667
104,0.104056,0.431438
105,0.104409,0.398577
106,0.102681,0.416574
107,0.103054,0.398964
108,0.103015,0.486706
109,0.102246,0.424368
110,0.102036,0.399648
111,0.101956,0.417631
112,0.103480,0.438168
113,0.101967,0.408466
114,0.102229,0.396911
115,0.102564,0.410655
116,0.102326,0.412515
117,0.102113,0.438241
118,0.101999,0.411842
119,0.101558,0.454089
120,0.100749,0.406105
121,0.099790,0.418807
122,0.102051,0.406606
123,0.101381,0.388161
124,0.100427,0.427850
125,0.100466,0.425294
126,0.100287,0.434320
127,0.099890,0.423543
128,0.098277,0.442918
129,0.099530,0.420547
130,0.098834,0.421509
131,0.098105,0.417002
132,0.097876,0.416357
133,0.098406,0.401910
134,0.098211,0.437089
135,0.099127,0.411183
136,0.097945,0.432647
137,0.098685,0.426654
138,0.098779,0.416672
139,0.096995,0.417017
140,0.097222,0.419136
141,0.098168,0.425014
142,0.097239,0.403311
143,0.098598,0.405437
144,0.098536,0.396132
145,0.098520,0.435051
146,0.097727,0.408786
147,0.097481,0.393142
148,0.097853,0.389451
149,0.097672,0.393861
150,0.096209,0.403203
151,0.097396,0.405129
152,0.096180,0.390697
153,0.097388,0.429479
154,0.095973,0.406594
155,0.096276,0.440302
156,0.097135,0.411623
157,0.097432,0.429715
158,0.096021,0.439555
159,0.096636,0.411377
160,0.096909,0.398489
161,0.097940,0.391972
162,0.094977,0.404019
163,0.095430,0.397939
164,0.096221,0.406814
165,0.096838,0.413127
166,0.094313,0.417706
167,0.094990,0.409083
168,0.095984,0.410330
169,0.095824,0.402840
170,0.095317,0.398972
171,0.095706,0.397445
172,0.095303,0.413664
173,0.095415,0.445635
