epoch,train_loss,val_loss
1,0.361912,0.376702
2,0.237909,0.532825
3,0.210825,0.595085
4,0.196718,0.535955
5,0.189373,0.506756
6,0.183191,0.596946
7,0.176477,0.531307
8,0.170647,0.545458
9,0.166492,0.512245
10,0.161616,0.585504
11,0.158341,0.641043
12,0.159202,0.514325
13,0.154534,0.531869
14,0.151167,0.537473
15,0.151321,0.524097
16,0.146868,0.511647
17,0.149885,0.466052
18,0.144161,0.534688
19,0.143706,0.530194
20,0.143891,0.480766
21,0.136799,0.503168
22,0.142001,0.530787
23,0.137472,0.525634
24,0.139642,0.497907
25,0.135858,0.493665
26,0.134320,0.548277
27,0.133825,0.509258
28,0.133844,0.502143
29,0.132437,0.508741
30,0.130748,0.473797
31,0.130473,0.466609
32,0.131058,0.443222
33,0.130162,0.544801
34,0.128891,0.463593
35,0.126434,0.469239
36,0.128756,0.495592
37,0.125412,0.475325
38,0.128049,0.440575
39,0.129357,0.470115
40,0.125634,0.456383
41,0.123799,0.557534
42,0.127276,0.502636
43,0.124700,0.538077
44,0.121529,0.499611
45,0.124653,0.506121
46,0.124183,0.500980
47,0.121162,0.463564
48,0.123672,0.430145
49,0.120856,0.521402
50,0.121300,0.475707
51,0.122400,0.467946
52,0.119774,0.428996
53,0.120485,0.500259
54,0.118604,0.521523
55,0.121618,0.490187
56,0.118900,0.470540
57,0.119376,0.492334
58,0.119191,0.549370
59,0.118304,0.464118
60,0.118109,0.513916
61,0.117861,0.450490
62,0.118306,0.475683
63,0.116998,0.436300
64,0.116725,0.586284
65,0.119420,0.416760
66,0.122607,0.424789
67,0.117546,0.479008
68,0.115153,0.496485
69,0.115337,0.454256
70,0.115666,0.443956
71,0.115738,0.460476
72,0.114838,0.449738
73,0.113541,0.473468
74,0.116900,0.455936
75,0.115296,0.526375
76,0.115146,0.481482
77,0.116562,0.479819
78,0.116433,0.481940
79,0.113438,0.452159
80,0.114392,0.460884
81,0.115423,0.542985
82,0.113998,0.464926
83,0.114084,0.448614
84,0.113327,0.438473
85,0.112795,0.473369
86,0.111191,0.452340
87,0.111750,0.427142
88,0.115167,0.414551
89,0.112189,0.469077
90,0.112144,0.445124
91,0.110388,0.473222
92,0.111780,0.432642
93,0.114991,0.430497
94,0.114439,0.437848
95,0.111170,0.434073
96,0.112584,0.410286
97,0.112168,0.477226
98,0.111296,0.446830
99,0.110913,0.428144
100,0.113081,0.422160
101,0.110832,0.454428
102,0.112833,0.469072
103,0.111935,0.489514
104,0.109956,0.442049
105,0.112049,0.445280
106,0.113414,0.451042
107,0.110990,0.417469
108,0.109730,0.466009
109,0.112086,0.422624
110,0.111114,0.474840
111,0.109314,0.499873
112,0.109908,0.475742
113,0.113088,0.456299
114,0.111291,0.443193
115,0.110328,0.428619
116,0.111461,0.458085
117,0.110962,0.450900
118,0.112222,0.479699
119,0.109584,0.413355
120,0.112286,0.438395
121,0.110063,0.476989
122,0.110871,0.448670
123,0.107623,0.433799
124,0.109016,0.475565
125,0.109974,0.464593
126,0.108719,0.444740
127,0.110569,0.478238
128,0.109391,0.479002
129,0.111490,0.509897
130,0.110573,0.427942
131,0.110239,0.410316
132,0.108970,0.440892
133,0.109589,0.493834
134,0.110640,0.443698
135,0.108826,0.438219
136,0.108940,0.420419
137,0.111852,0.417863
138,0.112509,0.404975
139,0.112155,0.414425
140,0.111658,0.445666
141,0.113169,0.430432
142,0.108017,0.449840
143,0.108526,0.464381
144,0.107702,0.414940
145,0.106486,0.467016
146,0.110358,0.426082
147,0.110605,0.418550
148,0.109191,0.425128
149,0.110348,0.480917
150,0.109239,0.411084
151,0.107993,0.482511
152,0.109030,0.426355
153,0.108488,0.394024
154,0.109384,0.417870
155,0.107756,0.413215
156,0.108856,0.400216
157,0.108566,0.466461
158,0.107008,0.497008
159,0.106840,0.433663
160,0.111038,0.413114
161,0.111790,0.455782
162,0.109542,0.427729
163,0.108429,0.497600
164,0.107601,0.464412
165,0.111307,0.459026
166,0.108138,0.437942
167,0.109261,0.435878
168,0.109859,0.476628
169,0.108354,0.434489
170,0.107109,0.441830
171,0.108276,0.463980
172,0.107878,0.471225
173,0.110103,0.465009
174,0.106348,0.474891
175,0.105655,0.454179
176,0.107687,0.495020
177,0.110090,0.471368
178,0.107894,0.511265
179,0.109759,0.463520
180,0.107328,0.433142
181,0.108635,0.508988
182,0.108566,0.443300
183,0.109069,0.397608
184,0.108500,0.436025
185,0.106800,0.505076
186,0.108214,0.500837
187,0.106930,0.447040
188,0.109014,0.448285
189,0.108378,0.416715
190,0.106812,0.450001
191,0.107024,0.435966
192,0.107680,0.474544
193,0.106775,0.398481
194,0.106365,0.416789
195,0.107671,0.428251
196,0.107265,0.451523
197,0.109567,0.453189
198,0.107581,0.453543
199,0.108859,0.478168
200,0.108049,0.439100
201,0.107358,0.473339
202,0.107478,0.441485
203,0.108001,0.438784
