epoch,train_loss,val_loss
1,0.374947,0.387206
2,0.255033,0.462824
3,0.233745,0.506041
4,0.219473,0.513972
5,0.209506,0.452533
6,0.201862,0.535353
7,0.193376,0.476583
8,0.188916,0.555310
9,0.183184,0.599209
10,0.179404,0.564708
11,0.172627,0.644157
12,0.171472,0.513557
13,0.170399,0.440134
14,0.163420,0.512953
15,0.161604,0.476173
16,0.160501,0.478997
17,0.157683,0.479050
18,0.152927,0.505705
19,0.153271,0.574898
20,0.153663,0.467984
21,0.147611,0.482651
22,0.147909,0.452987
23,0.145603,0.476248
24,0.147407,0.474287
25,0.144549,0.474779
26,0.143983,0.456596
27,0.140391,0.470513
28,0.142049,0.463330
29,0.140400,0.489441
30,0.141175,0.429911
31,0.137127,0.432876
32,0.135704,0.415006
33,0.135496,0.468386
34,0.137632,0.428938
35,0.134527,0.441780
36,0.133771,0.453041
37,0.133342,0.441432
38,0.133343,0.446624
39,0.133194,0.414147
40,0.128828,0.424592
41,0.128780,0.432947
42,0.133798,0.447104
43,0.127190,0.445428
44,0.127849,0.432652
45,0.129553,0.421861
46,0.128482,0.416401
47,0.127700,0.396675
48,0.128522,0.379303
49,0.125876,0.422956
50,0.127618,0.432057
51,0.126936,0.405977
52,0.127170,0.398100
53,0.126180,0.423431
54,0.124541,0.397472
55,0.123707,0.453058
56,0.123827,0.391559
57,0.125619,0.412968
58,0.122313,0.418909
59,0.123093,0.417327
60,0.123375,0.422160
61,0.122391,0.418892
62,0.123043,0.426448
63,0.124185,0.416688
64,0.121851,0.431192
65,0.123586,0.380379
66,0.122840,0.383791
67,0.120402,0.403656
68,0.123134,0.420273
69,0.118734,0.400734
70,0.119790,0.413651
71,0.121291,0.410032
72,0.121628,0.415498
73,0.118981,0.406587
74,0.120403,0.400760
75,0.119103,0.448521
76,0.121959,0.417288
77,0.121958,0.433550
78,0.118525,0.400612
79,0.116207,0.423612
80,0.123160,0.424023
81,0.118453,0.398749
82,0.120429,0.427965
83,0.119484,0.424924
84,0.120611,0.412938
85,0.118928,0.378102
86,0.119367,0.392450
87,0.117476,0.411604
88,0.118050,0.377926
89,0.117978,0.404264
90,0.119140,0.412454
91,0.118698,0.433938
92,0.117814,0.447942
93,0.118708,0.414180
94,0.118040,0.397815
95,0.118030,0.438394
96,0.118522,0.436853
97,0.117341,0.428232
98,0.116319,0.412029
99,0.115902,0.408100
100,0.116267,0.382432
101,0.117495,0.432763
102,0.116939,0.412865
103,0.116142,0.401274
104,0.116322,0.425608
105,0.120688,0.389663
106,0.116930,0.436577
107,0.116173,0.388357
108,0.116514,0.410820
109,0.115520,0.405559
110,0.116240,0.400170
111,0.114185,0.407835
112,0.114807,0.425686
113,0.116941,0.402279
114,0.115884,0.409542
115,0.117538,0.432739
116,0.114970,0.416846
117,0.116944,0.384953
118,0.117283,0.421545
119,0.115738,0.416966
120,0.115922,0.382779
121,0.116225,0.381159
122,0.114412,0.449356
123,0.114332,0.446449
124,0.117296,0.452174
125,0.114930,0.498326
126,0.114505,0.402202
127,0.113818,0.431787
128,0.115225,0.447152
129,0.117410,0.519887
130,0.116291,0.445583
131,0.114588,0.378820
132,0.111923,0.384787
133,0.115259,0.420098
134,0.114737,0.439003
135,0.113459,0.412518
136,0.113790,0.399776
137,0.114888,0.400702
138,0.114214,0.394257
