epoch,train_loss,val_loss
1,0.312380,0.248408
2,0.094766,0.212933
3,0.071243,0.228407
4,0.066817,0.270816
5,0.059898,0.265649
6,0.057491,0.266475
7,0.052939,0.265873
8,0.052077,0.290963
9,0.052302,0.288629
10,0.050949,0.283345
11,0.049990,0.268269
12,0.050809,0.287320
13,0.049575,0.278911
14,0.046565,0.304707
15,0.046474,0.323260
16,0.045968,0.308017
17,0.044578,0.291066
18,0.044005,0.313302
19,0.041956,0.278854
20,0.043857,0.310861
21,0.042549,0.311256
22,0.044000,0.288436
23,0.042964,0.284537
24,0.041877,0.301953
25,0.041975,0.295850
26,0.042376,0.334367
27,0.040007,0.334773
28,0.039339,0.338760
29,0.039809,0.347613
30,0.040582,0.323158
31,0.038459,0.327634
32,0.039707,0.301585
33,0.039241,0.295382
34,0.039982,0.316974
35,0.038990,0.362112
36,0.038746,0.347258
37,0.038420,0.334173
38,0.038347,0.304593
39,0.038145,0.307860
40,0.036903,0.334339
41,0.039485,0.332595
42,0.037483,0.309563
43,0.038275,0.380746
44,0.036522,0.344202
45,0.036053,0.391820
46,0.036227,0.298715
47,0.036426,0.355191
48,0.037007,0.318678
49,0.036334,0.318773
50,0.038114,0.294106
51,0.037920,0.350180
52,0.036242,0.345814
53,0.035293,0.309822
54,0.035941,0.333606
55,0.036722,0.303330
56,0.035434,0.301724
57,0.036161,0.296591
58,0.035804,0.315715
59,0.035805,0.346070
60,0.035721,0.298522
61,0.036852,0.312327
62,0.035271,0.338628
63,0.035211,0.367544
64,0.037778,0.302936
65,0.035099,0.331307
66,0.035852,0.328352
67,0.036775,0.322246
68,0.035504,0.320680
69,0.034649,0.330376
70,0.035213,0.301264
71,0.035095,0.351458
72,0.034398,0.300510
73,0.035418,0.313063
74,0.034629,0.309474
75,0.035064,0.293807
76,0.034421,0.334017
77,0.034054,0.290977
78,0.033972,0.313821
79,0.035239,0.322200
80,0.034647,0.320624
