epoch,train_loss,val_loss
1,0.399207,0.317445
2,0.109545,0.231762
3,0.074980,0.264729
4,0.062288,0.309255
5,0.057302,0.332915
6,0.052537,0.342104
7,0.050469,0.293672
8,0.046313,0.314388
9,0.045527,0.316272
10,0.044736,0.333223
11,0.043168,0.329989
12,0.041336,0.360441
13,0.040914,0.311105
14,0.040723,0.361180
15,0.038742,0.440187
16,0.038723,0.378181
17,0.038435,0.402993
18,0.036572,0.405975
19,0.036014,0.369316
20,0.035904,0.403895
21,0.035435,0.365015
22,0.034984,0.377970
23,0.034247,0.376569
24,0.034470,0.382744
25,0.033056,0.406247
26,0.033024,0.391466
27,0.032766,0.389793
28,0.033278,0.380976
29,0.032784,0.458951
30,0.031980,0.392291
31,0.031900,0.402084
32,0.032064,0.416434
33,0.031702,0.483745
34,0.032373,0.409721
35,0.031059,0.421061
36,0.030815,0.430875
37,0.031465,0.429886
38,0.031122,0.447982
39,0.031036,0.434309
40,0.030243,0.430321
41,0.030715,0.416259
42,0.030416,0.396650
43,0.029753,0.430386
44,0.030196,0.431586
45,0.030263,0.454341
46,0.030419,0.436856
47,0.028854,0.493787
48,0.029274,0.438791
49,0.029235,0.472731
50,0.028383,0.467103
51,0.028455,0.533780
52,0.028477,0.466007
53,0.028543,0.492879
54,0.027794,0.480254
55,0.027366,0.451619
56,0.027516,0.512563
57,0.027651,0.529713
58,0.027309,0.456902
59,0.027633,0.433097
60,0.028040,0.480135
61,0.028030,0.526425
62,0.026884,0.560210
63,0.026955,0.548800
64,0.026449,0.515700
65,0.026469,0.535246
66,0.027244,0.474593
67,0.026212,0.480393
68,0.026921,0.475338
69,0.027758,0.577229
70,0.027173,0.486192
71,0.025933,0.567264
72,0.026542,0.477282
73,0.026456,0.478441
74,0.026009,0.488662
75,0.026745,0.450133
76,0.025413,0.498462
77,0.025147,0.424352
78,0.025808,0.534088
79,0.026076,0.474375
80,0.025613,0.404283
