epoch,train_loss,val_loss
1,0.301386,0.410869
2,0.092076,0.207287
3,0.068526,0.226364
4,0.061127,0.277372
5,0.058446,0.249137
6,0.055621,0.310254
7,0.054053,0.242755
8,0.050391,0.308103
9,0.049153,0.291987
10,0.047566,0.327876
11,0.049790,0.281181
12,0.046643,0.327940
13,0.046068,0.291967
14,0.045169,0.335302
15,0.042385,0.326617
16,0.042689,0.300211
17,0.041955,0.312323
18,0.042658,0.339647
19,0.042206,0.280217
20,0.042452,0.324445
21,0.041454,0.327190
22,0.042583,0.320757
23,0.040336,0.300571
24,0.040850,0.307108
25,0.038303,0.289580
26,0.040263,0.309180
27,0.038505,0.308244
28,0.038559,0.315172
29,0.038292,0.372600
30,0.037968,0.324484
31,0.037598,0.403060
32,0.038882,0.309779
33,0.038224,0.339423
34,0.037938,0.323194
35,0.038128,0.376425
36,0.036994,0.366493
37,0.036416,0.351647
38,0.036964,0.319845
39,0.036964,0.321680
40,0.036601,0.375227
41,0.036483,0.401811
42,0.037180,0.363917
43,0.035658,0.364824
44,0.036140,0.369644
45,0.035137,0.386645
46,0.035382,0.326413
47,0.035466,0.358046
48,0.034100,0.328309
49,0.034962,0.341646
50,0.035884,0.367959
51,0.035162,0.355948
52,0.034056,0.394482
53,0.034502,0.319950
54,0.035017,0.343023
55,0.034792,0.307268
56,0.034038,0.379370
57,0.034785,0.293712
58,0.035724,0.367941
59,0.034703,0.393155
60,0.033966,0.383559
61,0.035073,0.365031
62,0.034607,0.374330
63,0.033811,0.344547
64,0.033616,0.324699
65,0.034517,0.318364
66,0.034252,0.319534
67,0.033395,0.333810
68,0.033353,0.308762
69,0.034058,0.335681
70,0.032802,0.319299
71,0.034047,0.348318
72,0.033140,0.307378
73,0.033266,0.340053
74,0.033452,0.301108
75,0.032774,0.290510
76,0.033090,0.303331
77,0.034186,0.278014
78,0.033587,0.348271
79,0.032547,0.312284
80,0.034086,0.326683
