epoch,train_loss,val_loss
1,0.477033,0.304994
2,0.165656,0.273557
3,0.127817,0.209735
4,0.108113,0.226774
5,0.098345,0.215357
6,0.090137,0.211759
7,0.086880,0.218425
8,0.084382,0.217812
9,0.078988,0.249387
10,0.076662,0.243417
11,0.076523,0.249029
12,0.075753,0.241034
13,0.072957,0.241738
14,0.071355,0.267444
15,0.072571,0.268957
16,0.068655,0.247651
17,0.068110,0.258355
18,0.067427,0.252626
19,0.065217,0.253994
20,0.067764,0.270134
21,0.066783,0.250021
22,0.064955,0.256306
23,0.064728,0.249149
24,0.060526,0.257624
25,0.062365,0.255835
26,0.061951,0.261341
27,0.059975,0.268760
28,0.060549,0.271769
29,0.059373,0.275022
30,0.061711,0.275408
31,0.060800,0.292072
32,0.059257,0.281299
33,0.059701,0.279841
34,0.059127,0.281877
35,0.059638,0.290183
36,0.058548,0.300224
37,0.057180,0.298806
38,0.057987,0.293903
39,0.057415,0.287838
40,0.056888,0.291906
41,0.058332,0.311108
42,0.057278,0.282519
43,0.058119,0.285609
44,0.058281,0.297411
45,0.056167,0.313030
46,0.055817,0.304302
47,0.055258,0.321879
48,0.055930,0.277840
49,0.056646,0.296291
50,0.053844,0.290413
51,0.053305,0.306365
52,0.055387,0.300422
53,0.056977,0.298108
54,0.055022,0.324410
55,0.054926,0.286768
56,0.054287,0.279416
57,0.055270,0.335437
58,0.055825,0.382485
59,0.055380,0.318303
60,0.054427,0.308380
61,0.054794,0.305624
62,0.054741,0.302053
63,0.055572,0.311148
64,0.057132,0.287008
65,0.055259,0.295701
66,0.055619,0.302641
67,0.055170,0.313687
68,0.056676,0.294191
69,0.054357,0.311211
70,0.053294,0.309571
71,0.054725,0.283737
72,0.054100,0.302460
73,0.054987,0.298766
74,0.052612,0.301865
75,0.052316,0.310171
76,0.052767,0.304338
77,0.051635,0.289255
78,0.052052,0.300238
79,0.051512,0.308066
80,0.053399,0.292717
