epoch,train_loss,val_loss
1,0.597970,0.496232
2,0.204619,0.291837
3,0.146993,0.225864
4,0.117594,0.219335
5,0.102549,0.189075
6,0.093394,0.197689
7,0.086737,0.207635
8,0.081838,0.199661
9,0.077647,0.211873
10,0.076696,0.206714
11,0.074671,0.213786
12,0.072862,0.221953
13,0.070269,0.221578
14,0.068545,0.224311
15,0.067164,0.226192
16,0.066087,0.229521
17,0.064924,0.234634
18,0.064429,0.237600
19,0.061754,0.248207
20,0.061467,0.239442
21,0.061134,0.241797
22,0.061528,0.250753
23,0.061343,0.243003
24,0.059558,0.250803
25,0.057899,0.244191
26,0.056851,0.251683
27,0.056656,0.247350
28,0.055316,0.250986
29,0.054835,0.267570
30,0.056301,0.263900
31,0.056071,0.252212
32,0.055375,0.261635
33,0.054247,0.263156
34,0.054176,0.259143
35,0.052318,0.261410
36,0.053192,0.270506
37,0.052329,0.268512
38,0.050978,0.276096
39,0.050897,0.281297
40,0.051149,0.278876
41,0.049033,0.280361
42,0.048759,0.272189
43,0.048296,0.277653
44,0.049173,0.276998
45,0.049317,0.276677
46,0.048946,0.282435
47,0.049773,0.293755
48,0.047799,0.281674
49,0.049096,0.285251
50,0.046104,0.291666
51,0.047325,0.293982
52,0.047370,0.289113
53,0.047297,0.298633
54,0.046268,0.294283
55,0.045942,0.292738
56,0.046329,0.298735
57,0.046312,0.311490
58,0.046729,0.306283
59,0.046828,0.298932
60,0.044783,0.304502
61,0.044828,0.309065
62,0.044574,0.303101
63,0.044730,0.300428
64,0.045235,0.305375
65,0.043872,0.318162
66,0.043819,0.314289
67,0.045085,0.317516
68,0.042656,0.314665
69,0.042145,0.304109
70,0.043042,0.321472
71,0.042210,0.312151
72,0.042105,0.316586
73,0.043459,0.317411
74,0.042907,0.305684
75,0.042402,0.311659
76,0.042278,0.319679
77,0.041573,0.329169
78,0.040694,0.325709
79,0.041867,0.317654
80,0.042080,0.304438
