epoch,train_loss,val_loss
1,0.624567,0.573860
2,0.223370,0.257112
3,0.161933,0.234909
4,0.132653,0.214368
5,0.115269,0.194716
6,0.107378,0.203307
7,0.099298,0.211485
8,0.093147,0.199010
9,0.088182,0.209744
10,0.087321,0.204808
11,0.086021,0.214993
12,0.082631,0.217353
13,0.079379,0.215868
14,0.077915,0.216902
15,0.077096,0.221151
16,0.074393,0.226878
17,0.072661,0.233762
18,0.074567,0.233340
19,0.071581,0.240222
20,0.069831,0.233071
21,0.069587,0.230008
22,0.068772,0.245831
23,0.069334,0.237287
24,0.066677,0.242150
25,0.065048,0.239696
26,0.062976,0.246162
27,0.063355,0.242516
28,0.063526,0.246461
29,0.063537,0.261968
30,0.064219,0.263386
31,0.062627,0.256324
32,0.062239,0.269552
33,0.061255,0.270504
34,0.060620,0.256867
35,0.059163,0.264450
36,0.059877,0.268447
37,0.059258,0.264970
38,0.058653,0.273848
39,0.057815,0.284375
40,0.057770,0.284483
41,0.055260,0.280669
42,0.055700,0.274284
43,0.054907,0.283869
44,0.055207,0.285841
45,0.055993,0.286814
46,0.055887,0.289404
47,0.054816,0.297721
48,0.053882,0.282381
49,0.054718,0.294940
50,0.052352,0.297323
51,0.053918,0.300867
52,0.053023,0.293012
53,0.053203,0.302764
54,0.052445,0.295551
55,0.051339,0.294277
56,0.053105,0.301674
57,0.051872,0.314164
58,0.052492,0.314848
59,0.053002,0.312331
60,0.051108,0.314986
61,0.051115,0.311197
62,0.050502,0.309096
63,0.051300,0.303060
64,0.050584,0.315772
65,0.049801,0.325628
66,0.049352,0.331179
67,0.050897,0.331166
68,0.047681,0.328561
69,0.048068,0.316551
70,0.048482,0.342796
71,0.047928,0.330911
72,0.047441,0.349874
73,0.048326,0.347943
74,0.048840,0.320200
75,0.047065,0.334876
76,0.047157,0.340036
77,0.046154,0.357540
78,0.047301,0.351529
79,0.047149,0.344773
80,0.048911,0.323954
