epoch,train_loss,val_loss
1,0.433999,0.268655
2,0.150910,0.214793
3,0.109956,0.201433
4,0.096625,0.208838
5,0.089049,0.202379
6,0.085440,0.216429
7,0.082597,0.214378
8,0.075915,0.219018
9,0.072461,0.229785
10,0.072278,0.230885
11,0.069028,0.254781
12,0.067224,0.250326
13,0.064730,0.237810
14,0.062829,0.248440
15,0.064242,0.278874
16,0.063545,0.259061
17,0.065800,0.262924
18,0.060747,0.271516
19,0.058270,0.275125
20,0.058749,0.276872
21,0.056603,0.270884
22,0.055699,0.286375
23,0.055410,0.297737
24,0.054969,0.290347
25,0.056497,0.296952
26,0.052921,0.298820
27,0.052310,0.284691
28,0.053561,0.296093
29,0.053400,0.310104
30,0.052173,0.308668
31,0.050526,0.315354
32,0.050247,0.306518
33,0.051161,0.327736
34,0.050481,0.310604
35,0.048909,0.328695
36,0.049436,0.322692
37,0.048380,0.319554
38,0.049167,0.328828
39,0.049151,0.316370
40,0.047080,0.317722
41,0.048627,0.311611
42,0.048396,0.310796
43,0.046834,0.321630
44,0.046753,0.314269
45,0.045963,0.326154
46,0.045382,0.330576
47,0.045740,0.351915
48,0.046194,0.315390
49,0.046616,0.335375
50,0.044925,0.331744
51,0.044717,0.329053
52,0.044917,0.329368
53,0.045791,0.319356
54,0.044161,0.333031
55,0.043550,0.316952
56,0.046244,0.345110
57,0.044190,0.337248
58,0.042782,0.333565
59,0.043147,0.345334
60,0.043148,0.343037
61,0.043862,0.337821
62,0.043203,0.340672
63,0.042481,0.332814
64,0.042455,0.339063
65,0.043110,0.334873
66,0.042588,0.329066
67,0.042733,0.328487
68,0.043276,0.329243
69,0.043825,0.336675
70,0.042127,0.333472
71,0.042371,0.334966
72,0.042897,0.339501
73,0.042092,0.321284
74,0.040247,0.326780
75,0.040830,0.333610
76,0.040593,0.326710
77,0.040836,0.324440
78,0.040600,0.331833
79,0.041323,0.312462
80,0.040223,0.321304
