epoch,train_loss,val_loss
1,0.453483,0.260615
2,0.157515,0.347170
3,0.107010,0.222442
4,0.089354,0.190802
5,0.081164,0.200041
6,0.077088,0.203605
7,0.070673,0.212235
8,0.069723,0.205063
9,0.065724,0.216195
10,0.062757,0.219682
11,0.062414,0.218293
12,0.060918,0.226517
13,0.059989,0.227294
14,0.057434,0.243190
15,0.058129,0.246731
16,0.054609,0.258854
17,0.055693,0.232311
18,0.051595,0.252416
19,0.053094,0.253922
20,0.052652,0.258956
21,0.051520,0.263800
22,0.051605,0.273156
23,0.050758,0.264430
24,0.050295,0.292450
25,0.046901,0.300424
26,0.048323,0.285135
27,0.046482,0.283584
28,0.047941,0.309197
29,0.046211,0.320183
30,0.046446,0.325323
31,0.044798,0.317472
32,0.045789,0.309881
33,0.046864,0.348199
34,0.045128,0.389785
35,0.044962,0.312401
36,0.045758,0.351347
37,0.042689,0.320609
38,0.043900,0.372235
39,0.042903,0.335408
40,0.042449,0.314579
41,0.045261,0.321290
42,0.041213,0.313478
43,0.041510,0.339391
44,0.042427,0.355538
45,0.040119,0.338960
46,0.041708,0.361364
47,0.040685,0.381730
48,0.039767,0.338909
49,0.040594,0.335646
50,0.041234,0.338708
51,0.040816,0.373427
52,0.039197,0.351117
53,0.038863,0.334731
54,0.039245,0.377316
55,0.039275,0.393889
56,0.037773,0.422206
57,0.038011,0.374690
58,0.040343,0.387651
59,0.038030,0.359657
60,0.037917,0.351880
61,0.038275,0.366046
62,0.039058,0.346193
63,0.038593,0.313179
64,0.038263,0.362944
65,0.035722,0.368391
66,0.037001,0.361562
67,0.037660,0.351556
68,0.037463,0.351219
69,0.038038,0.352814
70,0.037342,0.397175
71,0.038229,0.428332
72,0.037880,0.381910
73,0.036934,0.354692
74,0.035843,0.355757
75,0.036753,0.376957
76,0.036273,0.371481
77,0.037189,0.377159
78,0.036650,0.374706
79,0.035688,0.329500
80,0.036072,0.356151
