epoch,train_loss,val_loss
1,0.609204,0.562735
2,0.217360,0.261841
3,0.158477,0.231570
4,0.128174,0.217837
5,0.112068,0.193412
6,0.104054,0.203344
7,0.096574,0.214933
8,0.090596,0.198391
9,0.086576,0.211879
10,0.085722,0.204895
11,0.084331,0.216053
12,0.080864,0.218043
13,0.077593,0.214828
14,0.076349,0.215618
15,0.075450,0.219341
16,0.072637,0.228091
17,0.070870,0.237647
18,0.072335,0.238821
19,0.069663,0.249717
20,0.068684,0.239270
21,0.067392,0.239405
22,0.066578,0.254136
23,0.067336,0.246684
24,0.065129,0.250970
25,0.063287,0.248553
26,0.061232,0.255890
27,0.061527,0.250723
28,0.062144,0.256992
29,0.061249,0.274358
30,0.062415,0.268972
31,0.061143,0.260002
32,0.060362,0.273674
33,0.059748,0.274066
34,0.058917,0.267091
35,0.057776,0.266146
36,0.058116,0.269697
37,0.058027,0.268142
38,0.057107,0.278193
39,0.055842,0.281399
40,0.056118,0.280913
41,0.054039,0.279816
42,0.053917,0.275260
43,0.053052,0.279663
44,0.053543,0.281819
45,0.054456,0.278467
46,0.054191,0.280418
47,0.053729,0.288798
48,0.052414,0.281019
49,0.053396,0.288220
50,0.051560,0.292721
51,0.051725,0.290107
52,0.051919,0.288624
53,0.051825,0.294051
54,0.051882,0.291295
55,0.049785,0.292260
56,0.051148,0.300531
57,0.050993,0.312111
58,0.050990,0.306631
59,0.050650,0.303832
60,0.048843,0.302855
61,0.049552,0.304147
62,0.049566,0.304626
63,0.049789,0.298558
64,0.049155,0.312274
65,0.047966,0.318485
66,0.047917,0.321092
67,0.049259,0.314317
68,0.046335,0.309413
69,0.046317,0.307234
70,0.046260,0.324661
71,0.046491,0.314695
72,0.045667,0.320723
73,0.046348,0.319412
74,0.047037,0.306744
75,0.045347,0.313868
76,0.045464,0.314276
77,0.044969,0.324512
78,0.045243,0.328199
79,0.046093,0.315577
80,0.047273,0.309041
