epoch,train_loss,val_loss
1,0.249466,0.239811
2,0.105181,0.210103
3,0.087963,0.210093
4,0.081998,0.237324
5,0.075006,0.327067
6,0.077006,0.242395
7,0.070474,0.245688
8,0.069111,0.250879
9,0.072218,0.251567
10,0.066845,0.287843
11,0.063740,0.267363
12,0.062969,0.265222
13,0.064077,0.275095
14,0.063724,0.319778
15,0.062188,0.405802
16,0.067017,0.283785
17,0.059029,0.313942
18,0.062116,0.313024
19,0.061236,0.308075
20,0.057275,0.320749
21,0.059652,0.317612
22,0.059513,0.287934
23,0.061390,0.302154
24,0.059139,0.286981
25,0.059505,0.289375
26,0.057351,0.296216
27,0.060803,0.303417
28,0.056953,0.296866
29,0.058594,0.301961
30,0.066044,0.334086
31,0.058231,0.299784
32,0.059968,0.289687
33,0.060020,0.293849
34,0.058098,0.356187
35,0.062876,0.287829
36,0.058809,0.291308
37,0.058058,0.288261
38,0.055613,0.279022
39,0.059102,0.293750
40,0.056692,0.300594
41,0.058349,0.293923
42,0.059192,0.295218
43,0.060450,0.282588
44,0.058983,0.284269
45,0.055448,0.296623
46,0.057725,0.316781
47,0.056924,0.286762
48,0.057787,0.278236
49,0.057802,0.278366
50,0.065641,0.274833
51,0.059244,0.277925
52,0.059605,0.284677
53,0.060276,0.277148
54,0.058359,0.282143
55,0.056145,0.283761
56,0.055008,0.297543
57,0.056148,0.276787
58,0.058332,0.278737
59,0.057145,0.291799
60,0.058031,0.281037
61,0.059478,0.278287
62,0.057800,0.275334
63,0.059173,0.277836
64,0.054805,0.274613
65,0.060170,0.304597
66,0.056793,0.274754
67,0.057989,0.288834
68,0.059223,0.263863
69,0.055209,0.265299
70,0.056385,0.285573
71,0.059344,0.266828
72,0.056023,0.273659
73,0.056894,0.276976
74,0.054926,0.295292
75,0.056474,0.280032
76,0.054755,0.271893
77,0.057814,0.270532
78,0.055000,0.273508
79,0.056876,0.273413
80,0.062701,0.271651
