epoch,train_loss,val_loss
1,0.326893,0.299845
2,0.100162,0.204992
3,0.073549,0.228049
4,0.066475,0.353155
5,0.062322,0.302836
6,0.060592,0.344790
7,0.057891,0.250161
8,0.054274,0.397959
9,0.054497,0.401947
10,0.055591,0.409548
11,0.053961,0.379740
12,0.052125,0.349596
13,0.051162,0.293833
14,0.051570,0.404578
15,0.049685,0.322813
16,0.050744,0.283705
17,0.049672,0.420625
18,0.048953,0.386498
19,0.047582,0.382354
20,0.048832,0.375729
21,0.049097,0.387189
22,0.049153,0.298598
23,0.048167,0.300501
24,0.048227,0.344933
25,0.046787,0.340504
26,0.046142,0.314350
27,0.046713,0.392604
28,0.045944,0.356249
29,0.045897,0.377832
30,0.047821,0.316115
31,0.046250,0.400472
32,0.045205,0.304098
33,0.046058,0.337623
34,0.045545,0.414574
35,0.046468,0.396586
36,0.045375,0.369039
37,0.045938,0.366825
38,0.044497,0.329985
39,0.046076,0.324089
40,0.046734,0.356994
41,0.046149,0.310526
42,0.045724,0.304006
43,0.045178,0.307244
44,0.045288,0.315391
45,0.044552,0.407824
46,0.045215,0.321335
47,0.045352,0.395044
48,0.044434,0.315719
49,0.043339,0.330316
50,0.044420,0.399772
51,0.045029,0.376992
52,0.044660,0.314417
53,0.045166,0.353582
54,0.044525,0.381248
55,0.044315,0.320561
56,0.043671,0.307344
57,0.044108,0.306843
58,0.045769,0.385030
59,0.043812,0.331367
60,0.045351,0.369360
61,0.047537,0.414513
62,0.044719,0.382117
63,0.044127,0.399212
64,0.046539,0.372519
65,0.042875,0.337955
66,0.045361,0.382646
67,0.043972,0.343365
68,0.045532,0.369179
69,0.044777,0.380785
70,0.045025,0.322305
71,0.045254,0.373818
72,0.045509,0.288892
73,0.044982,0.320287
74,0.043896,0.307199
75,0.044119,0.333455
76,0.043280,0.329556
77,0.043602,0.316300
78,0.044676,0.354207
79,0.043896,0.372246
80,0.043543,0.333095
