epoch,train_loss,val_loss
1,0.570211,0.398529
2,0.189825,0.270871
3,0.142961,0.244119
4,0.119320,0.221862
5,0.105271,0.218713
6,0.097645,0.213924
7,0.088300,0.211912
8,0.088693,0.206271
9,0.082951,0.210320
10,0.078736,0.212527
11,0.077227,0.224238
12,0.074397,0.226527
13,0.073302,0.220761
14,0.073278,0.233422
15,0.072103,0.234373
16,0.069898,0.235857
17,0.069364,0.231952
18,0.069540,0.228471
19,0.066343,0.242948
20,0.065672,0.240686
21,0.065082,0.236304
22,0.066058,0.240974
23,0.063427,0.255870
24,0.063019,0.246786
25,0.062126,0.250604
26,0.061900,0.246846
27,0.062619,0.253395
28,0.061994,0.258090
29,0.060819,0.286002
30,0.061048,0.258810
31,0.058131,0.273369
32,0.059806,0.257693
33,0.060792,0.268105
34,0.058981,0.267523
35,0.057624,0.266976
36,0.057858,0.279930
37,0.057157,0.278008
38,0.056642,0.278801
39,0.057333,0.267481
40,0.057678,0.268878
41,0.055951,0.286906
42,0.057042,0.268613
43,0.054046,0.278203
44,0.055851,0.275673
45,0.054065,0.281423
46,0.054319,0.293777
47,0.053868,0.325430
48,0.054613,0.275443
49,0.053868,0.294244
50,0.055208,0.290938
51,0.054295,0.300757
52,0.053493,0.294056
53,0.054248,0.295442
54,0.053984,0.307543
55,0.053605,0.287969
56,0.053253,0.292199
57,0.053162,0.325271
58,0.051863,0.300170
59,0.051724,0.316763
60,0.053433,0.317117
61,0.051421,0.312650
62,0.051411,0.307837
63,0.052914,0.316621
64,0.051997,0.311379
65,0.052784,0.320719
66,0.053802,0.322528
67,0.053057,0.299740
68,0.053114,0.316850
69,0.052664,0.335456
70,0.052058,0.317898
71,0.050756,0.338296
72,0.051687,0.338443
73,0.050797,0.316104
74,0.050780,0.330627
75,0.050971,0.334436
76,0.051264,0.334207
77,0.052203,0.321516
78,0.050920,0.316687
79,0.049865,0.314990
80,0.050351,0.310098
