epoch,train_loss,val_loss
1,0.548449,0.421950
2,0.175975,0.321701
3,0.129952,0.228728
4,0.104679,0.203586
5,0.092058,0.186411
6,0.084303,0.206494
7,0.078053,0.224394
8,0.075190,0.203578
9,0.072089,0.219364
10,0.069678,0.219700
11,0.068688,0.218149
12,0.066139,0.223896
13,0.066234,0.243030
14,0.062774,0.239560
15,0.061038,0.239150
16,0.063501,0.235878
17,0.060863,0.252709
18,0.059720,0.251430
19,0.058724,0.265792
20,0.058827,0.261835
21,0.057933,0.248066
22,0.058036,0.273359
23,0.056952,0.259268
24,0.053775,0.268103
25,0.055259,0.258099
26,0.055090,0.265782
27,0.052604,0.259600
28,0.054229,0.282369
29,0.052911,0.298461
30,0.053334,0.281292
31,0.053613,0.270383
32,0.051057,0.272603
33,0.052709,0.285002
34,0.053129,0.275465
35,0.050013,0.294826
36,0.052108,0.307077
37,0.050170,0.314328
38,0.050786,0.310884
39,0.051388,0.309670
40,0.051086,0.286163
41,0.049530,0.293899
42,0.049571,0.297457
43,0.049720,0.309787
44,0.048978,0.284359
45,0.048901,0.324745
46,0.048008,0.312079
47,0.047385,0.325402
48,0.047243,0.284238
49,0.048073,0.288169
50,0.049442,0.298435
51,0.050122,0.307996
52,0.047689,0.296479
53,0.046245,0.300905
54,0.046110,0.309787
55,0.046319,0.309651
56,0.046287,0.308897
57,0.046318,0.395566
58,0.047627,0.324683
59,0.046620,0.322827
60,0.047184,0.324407
61,0.047148,0.341947
62,0.046330,0.359469
63,0.046225,0.337742
64,0.047048,0.354091
65,0.044565,0.375429
66,0.048172,0.310958
67,0.045439,0.332823
68,0.045932,0.342158
69,0.047055,0.308639
70,0.045897,0.323600
71,0.044373,0.336407
72,0.044322,0.343776
73,0.044430,0.312393
74,0.044727,0.341737
75,0.043350,0.321562
76,0.044202,0.364880
77,0.045782,0.323330
78,0.045473,0.322571
79,0.043804,0.318879
80,0.044173,0.308282
