epoch,train_loss,val_loss
1,0.364186,0.229195
2,0.115768,0.189679
3,0.088168,0.195668
4,0.075504,0.266999
5,0.071999,0.247097
6,0.066415,0.276924
7,0.062720,0.246099
8,0.062244,0.255635
9,0.061142,0.300271
10,0.059135,0.285923
11,0.059934,0.291526
12,0.055996,0.275018
13,0.057027,0.270857
14,0.056312,0.285743
15,0.054332,0.311931
16,0.054011,0.308751
17,0.050668,0.347262
18,0.051608,0.303772
19,0.049655,0.303809
20,0.049990,0.342222
21,0.050966,0.314237
22,0.049231,0.305442
23,0.049432,0.303046
24,0.048466,0.330294
25,0.047329,0.319203
26,0.047364,0.319478
27,0.047717,0.314784
28,0.046540,0.315086
29,0.045546,0.359999
30,0.046764,0.332182
31,0.045916,0.323019
32,0.045480,0.312082
33,0.045110,0.347673
34,0.046896,0.313714
35,0.044226,0.327282
36,0.043737,0.338602
37,0.043375,0.404933
38,0.043154,0.340242
39,0.045524,0.332818
40,0.043401,0.327438
41,0.044191,0.308669
42,0.042682,0.311499
43,0.043655,0.339908
44,0.042131,0.344168
45,0.043474,0.329154
46,0.042402,0.307677
47,0.041667,0.322501
48,0.041586,0.287660
49,0.041239,0.315646
50,0.042138,0.313045
51,0.041946,0.352432
52,0.042251,0.318864
53,0.042446,0.296692
54,0.041580,0.315652
55,0.041681,0.311412
56,0.040965,0.327610
57,0.040658,0.321755
58,0.041464,0.330566
59,0.041395,0.337793
60,0.040566,0.347268
61,0.040541,0.330285
62,0.042232,0.339998
63,0.041313,0.345825
64,0.041294,0.359880
65,0.040250,0.318300
66,0.040030,0.337502
67,0.040153,0.305517
68,0.039688,0.329594
69,0.040635,0.341228
70,0.040081,0.300225
71,0.039850,0.359685
72,0.040172,0.308184
73,0.039454,0.303152
74,0.040862,0.310752
75,0.040131,0.296146
76,0.039734,0.316045
77,0.039642,0.296121
78,0.039008,0.322582
79,0.039630,0.348137
80,0.040292,0.311679
