epoch,train_loss,val_loss
1,0.415577,0.269857
2,0.132775,0.191830
3,0.098910,0.200918
4,0.085180,0.207360
5,0.078823,0.209416
6,0.073492,0.239587
7,0.070258,0.220241
8,0.066942,0.221821
9,0.065155,0.228557
10,0.063540,0.231117
11,0.062559,0.247600
12,0.061157,0.245091
13,0.060093,0.238938
14,0.057563,0.256478
15,0.056143,0.253007
16,0.055178,0.244281
17,0.054366,0.255508
18,0.052169,0.255899
19,0.052135,0.268993
20,0.051975,0.267222
21,0.051491,0.268373
22,0.051176,0.270291
23,0.052086,0.267306
24,0.049980,0.287772
25,0.049081,0.279606
26,0.047064,0.281203
27,0.046418,0.281164
28,0.047831,0.279619
29,0.046441,0.288313
30,0.046234,0.290161
31,0.046631,0.290351
32,0.044971,0.292684
33,0.045945,0.315138
34,0.044422,0.301458
35,0.044769,0.310724
36,0.043968,0.297236
37,0.043700,0.292305
38,0.043707,0.316758
39,0.042930,0.307115
40,0.044392,0.321336
41,0.043667,0.311150
42,0.043284,0.292306
43,0.042170,0.315576
44,0.042115,0.298540
45,0.042111,0.319295
46,0.040995,0.313317
47,0.040706,0.325460
48,0.041538,0.300582
49,0.042611,0.330691
50,0.041140,0.325643
51,0.040397,0.364530
52,0.039587,0.305915
53,0.040068,0.329290
54,0.039533,0.320893
55,0.040542,0.315339
56,0.038925,0.330312
57,0.040359,0.320253
58,0.039861,0.323308
59,0.039114,0.313131
60,0.040253,0.331251
61,0.038624,0.325189
62,0.038221,0.344517
63,0.038300,0.337457
64,0.039176,0.314698
65,0.037731,0.331413
66,0.039397,0.315618
67,0.039345,0.317671
68,0.039826,0.319978
69,0.037995,0.328220
70,0.038056,0.306180
71,0.038629,0.328602
72,0.038256,0.322876
73,0.037518,0.321448
74,0.037474,0.314639
75,0.038288,0.324559
76,0.037546,0.326891
77,0.037347,0.332572
78,0.037463,0.339302
79,0.037459,0.308948
80,0.036904,0.304465
