epoch,train_loss,val_loss
1,1.000407,1.436766
2,0.999781,1.447026
3,0.999675,1.444375
4,0.999680,1.434082
5,0.999640,1.432185
6,0.999555,1.446903
7,0.999394,1.443056
8,0.999573,1.443577
9,0.999561,1.446569
10,0.999507,1.436921
11,0.999509,1.443986
12,0.999497,1.442948
13,0.999543,1.440757
14,0.999558,1.440657
15,0.999416,1.447564
16,0.999449,1.447588
17,0.999439,1.446812
18,0.999457,1.450915
19,0.999449,1.450738
20,0.999461,1.452691
21,0.999432,1.445293
22,0.999432,1.442990
23,0.999441,1.443378
24,0.999457,1.445613
25,0.999517,1.454131
26,0.999443,1.449134
27,0.999501,1.441493
28,0.999434,1.443408
29,0.999448,1.440220
30,0.999453,1.442156
31,0.999460,1.447391
32,0.999454,1.441272
33,0.999433,1.445909
34,0.999423,1.447613
35,0.999474,1.445001
36,0.999443,1.445401
37,0.999452,1.438285
38,0.999447,1.438972
39,0.999479,1.436973
40,0.999462,1.445593
41,0.999448,1.443922
42,0.999452,1.440352
43,0.999443,1.442435
44,0.999437,1.446720
45,0.999453,1.445312
46,0.999457,1.445916
47,0.999440,1.446250
48,0.999460,1.454985
49,0.999454,1.449225
50,0.999481,1.454533
51,0.999461,1.447416
52,0.999458,1.443461
53,0.999435,1.444576
54,0.999430,1.444874
55,0.999442,1.449057
56,0.999507,1.444387
57,0.999612,1.451426
58,0.999439,1.448946
59,0.999450,1.450112
60,0.999528,1.452250
61,0.999438,1.446508
62,0.999438,1.448213
63,0.999435,1.447900
64,0.999445,1.448672
65,0.999451,1.448250
66,0.999464,1.450001
67,0.999437,1.444993
68,0.999454,1.444390
69,0.999435,1.439562
70,0.999446,1.437650
71,0.999474,1.436368
72,0.999425,1.444549
73,0.999475,1.446567
74,0.999449,1.443587
75,0.999459,1.446241
76,0.999486,1.449641
77,0.999434,1.448017
78,0.999457,1.442720
79,0.999430,1.444026
80,0.999463,1.448352
81,0.999429,1.443220
82,0.999472,1.446039
83,0.999431,1.444853
84,0.999434,1.447013
85,0.999437,1.442133
86,0.999467,1.448989
87,0.999465,1.451042
88,0.999448,1.447844
89,0.999450,1.448380
90,0.999463,1.450438
91,0.999461,1.448407
92,0.999452,1.445143
93,0.999446,1.444648
94,0.999450,1.444353
95,0.999553,1.430648
96,0.999506,1.440670
97,0.999480,1.439946
98,0.999440,1.443744
99,0.999448,1.449481
100,0.999475,1.450578
