epoch,train_loss,val_loss
1,1.001529,0.537100
2,0.685189,0.531457
3,0.444837,0.579373
4,0.395208,0.467562
5,0.384850,0.490659
6,0.368557,0.509161
7,0.362783,0.562626
8,0.350450,0.491260
9,0.324880,0.389255
10,0.289239,0.455272
11,0.277574,0.454490
12,0.262926,0.561253
13,0.253772,0.532792
14,0.243013,0.466781
15,0.240093,0.552337
16,0.227999,0.564138
17,0.223898,0.585828
18,0.216467,0.510760
19,0.195954,0.632980
20,0.189004,0.443429
21,0.176302,0.504505
22,0.169362,0.430285
23,0.163314,0.576209
24,0.158544,0.570190
25,0.152626,0.626851
26,0.141863,0.477500
27,0.139283,0.461733
28,0.140970,0.443003
29,0.132650,0.461908
30,0.126398,0.506647
31,0.127489,0.484539
32,0.119143,0.484316
33,0.115776,0.477204
34,0.117010,0.540419
35,0.113357,0.533615
36,0.114493,0.485615
37,0.116883,0.500260
38,0.109613,0.451447
39,0.106398,0.491549
40,0.099125,0.605247
41,0.098870,0.533217
42,0.107291,0.504961
43,0.100057,0.449883
44,0.099031,0.455838
45,0.097832,0.480454
46,0.097768,0.433901
47,0.096421,0.453781
48,0.093534,0.495006
49,0.094217,0.463185
50,0.100984,0.534660
51,0.101589,0.459842
52,0.094112,0.492059
53,0.095073,0.512561
54,0.092321,0.480002
55,0.088654,0.506011
56,0.086091,0.473659
57,0.086522,0.494594
58,0.085132,0.487641
59,0.097904,0.476253
60,0.092206,0.434482
61,0.086532,0.492016
62,0.086941,0.475845
63,0.091395,0.485473
64,0.086064,0.529985
65,0.086479,0.492697
66,0.082398,0.624602
67,0.077683,0.474422
68,0.079838,0.577441
69,0.089188,0.461672
70,0.087236,0.540399
71,0.082449,0.575964
72,0.080277,0.437645
73,0.078594,0.575416
74,0.083841,0.444551
75,0.079145,0.495506
76,0.081351,0.477717
77,0.076574,0.488365
78,0.080132,0.470333
79,0.086452,0.482363
80,0.076239,0.522698
