epoch,train_loss,val_loss
1,0.854289,0.498765
2,0.525464,0.583052
3,0.366016,0.471235
4,0.350767,0.476122
5,0.345463,0.456244
6,0.340452,0.474724
7,0.331857,0.488697
8,0.322773,0.528095
9,0.293222,0.493409
10,0.270397,0.584937
11,0.259959,0.546198
12,0.255706,0.543686
13,0.264537,0.518606
14,0.255241,0.524859
15,0.246222,0.432672
16,0.243121,0.468820
17,0.246923,0.465604
18,0.241012,0.498137
19,0.240501,0.452950
20,0.244770,0.465641
21,0.241601,0.422876
22,0.243988,0.453506
23,0.243723,0.442546
24,0.236767,0.459764
25,0.237954,0.442991
26,0.318848,0.863510
27,0.364144,0.499430
28,0.313562,0.588365
29,0.298066,0.604379
30,0.280728,0.613644
31,0.269337,0.581732
32,0.263356,0.582556
33,0.257681,0.522684
34,0.250799,0.471983
35,0.247334,0.508831
36,0.245813,0.484407
37,0.243632,0.505125
38,0.241678,0.503584
39,0.238077,0.457572
40,0.237811,0.488448
41,0.235573,0.462604
42,0.237914,0.440105
43,0.236471,0.422641
44,0.234071,0.438137
45,0.231982,0.449707
46,0.232908,0.449118
47,0.235754,0.438271
48,0.231350,0.459012
49,0.227063,0.419398
50,0.227651,0.477880
51,0.226589,0.476337
52,0.229983,0.438363
53,0.224695,0.450976
54,0.224181,0.465844
55,0.224228,0.494141
56,0.222740,0.473369
57,0.224849,0.496431
58,0.220466,0.496872
59,0.217525,0.516284
60,0.215706,0.482092
61,0.219537,0.534573
62,0.218783,0.495940
63,0.213948,0.502073
64,0.211141,0.523573
65,0.212918,0.494177
66,0.211619,0.584111
67,0.216605,0.542541
68,0.210086,0.536041
69,0.209499,0.588909
70,0.216620,0.544425
71,0.213517,0.504210
72,0.207802,0.504270
73,0.203760,0.542452
74,0.201729,0.600489
75,0.202296,0.543770
76,0.249285,0.463119
77,0.229046,0.496030
78,0.220493,0.504889
79,0.214526,0.527490
80,0.207197,0.532535
81,0.207468,0.531971
82,0.206177,0.611052
83,0.206448,0.556581
84,0.202454,0.564408
85,0.201982,0.570711
86,0.203648,0.577853
87,0.197759,0.583148
88,0.197209,0.579681
89,0.199001,0.613248
90,0.195187,0.545749
91,0.196827,0.572800
92,0.200339,0.616924
93,0.279300,0.487523
94,0.230755,0.512385
95,0.215180,0.533797
96,0.205377,0.556013
97,0.201665,0.565235
98,0.194827,0.588526
99,0.199379,0.562511
