epoch,train_loss,val_loss
1,0.869748,0.843048
2,0.470303,0.462643
3,0.372402,0.541877
4,0.365012,0.478602
5,0.359251,0.580777
6,0.352656,0.518022
7,0.342637,0.519862
8,0.314609,0.574044
9,0.287960,0.518050
10,0.290890,0.523001
11,0.279548,0.580874
12,0.278707,0.517213
13,0.276094,0.529096
14,0.270409,0.494597
15,0.271535,0.474847
16,0.270310,0.528722
17,0.269436,0.496180
18,0.269367,0.503187
19,0.267764,0.583068
20,0.264187,0.523730
21,0.264815,0.502215
22,0.518399,1.178044
23,0.555858,0.734347
24,0.378846,0.592526
25,0.318110,0.544118
26,0.293479,0.510206
27,0.281658,0.550052
28,0.287022,0.570646
29,0.271728,0.595703
30,0.269531,0.498218
31,0.272146,0.497849
32,0.269149,0.559878
33,0.271076,0.616474
34,0.272335,0.506358
35,0.260723,0.601149
36,0.262622,0.525780
37,0.263846,0.552979
38,0.261239,0.523338
39,0.258714,0.499687
40,0.259191,0.496191
41,0.259955,0.496114
42,0.261353,0.507307
43,0.260339,0.566233
44,0.258227,0.553867
45,0.256561,0.540742
46,0.258008,0.474963
47,0.260046,0.517831
48,0.264020,0.493386
49,0.260385,0.507221
50,0.254471,0.519956
51,0.257998,0.483754
52,0.258026,0.520286
53,0.252996,0.491444
54,0.253845,0.512110
55,0.257023,0.545174
56,0.263286,0.547452
57,0.262520,0.502752
58,0.255296,0.560366
59,0.253677,0.512531
60,0.273112,0.584350
61,0.270487,0.552186
62,0.256603,0.497399
63,0.256800,0.563304
64,0.258583,0.581245
65,0.258748,0.520598
66,0.257416,0.503194
67,0.256244,0.503296
68,0.254704,0.509175
69,0.258148,0.606262
70,0.252630,0.508751
71,0.259424,0.470713
72,0.253726,0.495247
73,0.252021,0.594975
74,0.256825,0.503508
75,0.273056,0.476085
76,0.257866,0.527320
77,0.253892,0.686546
78,0.257311,0.548213
79,0.252267,0.498036
80,0.253983,0.471210
81,0.251265,0.562202
82,0.257250,0.548872
83,0.262991,0.513681
84,0.256216,0.553688
85,0.255751,0.491816
86,0.284664,0.595500
87,0.258820,0.560519
88,0.248775,0.557548
89,0.248359,0.583604
90,0.245842,0.469829
91,0.515675,0.892428
92,0.511072,0.706852
93,0.377972,0.523817
94,0.307528,0.505320
95,0.284052,0.525745
96,0.269784,0.540112
97,0.266038,0.535271
98,0.266389,0.491405
99,0.262608,0.518704
100,0.265145,0.470131
101,0.256687,0.520821
102,0.262853,0.488570
103,0.260064,0.556806
104,0.257194,0.537421
105,0.257784,0.493010
106,0.254804,0.580398
107,0.253723,0.480250
108,0.262072,0.612544
109,0.255689,0.480639
110,0.254366,0.488903
111,0.255729,0.509216
112,0.249364,0.684875
113,0.275895,0.590719
114,0.258301,0.488582
115,0.253157,0.523561
116,0.257208,0.474304
117,0.257750,0.570636
118,0.253579,0.492691
119,0.247836,0.534026
120,0.247560,0.507014
121,0.263397,0.575932
122,0.253622,0.515509
123,0.245521,0.581331
124,0.301328,0.599917
125,0.275928,0.535184
126,0.263492,0.714505
127,0.263092,0.476517
128,0.253572,0.515214
129,0.252524,0.482579
130,0.248348,0.610780
131,0.247198,0.654011
132,0.248086,0.556811
133,0.245920,0.479366
134,0.248674,0.604187
135,0.246078,0.656846
136,0.247102,0.631372
137,0.244157,0.539429
138,0.239593,0.518488
139,0.555161,0.869681
140,0.664648,0.607048
