epoch,train_loss,val_loss
1,1.003467,1.419929
2,1.002407,1.423657
3,1.002213,1.432705
4,1.002092,1.426947
5,1.001925,1.429571
6,1.002028,1.432136
7,1.001960,1.434809
8,1.001964,1.430361
9,1.001999,1.435152
10,1.001919,1.434023
11,1.002022,1.430453
12,1.001973,1.434259
13,1.001926,1.433820
14,1.001944,1.430461
15,1.001967,1.434606
16,1.001921,1.431849
17,1.001929,1.436283
18,1.001898,1.434523
19,1.001910,1.433727
20,1.001930,1.432801
21,1.001917,1.435142
22,1.001880,1.435594
23,1.001894,1.435131
24,1.001898,1.435188
25,1.001912,1.435626
26,1.001903,1.435955
27,1.001920,1.433430
28,1.001902,1.436632
29,1.001887,1.435229
30,1.001875,1.436991
31,1.001884,1.436150
32,1.001877,1.436374
33,1.001885,1.436624
34,1.001882,1.436083
35,1.001894,1.438045
36,1.001878,1.438139
37,1.001879,1.436454
38,1.001885,1.437690
39,1.001878,1.437314
40,1.001887,1.437876
41,1.001871,1.437836
42,1.001872,1.437435
43,1.001884,1.435998
44,1.001881,1.437953
45,1.001875,1.437618
46,1.001878,1.437108
47,1.001875,1.437510
48,1.001873,1.438486
49,1.001879,1.437718
50,1.001874,1.437793
51,1.001878,1.438891
52,1.001877,1.438292
53,1.001896,1.436340
54,1.001887,1.439565
55,1.001875,1.438201
56,1.001894,1.436318
57,1.001878,1.438969
58,1.001869,1.438453
59,1.001892,1.437650
60,1.001873,1.438248
61,1.001875,1.437427
62,1.001890,1.437210
63,1.001878,1.437977
64,1.001877,1.439163
65,1.001878,1.439109
66,1.001877,1.438675
67,1.001882,1.437460
68,1.001877,1.437967
69,1.001876,1.438122
70,1.001875,1.438233
71,1.001877,1.439392
72,1.001876,1.438196
73,1.001872,1.437855
74,1.001873,1.438201
75,1.001883,1.437402
76,1.001882,1.437851
77,1.001876,1.438777
78,1.001875,1.438158
79,1.001881,1.437560
80,1.001873,1.438362
81,1.001875,1.438142
82,1.001881,1.439155
83,1.001871,1.438469
84,1.001875,1.439167
85,1.001878,1.438661
86,1.001873,1.437624
87,1.001878,1.437717
88,1.001876,1.437044
89,1.001887,1.438628
90,1.001873,1.438837
91,1.001891,1.437080
92,1.001874,1.438047
93,1.001875,1.439000
