epoch,train_loss,val_loss
1,2.640339,0.554430
2,0.523748,0.464158
3,0.435010,0.503300
4,0.398121,0.493882
5,0.376526,0.471387
6,0.371027,0.514815
7,0.354726,0.522478
8,0.351224,0.535921
9,0.332200,0.538731
10,0.319790,0.683470
11,0.322539,0.599672
12,0.298719,0.541515
13,0.303726,0.540545
14,0.298302,0.467747
15,0.285517,0.568969
16,0.273617,0.560120
17,0.265648,0.507895
18,0.264525,0.543987
19,0.261089,0.544428
20,0.255442,0.538437
21,0.257182,0.571395
22,0.267450,0.520019
23,0.244401,0.577150
24,0.240027,0.532440
25,0.244390,0.555207
26,0.235416,0.512434
27,0.240110,0.544713
28,0.239346,0.524284
29,0.224596,0.570394
30,0.215646,0.516820
31,0.210755,0.566247
32,0.208349,0.621474
33,0.201301,0.461503
34,0.200747,0.589156
35,0.197474,0.552672
36,0.194661,0.538718
37,0.187176,0.551975
38,0.187689,0.510210
39,0.189528,0.526732
40,0.180430,0.502335
41,0.179233,0.533116
42,0.176864,0.566034
43,0.174401,0.569684
44,0.176924,0.467217
45,0.173819,0.455400
46,0.174230,0.489544
47,0.170998,0.521052
48,0.162859,0.444247
49,0.157868,0.425008
50,0.159439,0.471813
51,0.161558,0.436509
52,0.155018,0.473129
53,0.154441,0.493225
54,0.150501,0.424268
55,0.152070,0.492806
56,0.149495,0.493056
57,0.149613,0.455982
58,0.144920,0.435897
59,0.144862,0.474899
60,0.149725,0.447634
61,0.151184,0.460421
62,0.144019,0.450203
63,0.138974,0.455802
64,0.135466,0.506375
65,0.145458,0.442229
66,0.143325,0.466973
67,0.136820,0.474685
68,0.136365,0.497196
69,0.138878,0.453526
70,0.138302,0.479614
71,0.135857,0.464387
72,0.132946,0.424972
73,0.128075,0.458706
74,0.127295,0.441467
75,0.125236,0.511156
76,0.124775,0.468783
77,0.128582,0.481680
78,0.125200,0.412301
79,0.127610,0.447107
80,0.130276,0.439571
81,0.133795,0.445277
82,0.126612,0.449316
83,0.126770,0.456240
84,0.125971,0.483347
85,0.119562,0.500562
86,0.121125,0.448140
87,0.117697,0.486077
88,0.118959,0.451502
89,0.120468,0.498412
90,0.115110,0.446926
91,0.115331,0.511336
92,0.112513,0.553138
93,0.116240,0.469187
94,0.108833,0.560661
95,0.111570,0.536342
96,0.109979,0.540517
97,0.109119,0.536158
98,0.105328,0.495305
99,0.105774,0.489934
100,0.108464,0.545219
101,0.107067,0.496268
102,0.106029,0.480289
103,0.101134,0.470362
104,0.103224,0.544661
105,0.106904,0.452421
106,0.106498,0.482640
107,0.099332,0.492601
108,0.102525,0.453672
109,0.100564,0.596751
110,0.103067,0.473677
111,0.099497,0.451940
112,0.094821,0.496169
113,0.093029,0.461480
114,0.095478,0.492083
115,0.095865,0.505447
116,0.102717,0.445411
117,0.103377,0.506867
118,0.100353,0.451142
119,0.104151,0.462256
120,0.107258,0.516238
121,0.100259,0.441654
122,0.094223,0.515056
123,0.097054,0.458626
124,0.095369,0.459381
125,0.095357,0.442294
126,0.089141,0.482814
127,0.090886,0.483889
128,0.091599,0.427790
