epoch,train_loss,val_loss
1,1.094954,1.401638
2,0.545831,0.540005
3,0.395192,0.497409
4,0.375741,0.463043
5,0.363400,0.485374
6,0.364671,0.494044
7,0.354978,0.469556
8,0.351810,0.501214
9,0.347388,0.482853
10,0.331995,0.549101
11,0.326491,0.519556
12,0.297205,0.741638
13,0.286985,0.610212
14,0.271048,0.636428
15,0.274053,0.534716
16,0.273529,0.544234
17,0.265835,0.561597
18,0.259552,0.484674
19,0.262957,0.555940
20,0.256877,0.618978
21,0.264424,0.487148
22,0.256773,0.483825
23,0.253628,0.483203
24,0.264628,0.548561
25,0.257250,0.554294
26,0.257781,0.538544
27,0.251222,0.552109
28,0.257826,0.586535
29,0.249880,0.467985
30,0.246296,0.517796
31,0.265741,0.551207
32,0.256699,0.495291
33,0.244902,0.465295
34,0.246086,0.543747
35,0.255515,0.476047
36,0.242367,0.519794
37,0.243339,0.472202
38,0.438967,0.527458
39,0.315520,0.569344
40,0.279415,0.526532
41,0.264435,0.612238
42,0.265575,0.564601
43,0.261802,0.576412
44,0.257782,0.578047
45,0.261028,0.603722
46,0.263818,0.517831
47,0.257226,0.573146
48,0.254516,0.546227
49,0.253083,0.590435
50,0.250560,0.527597
51,0.249167,0.624110
52,0.252045,0.486479
53,0.250329,0.605524
54,0.255882,0.516549
55,0.249600,0.584620
56,0.245321,0.489135
57,0.245861,0.476446
58,0.244485,0.506273
59,0.245730,0.442564
60,0.243363,0.452723
61,0.245181,0.488066
62,0.247536,0.556709
63,0.242764,0.498728
64,0.239222,0.541570
65,0.244029,0.492078
66,0.239770,0.433265
67,0.240400,0.476165
68,0.239169,0.455401
69,0.236137,0.479634
70,0.233892,0.542846
71,0.767001,1.125641
72,1.079655,0.931759
73,0.832376,0.761946
74,0.645589,0.595029
75,0.454232,0.551487
76,0.392644,0.582859
77,0.368453,0.539570
78,0.350546,0.546071
79,0.339962,0.522782
80,0.319479,0.547786
81,0.314049,0.555445
82,0.318294,0.454222
83,0.303949,0.435305
84,0.295785,0.520529
85,0.295198,0.481285
86,0.291466,0.464179
87,0.295585,0.420786
88,0.321780,0.549007
89,0.289061,0.529598
90,0.283489,0.417305
91,0.276472,0.434954
92,0.271550,0.471663
93,0.267292,0.473962
94,0.261562,0.461731
95,0.256667,0.441880
96,0.262880,0.460982
97,0.255078,0.484230
98,0.259790,0.451502
99,0.250711,0.436884
100,0.252022,0.485280
101,0.251362,0.496959
102,0.248492,0.443436
103,0.245120,0.468351
104,0.243289,0.452389
105,0.245121,0.533922
106,0.244975,0.499034
107,0.249582,0.572113
108,0.244124,0.496706
109,0.242583,0.535468
110,0.241420,0.542215
111,0.236482,0.484312
112,0.237086,0.477207
113,0.237108,0.533748
114,0.234984,0.615228
115,0.242471,0.485947
116,0.232856,0.502695
117,0.228535,0.507924
118,0.228143,0.593847
119,0.235551,0.504808
120,0.227813,0.512337
121,0.233194,0.506888
122,0.224905,0.486988
123,0.242574,0.462807
124,0.224515,0.529746
125,0.225625,0.476409
126,0.224617,0.611008
127,0.320713,0.950777
128,0.438985,0.580202
129,0.370316,0.689091
130,0.358644,0.490917
131,0.301587,0.480497
132,0.277705,0.577848
133,0.271473,0.507336
134,0.259272,0.534777
135,0.257135,0.521336
136,0.253841,0.625021
137,0.252084,0.561266
138,0.259079,0.502447
139,0.245506,0.491266
140,0.242285,0.576372
