epoch,train_loss,val_loss
1,3.263607,0.494356
2,0.540851,0.475147
3,0.375235,0.503447
4,0.357155,0.470062
5,0.342189,0.511544
6,0.323668,0.614134
7,0.339560,0.528101
8,0.330153,0.493854
9,0.305250,0.509806
10,0.293945,0.537030
11,0.281598,0.635543
12,0.287221,0.580881
13,0.261133,0.599916
14,0.248417,0.575315
15,0.246054,0.555222
16,0.237203,0.514454
17,0.231928,0.549414
18,0.228720,0.613027
19,0.224563,0.585617
20,0.225261,0.479725
21,0.218486,0.657865
22,0.222161,0.681456
23,0.210674,0.671030
24,0.213016,0.587085
25,0.209246,0.624567
26,0.212032,0.522498
27,0.206057,0.562597
28,0.205630,0.676898
29,0.208517,0.463906
30,0.193659,0.605987
31,0.187712,0.459080
32,0.190635,0.406634
33,0.184312,0.498488
34,0.181472,0.557163
35,0.181009,0.624130
36,0.172404,0.448756
37,0.164354,0.515352
38,0.168782,0.424156
39,0.159055,0.540766
40,0.156863,1.146735
41,0.392165,0.488187
42,0.327835,0.510433
43,0.247359,0.554329
44,0.208218,0.661364
45,0.191739,0.605599
46,0.176491,0.670165
47,0.162468,0.507495
48,0.158679,0.579559
49,0.154205,0.588369
50,0.153837,0.553452
51,0.151182,0.470864
52,0.147821,0.550763
53,0.143140,0.445263
54,0.144262,0.468143
55,0.137875,0.565196
56,0.134944,0.436927
57,0.134742,0.601328
58,0.136125,0.496479
59,0.133975,0.446707
60,0.130836,0.439164
61,0.128218,0.470561
62,0.126664,0.454191
63,0.121772,0.499752
64,0.122923,0.405619
65,0.126053,0.431943
66,0.125485,0.443688
67,0.122802,0.377214
68,0.127533,0.488082
69,0.121370,0.416648
70,0.120523,0.414531
71,0.119897,0.470018
72,0.123405,0.457764
73,0.117958,0.752291
74,0.128863,0.417598
75,0.122897,0.387146
76,0.114774,0.407075
77,0.112504,0.466132
78,0.112504,0.580573
79,0.108721,0.513923
80,0.103686,0.470460
81,0.106986,0.441238
82,0.110171,0.414119
83,0.097452,0.376793
84,0.096539,0.433611
85,0.097926,0.415652
86,0.097286,0.458378
87,0.091733,0.479284
88,0.090437,0.411065
89,0.101406,0.405621
90,0.094945,0.438325
91,0.092228,0.444687
92,0.089056,0.416247
93,0.084560,0.418897
94,0.084239,0.439109
95,0.081996,0.432832
96,0.083901,0.477919
97,0.086163,0.450242
98,0.085057,0.432305
99,0.083509,0.402850
100,0.080474,0.418083
101,0.083160,0.451649
102,0.084112,0.409019
103,0.090995,0.359734
104,0.084452,0.506148
105,0.082150,0.436411
106,0.085156,0.430144
107,0.080858,0.441027
108,0.082693,0.435222
109,0.077692,0.435346
110,0.089917,0.467279
111,0.080854,0.452134
112,0.075595,0.465050
113,0.072531,0.458589
114,0.079977,0.454290
115,0.154427,0.668203
116,0.132845,0.608753
117,0.106905,0.583154
118,0.098342,0.656500
119,0.099191,0.550224
120,0.090003,0.478318
121,0.089496,0.494964
122,0.086663,0.711804
123,0.085766,0.519736
124,0.087298,0.426830
125,0.097278,0.537678
126,0.080772,0.465445
127,0.076315,0.477621
128,0.090317,0.528690
129,0.075448,0.508394
130,0.072661,0.507251
131,0.070983,0.436993
132,0.072027,0.525512
133,0.074190,0.480216
134,0.076026,0.409685
135,0.077086,0.433980
136,0.076187,0.407400
137,0.074980,0.486534
138,0.072089,0.564545
139,0.070525,0.467045
140,0.067720,0.445841
141,0.065918,0.430389
142,0.071564,0.470716
143,0.079632,0.427839
144,0.091158,0.407608
145,0.192270,0.525263
146,0.131931,0.548294
147,0.099326,0.519082
148,0.090496,0.576832
149,0.081870,0.468031
150,0.079092,0.547095
151,0.078921,0.556471
152,0.073483,0.579541
153,0.070995,0.460140
