epoch,train_loss,val_loss
1,0.647173,0.466186
2,0.367726,0.481587
3,0.336260,0.535566
4,0.275340,0.400276
5,0.257983,0.615538
6,0.250356,0.477075
7,0.239741,0.446519
8,0.240922,0.641708
9,0.234375,0.743109
10,0.229315,1.073535
11,0.220219,0.422978
12,0.212896,0.659850
13,0.208024,0.744771
14,0.213475,0.490006
15,0.181349,0.667676
16,0.172799,0.812597
17,0.166798,0.548990
18,0.163163,0.558307
19,0.161200,0.568116
20,0.162159,0.656161
21,0.157551,0.504708
22,0.165576,0.474390
23,0.169042,0.545666
24,0.156248,0.557946
25,0.151862,0.477930
26,0.146754,0.458955
27,0.142603,0.663702
28,0.145411,0.436755
29,0.147104,0.635061
30,0.137421,0.501121
31,0.130415,0.585554
32,0.120621,0.544938
33,0.119318,0.534376
34,0.116321,0.503795
35,0.110614,0.519260
36,0.104883,0.431227
37,0.106297,0.477403
38,0.109548,0.458989
39,0.108580,0.525988
40,0.120452,0.447191
41,0.117176,0.443920
42,0.100805,0.490751
43,0.096251,0.524469
44,0.100642,0.522302
45,0.095187,0.465527
46,0.094576,0.467009
47,0.094783,0.446596
48,0.092655,0.491818
49,0.096308,0.776114
50,0.096881,0.497742
51,0.093122,0.471690
52,0.087916,0.417646
53,0.085174,0.505807
54,0.083844,0.486412
55,0.084411,0.461808
56,0.085053,0.475595
57,0.088245,0.581565
58,0.094031,0.576128
59,0.090000,0.507621
60,0.084670,0.497363
61,0.078154,0.458057
62,0.076235,0.423281
63,0.075099,0.543169
64,0.075464,0.457656
65,0.076107,0.418672
66,0.081793,0.451327
67,0.498608,0.736227
68,0.383332,0.584817
69,0.259216,0.549349
70,0.194669,0.611661
71,0.172975,0.545912
72,0.146084,0.580117
73,0.126447,0.528828
74,0.119163,0.522439
75,0.110102,0.513601
76,0.095571,0.677397
77,0.093335,0.610459
78,0.094539,0.431138
79,0.137346,0.733057
80,0.190997,0.481548
81,0.145647,0.537126
82,0.121021,0.545188
83,0.103530,0.452224
84,0.094288,0.460805
85,0.090866,0.612876
86,0.088544,0.430826
87,0.084144,0.433938
88,0.080235,0.421155
89,0.080009,0.521966
90,0.077489,0.557372
91,0.077361,0.432988
92,0.076595,0.404980
93,0.077385,0.431813
94,0.077782,0.429547
95,0.079834,0.453078
96,0.080978,0.446569
97,0.076574,0.424540
98,0.076758,0.422424
99,0.080543,0.430352
100,0.072005,0.450934
101,0.071001,0.440172
102,0.068452,0.478849
103,0.072289,0.442285
104,0.069103,0.457552
105,0.066264,0.425720
106,0.067780,0.430227
107,0.066206,0.384805
108,0.068463,0.441173
109,0.062266,0.460986
110,0.062205,0.471823
111,0.059850,0.433178
112,0.060736,0.435262
113,0.062725,0.474215
114,0.061630,0.439118
115,0.060751,0.566099
116,0.060706,0.452691
117,0.058214,0.492053
118,0.062471,0.433109
119,0.060970,0.501816
120,0.058596,0.446046
121,0.058439,0.436048
122,0.056601,0.481237
123,0.057329,0.422042
124,0.059156,0.489693
125,0.057509,0.477344
126,0.059543,0.462697
127,0.055970,0.439724
128,0.085970,0.437810
129,0.078385,0.435762
130,0.062461,0.426759
131,0.054766,0.430365
132,0.054242,0.419919
133,0.056046,0.488840
134,0.054009,0.454121
135,0.054016,0.538015
136,0.052893,0.462872
137,0.054491,0.457304
138,0.053726,0.435471
139,0.052511,0.446792
140,0.053638,0.428405
141,0.057991,0.527593
142,0.078284,0.401373
143,0.069357,0.456676
144,0.072455,0.424639
145,0.067175,0.490713
146,0.057907,0.449200
147,0.053415,0.455689
148,0.051934,0.442774
149,0.051158,0.476539
150,0.052198,0.435402
151,0.050698,0.455350
152,0.050772,0.435520
153,0.051647,0.442865
154,0.053006,0.490544
155,0.057515,0.476757
156,0.057977,0.536663
157,0.056959,0.521659
