epoch,train_loss,val_loss
1,0.664002,0.480274
2,0.366967,0.464037
3,0.353125,0.512932
4,0.333631,0.538963
5,0.291395,0.555018
6,0.260875,0.539241
7,0.249961,0.395206
8,0.244763,0.451643
9,0.236870,0.508759
10,0.223621,0.517978
11,0.208486,0.510178
12,0.202750,0.531773
13,0.188238,0.462544
14,0.188887,0.590608
15,0.170892,0.632734
16,0.169741,0.503564
17,0.163121,0.459869
18,0.164377,0.504002
19,0.154166,0.481157
20,0.142050,0.459731
21,0.141549,0.592823
22,0.140606,0.514084
23,0.133125,0.566315
24,0.130914,0.562611
25,0.133591,0.444966
26,0.119916,0.538598
27,0.116815,0.451485
28,0.115888,0.541215
29,0.118753,0.448011
30,0.118539,0.535628
31,0.114161,0.477612
32,0.112331,0.430860
33,0.110639,0.487430
34,0.105824,0.576921
35,0.102904,0.420345
36,0.114209,0.441256
37,0.103553,0.447118
38,0.102635,0.506428
39,0.103091,0.476458
40,0.108928,0.422914
41,0.102848,0.439983
42,0.099500,0.443574
43,0.095246,0.508180
44,0.098836,0.456101
45,0.093526,0.409583
46,0.090072,0.485231
47,0.093547,0.483580
48,0.092369,0.487495
49,0.088602,0.423878
50,0.093987,0.481194
51,0.092639,0.490211
52,0.087140,0.512091
53,0.088958,0.399161
54,0.088374,0.493210
55,0.089047,0.450944
56,0.086272,0.434657
57,0.084779,0.438331
58,0.088451,0.442818
59,0.083193,0.417195
60,0.085691,0.419658
61,0.091945,0.433112
62,0.090980,0.493922
63,0.100650,0.415217
64,0.084238,0.496649
65,0.082853,0.461934
66,0.079113,0.556916
67,0.077424,0.486352
68,0.078902,0.452324
69,0.079669,0.409593
70,0.080101,0.456485
71,0.090953,0.466322
72,0.083927,0.486976
73,0.081714,0.438568
74,0.078431,0.459994
75,0.082530,0.499566
76,0.082630,0.466068
77,0.077519,0.452382
78,0.083156,0.441382
79,0.078806,0.421249
80,0.075758,0.422541
81,0.075186,0.567036
82,0.079865,0.405019
83,0.077920,0.440933
84,0.080233,0.454716
85,0.084906,0.418941
86,0.077505,0.416478
87,0.073411,0.485792
88,0.074590,0.429900
89,0.073824,0.435578
90,0.073857,0.401023
91,0.082182,0.445556
92,0.096808,0.389808
93,0.080403,0.438464
94,0.075808,0.502099
95,0.077770,0.428335
96,0.073537,0.417581
97,0.074292,0.393431
98,0.076578,0.437311
99,0.079297,0.411363
100,0.077094,0.459089
101,0.076041,0.405334
102,0.076019,0.413454
103,0.075626,0.419704
104,0.085822,0.457892
105,0.076046,0.394459
106,0.073334,0.414682
107,0.076892,0.437776
108,0.073510,0.494623
109,0.078222,0.449629
110,0.075447,0.489587
111,0.075228,0.403635
112,0.074701,0.478618
113,0.075019,0.391915
114,0.076697,0.432193
115,0.074860,0.400402
116,0.072578,0.409619
117,0.072971,0.439126
118,0.078485,0.410491
119,0.071219,0.407159
120,0.070056,0.382207
121,0.076949,0.401803
122,0.074051,0.407657
123,0.077141,0.405182
124,0.079415,0.440188
125,0.074170,0.380608
126,0.073327,0.415111
127,0.075062,0.415864
128,0.069920,0.418667
129,0.078504,0.401909
130,0.079148,0.393575
131,0.075092,0.397229
132,0.073062,0.402894
133,0.075043,0.444265
134,0.078998,0.454824
135,0.073176,0.438263
136,0.072702,0.379198
137,0.073691,0.412465
138,0.073092,0.403497
139,0.071699,0.450799
140,0.069035,0.407176
141,0.074758,0.460679
142,0.071070,0.440383
143,0.074509,0.433131
144,0.071192,0.450621
145,0.070420,0.412985
146,0.074967,0.430112
147,0.082761,0.475219
148,0.095413,0.469667
149,0.093607,0.538848
150,0.082906,0.507337
151,0.073907,0.439990
152,0.070516,0.418119
153,0.068817,0.451823
154,0.067939,0.456129
155,0.072539,0.507863
156,0.077709,0.486612
157,0.072849,0.440206
158,0.069206,0.419647
159,0.071164,0.395705
160,0.075982,0.395467
161,0.067808,0.409536
162,0.072462,0.434278
163,0.083054,0.412784
164,0.076160,0.415499
165,0.075157,0.392449
166,0.071616,0.413922
167,0.069986,0.409022
168,0.068658,0.432940
169,0.073419,0.421955
170,0.072266,0.392539
171,0.068524,0.380879
172,0.074911,0.381170
173,0.072768,0.521212
174,0.072848,0.413716
175,0.070553,0.448005
176,0.079431,0.498899
177,0.079724,0.432715
178,0.070185,0.469459
179,0.067732,0.433282
180,0.069878,0.390860
181,0.071087,0.468209
182,0.078373,0.443894
183,0.082796,0.461086
184,0.079766,0.404657
185,0.071563,0.408371
186,0.070725,0.401727
